,gen,best,mean,sd,med,worst
0,0,-70.0,-98.46666666666667,5.743015081141806,-100.0,-100.0
1,1,-60.0,-96.3076923076923,9.041652464563148,-100.0,-100.0
2,2,-60.0,-95.91836734693878,9.565748281843236,-100.0,-100.0
3,3,-60.0,-96.04060913705584,9.535313773862288,-100.0,-100.0
4,4,-30.0,-94.26395939086295,11.840366752378838,-100.0,-100.0
5,5,-30.0,-93.65,12.416823265231733,-100.0,-100.0
6,6,-30.0,-94.321608040201,11.96380997730241,-100.0,-100.0
7,7,-30.0,-93.81909547738694,12.460487790040903,-100.0,-100.0
8,8,-30.0,-93.76884422110552,12.813577682912547,-100.0,-100.0
9,9,-30.0,-93.01020408163265,13.50056302526554,-100.0,-100.0
10,10,-30.0,-93.93939393939394,12.53827931247103,-100.0,-100.0
11,11,-30.0,-93.73737373737374,13.49042747679943,-100.0,-100.0
12,12,-30.0,-93.3502538071066,13.402937871616219,-100.0,-100.0
13,13,-30.0,-93.68686868686869,13.10574433747746,-100.0,-100.0
14,14,-30.0,-93.3,13.568714014231416,-100.0,-100.0
15,15,-30.0,-93.43434343434343,13.383361912616465,-100.0,-100.0
16,16,-30.0,-94.1919191919192,13.069493175799051,-100.0,-100.0
17,17,-30.0,-93.5204081632653,13.60351814626833,-100.0,-100.0
18,18,-30.0,-92.52525252525253,14.69167525866019,-100.0,-100.0
19,19,-20.0,-92.82828282828282,15.11173228345701,-100.0,-100.0
20,20,-20.0,-92.41206030150754,15.505261071029595,-100.0,-100.0
21,21,-20.0,-84.29530201342281,19.772363383466537,-100.0,-100.0
22,22,-20.0,-83.10810810810811,19.23718778091128,-90.0,-100.0
23,23,-20.0,-83.70860927152317,19.483934425954143,-90.0,-100.0
24,24,-20.0,-83.20261437908496,19.458472448467457,-90.0,-100.0
25,25,-20.0,-81.53333333333333,20.42014256126098,-90.0,-100.0
26,26,-20.0,-77.97297297297297,20.890947847626315,-70.0,-100.0
27,27,-20.0,-80.87248322147651,21.6417718730876,-90.0,-100.0
28,28,-20.0,-84.16107382550335,21.113330219102302,-100.0,-100.0
29,29,-20.0,-80.52980132450331,21.555045182235414,-90.0,-100.0
30,30,-20.0,-82.0,21.786846184490923,-90.0,-100.0
31,31,-20.0,-82.86666666666666,21.208069742959214,-90.0,-100.0
32,32,-20.0,-83.53333333333333,21.20178189576422,-100.0,-100.0
33,33,-20.0,-79.66666666666667,22.43261514452165,-90.0,-100.0
34,34,-20.0,-77.91946308724832,22.85863083691957,-70.0,-100.0
35,35,-20.0,-80.73825503355705,23.14512022530198,-90.0,-100.0
36,36,-20.0,-78.05369127516778,23.76274938189115,-80.0,-100.0
37,37,-20.0,-77.86666666666666,23.482948896782297,-80.0,-100.0
38,38,-20.0,-77.4496644295302,23.719681811873446,-80.0,-100.0
39,39,-20.0,-80.53333333333333,23.91057413688671,-90.0,-100.0
40,40,-20.0,-78.93333333333334,24.55325278292516,-100.0,-100.0
41,41,-20.0,-76.06666666666666,23.885746563356335,-75.0,-100.0
42,42,-20.0,-79.53333333333333,24.720751516803762,-95.0,-100.0
43,43,-20.0,-77.86666666666666,25.048929895085116,-90.0,-100.0
44,44,-20.0,-77.38255033557047,24.642299344536042,-80.0,-100.0
45,45,-20.0,-72.86666666666666,24.9622826591551,-70.0,-100.0
46,46,-20.0,-77.91946308724832,24.69342677487718,-90.0,-100.0
47,47,-20.0,-79.6,24.464395898257262,-90.0,-100.0
48,48,-20.0,-80.06622516556291,22.713204396617964,-90.0,-100.0
49,49,-20.0,-82.05298013245033,23.084006699249503,-100.0,-100.0
50,50,-20.0,-83.17880794701986,22.14853114072336,-100.0,-100.0
51,51,-20.0,-80.46979865771812,22.144600155948712,-90.0,-100.0
52,52,-20.0,-79.73154362416108,23.40040465217815,-90.0,-100.0
53,53,-20.0,-80.73333333333333,22.630264887731403,-90.0,-100.0
54,54,-20.0,-81.32450331125828,23.23720175242926,-100.0,-100.0
55,55,-20.0,-79.53333333333333,22.929941609655753,-90.0,-100.0
56,56,-20.0,-77.6158940397351,22.893609660198642,-70.0,-100.0
57,57,-20.0,-77.41721854304636,21.483509035430355,-70.0,-100.0
58,58,-20.0,-81.25827814569537,21.50941995275772,-90.0,-100.0
59,59,-20.0,-81.73333333333333,22.47210616643566,-90.0,-100.0
60,60,-20.0,-78.6092715231788,23.8105028609055,-80.0,-100.0
61,61,-20.0,-81.0,23.08679276123039,-90.0,-100.0
62,62,-20.0,-78.8,23.09170125102667,-80.0,-100.0
63,63,-20.0,-79.46666666666667,20.80982673856005,-70.0,-100.0
64,64,-20.0,-82.5503355704698,20.105572449237886,-90.0,-100.0
65,65,-20.0,-84.42953020134229,20.01283314234434,-100.0,-100.0
66,66,-20.0,-85.50335570469798,19.087795799169417,-100.0,-100.0
67,67,-20.0,-82.93333333333334,21.056959788999823,-100.0,-100.0
68,68,-20.0,-88.4,18.764505500190158,-100.0,-100.0
69,69,-20.0,-81.32450331125828,19.383733765378516,-70.0,-100.0
70,70,-20.0,-83.93333333333334,18.543522379047143,-90.0,-100.0
71,71,-20.0,-81.8,18.940960904874917,-70.0,-100.0
72,72,-20.0,-83.73333333333333,19.375127239725565,-100.0,-100.0
73,73,-20.0,-81.06666666666666,18.444390896843288,-70.0,-100.0
74,74,-20.0,-82.66666666666667,18.64284193881275,-85.0,-100.0
75,75,-20.0,-80.06666666666666,19.74830513121457,-70.0,-100.0
