

gen best mean std gain diversity
0 92.394865 12.093819 31.047587 82.0 0.576049
0 92.665289 88.768447 13.703923 82.6 0.542232
1 93.859465 88.560959 17.733095 92.8 0.514768
2 93.859465 87.226202 22.353592 84.4 0.458311
3 93.634253 88.652332 16.355285 88.6 0.475619
4 94.000945 86.725782 20.517847 91.6 0.47616
5 94.000945 87.885526 19.616882 82.0 0.450911
6 93.386611 88.274499 18.124559 89.2 0.440659
7 93.974024 90.208464 13.142724 93.4 0.420132
8 92.966611 91.821453 1.753435 33.4 0.419913
9 93.931733 91.901883 1.440355 92.2 0.382866
10 93.17699 91.259632 9.892802 85.0 0.378494
11 93.859465 90.416948 10.728812 92.8 0.390604
12 94.264826 89.484393 14.970702 93.4 0.379995
13 94.264826 93.253542 1.465797 82.0 0.328741
14 93.806695 92.05843 5.186131 91.0 0.351563
15 93.263536 91.874212 1.62685 87.4 0.333525
16 93.446611 92.316079 1.209813 89.8 0.318705
17 93.859465 90.354778 12.503063 92.8 0.310285
18 93.806695 91.438334 7.314145 91.0 0.313342
19 93.9839 92.165812 9.159003 94.0 0.306708
20 93.9839 90.833812 13.069599 91.0 0.303602
21 93.9839 92.101303 9.074117 94.0 0.277943
22 93.610654 90.706712 13.374769 90.4 0.294322
23 94.360945 91.535052 9.645862 95.2 0.256473
24 93.9839 92.376304 9.192873 94.0 0.248321
25 93.9839 93.063143 1.093274 94.0 0.260265
26 94.043558 92.055556 4.115366 92.8 0.23711
27 94.043558 91.756984 5.53751 82.0 0.234724
28 94.043558 92.645353 2.409007 92.2 0.225525
29 94.043558 91.64341 3.310755 80.2 0.224711
30 93.859465 92.192368 1.76031 92.8 0.221808
31 93.9839 91.993622 1.455395 94.0 0.222037
32 93.9839 92.731197 1.040452 92.8 0.213011
33 94.204826 92.642293 1.13515 92.8 0.224502
34 93.939644 91.845897 5.683127 82.0 0.219622
35 94.264826 92.388252 1.560709 93.4 0.21377
36 94.264826 92.781143 4.004174 82.0 0.221227
37 93.9839 92.113739 1.417831 94.0 0.21607
38 93.9839 91.188667 4.745207 82.0 0.213544
39 93.859465 92.177346 1.40257 92.8 0.214254
40 93.9839 92.726733 1.636332 94.0 0.217383
41 94.000945 92.635507 3.052856 91.6 0.213471
42 93.9839 92.102607 1.73071 94.0 0.209977
43 93.9839 91.917149 9.07993 82.0 0.198462
44 93.9839 92.821442 0.505599 85.6 0.197378
45 93.9839 92.865678 0.676462 82.0 0.204785
46 93.9839 92.844866 0.436717 94.0 0.188309
47 93.631733 92.556559 0.97533 82.0 0.189787
48 93.9839 92.733589 1.11593 94.0 0.181206
49 93.9839 92.57549 1.63509 82.0 0.187739
50 93.859465 92.382049 2.451106 92.8 0.188567
51 93.939644 93.005039 1.806638 91.6 0.185133
52 93.939644 93.320549 1.27368 86.2 0.180819
53 94.126708 91.813849 5.389656 92.8 0.186801
54 93.806695 91.920815 4.899902 91.0 0.183597
55 93.859465 91.784003 6.612015 92.8 0.181321
56 93.939644 92.856399 1.861886 91.6 0.187051
57 93.806695 92.659263 1.828132 89.2 0.181623
