

gen best mean std gain diversity
0 -17.1 -81.512 21.198632 -17.1 0.577305
0 -7.466667 -53.672 27.52951 -7.466667 0.625324
1 -3.2 -40.805333 27.93747 -84.233333 0.631144
2 0.066667 -38.697778 29.141786 0.066667 0.590957
3 0.066667 -39.168444 27.670624 -27.033333 0.571879
4 0.066667 -36.372222 28.10628 -54.666667 0.54321
5 -0.033333 -44.014889 26.904406 -38.7 0.539094
6 -0.033333 -42.612444 26.074135 -38.7 0.518371
7 -0.033333 -46.182889 28.358773 -38.7 0.471939
8 -0.033333 -46.781111 26.061976 -30.533333 0.400747
9 -0.033333 -45.880222 24.55884 -38.7 0.366772
10 -0.033333 -45.966222 22.917229 -38.7 0.328422
11 -5.9 -45.124444 18.985131 -38.7 0.303679
12 -5.9 -48.306889 21.091255 -38.7 0.315378
13 -17.166667 -47.858222 21.049947 -17.166667 0.313061
14 -14.233333 -47.917111 21.429173 -14.233333 0.331207
15 -0.833333 -42.396222 18.883225 -38.7 0.289072
16 -0.833333 -42.763556 20.11656 -38.7 0.319952
17 -17.566667 -44.962667 19.438061 -38.7 0.282901
18 -0.3 -43.294444 18.474866 -0.3 0.285391
19 -0.3 -44.102667 22.061497 -38.7 0.307128
20 0.166667 -37.804 23.842767 0.166667 0.303185
21 0.166667 -42.871111 25.300527 -38.7 0.290144
22 0.166667 -45.283333 21.260461 -38.7 0.29453
23 -0.2 -42.188889 18.562588 -38.7 0.289322
24 -7.566667 -41.395111 18.000451 -38.7 0.274389
25 -21.366667 -45.961556 19.833719 -38.7 0.27918
26 -0.033333 -47.155111 21.441572 -0.033333 0.284061
27 -0.033333 -40.267111 17.810559 -37.033333 0.292109
28 0.866667 -43.745778 20.378403 0.866667 0.289062
29 0.866667 -43.795556 22.114868 -37.033333 0.30358
30 0.866667 -42.520444 22.626135 -38.7 0.417176
31 4.366667 -41.375111 23.84693 -38.7 0.32529
32 0.866667 -43.094222 22.577636 -38.7 0.300016
33 0.866667 -43.704889 19.424441 -38.7 0.290951
34 0.866667 -44.516222 18.899067 -38.7 0.278243
35 -15.833333 -46.674 19.646311 -90.933333 0.272002
36 -5.133333 -45.121333 19.080355 -5.133333 0.28392
37 3.0 -46.281556 19.901279 3.0 0.281855
38 3.0 -47.112667 23.219463 -38.7 0.283886
39 3.0 -46.266222 23.772958 -38.7 0.303488
40 3.0 -43.355556 24.459659 -38.7 0.326147
41 3.0 -48.287333 24.761965 -38.7 0.310702
42 -22.433333 -48.734889 21.20455 -22.433333 0.304402
43 -2.166667 -45.956444 19.810371 -2.166667 0.309446
44 -2.166667 -49.070667 21.733674 -38.7 0.295399
45 -0.033333 -47.156 21.550447 -0.033333 0.315724
46 -0.033333 -48.154222 22.161758 -38.7 0.316682
47 -4.333333 -48.722444 21.910369 -4.333333 0.3117
48 -3.366667 -49.481778 22.712894 -3.366667 0.309722
49 -3.366667 -50.219333 23.294173 -38.7 0.320494
50 -14.233333 -45.406 19.946326 -14.233333 0.311344
51 -1.6 -48.580222 23.429119 -1.6 0.318736
52 -4.233333 -48.002667 21.24095 -4.233333 0.353282
53 -4.233333 -44.840667 21.285842 -38.7 0.356965
54 -1.633333 -47.685778 24.561058 -1.633333 0.361594
55 1.166667 -47.72 24.035751 1.166667 0.336074
56 1.166667 -47.770667 23.053136 -38.7 0.320183
57 1.166667 -49.059333 27.221422 -38.7 0.347009
58 1.166667 -45.209778 24.791028 -38.7 0.324728
59 1.166667 -49.380889 23.601403 -38.7 0.332308
60 -23.733333 -47.111333 18.779332 -23.733333 0.425398
61 4.366667 -46.225556 22.789015 -38.7 0.341971
62 -0.033333 -48.289333 23.218238 -0.033333 0.333749
63 -0.033333 -43.308889 23.219017 -38.7 0.349721
64 -7.566667 -46.591111 22.706375 -7.566667 0.34328
65 -7.566667 -48.460222 21.889571 -7.566667 0.336892
66 -11.233333 -46.911333 20.904354 -11.233333 0.345343
67 -12.8 -49.269556 23.514389 -38.7 0.358198
68 2.166667 -49.182444 24.071136 2.166667 0.350057
69 2.166667 -46.884 25.888502 -38.7 0.365678
70 2.166667 -41.149556 25.544191 -37.033333 0.379663
71 2.166667 -44.051111 24.47263 -37.033333 0.381438
72 5.166667 -42.552222 24.624568 5.166667 0.360199
73 5.166667 -39.096444 26.111765 -23.733333 0.37282
74 5.166667 -41.831333 26.336256 -38.7 0.391496
75 10.466667 -42.732444 26.72613 10.466667 0.384555
76 10.466667 -44.002 24.977621 -38.7 0.39348
77 -4.133333 -47.206222 24.911326 -4.133333 0.37533
78 -4.133333 -44.29 22.419295 -38.7 0.364781
79 -7.566667 -46.068 22.609656 -14.733333 0.372241
80 -5.9 -48.011556 23.079759 -5.9 0.349999
81 -2.566667 -47.700667 22.190919 -2.566667 0.317508
82 -10.666667 -49.915333 23.667149 -10.666667 0.345378
83 3.133333 -48.834444 23.968115 3.133333 0.355612
84 3.133333 -44.953333 23.507212 -38.7 0.352036
85 3.133333 -45.816 21.565583 -38.7 0.351599
86 3.133333 -47.538889 24.990884 -51.766667 0.37502
87 -4.233333 -45.795333 22.753918 -38.7 0.379534
88 -4.233333 -46.260889 22.042571 -38.7 0.353837
89 -1.733333 -46.717111 22.766888 -1.733333 0.37316
90 1.0 -45.277111 22.505744 1.0 0.486077
91 10.533333 -42.989111 26.473585 10.533333 0.440085
92 10.533333 -47.662 25.213705 -38.7 0.401695
93 10.533333 -45.229778 27.5278 -52.766667 0.384811
94 0.866667 -42.775556 21.398797 0.866667 0.404378
95 4.633333 -45.121333 24.87121 4.633333 0.373233
96 4.633333 -46.970222 26.259178 -38.7 0.364417
97 0.866667 -46.436222 23.310864 -38.7 0.369025
98 -5.9 -44.192444 22.271023 -38.7 0.36768
99 -5.9 -46.076 22.7809 -5.9 0.359492

gen best mean std gain diversity
