

gen best mean std gain diversity
0 11.15 -73.365333 28.710071 11.15 0.577356
0 36.55 -18.461667 36.137458 -21.9 0.634707
1 35.2 -1.453667 31.796931 15.35 0.642165
2 38.7 2.269 33.258434 38.7 0.625798
3 38.7 8.790333 33.882351 19.35 0.607121
4 43.05 18.483 24.454837 43.05 0.650047
5 61.25 12.891667 36.275479 61.25 0.652139
6 61.25 18.932333 37.202262 31.3 0.640216
7 43.35 20.887667 29.514158 43.35 0.580978
8 46.2 21.614 26.534633 46.2 0.582573
9 45.0 12.688667 38.329314 45.0 0.565503
10 46.2 20.422 31.74397 18.65 0.544876
11 45.9 17.753333 32.794578 23.65 0.596091
12 40.8 17.265 28.728437 22.25 0.592292
13 42.0 18.452 27.055153 42.0 0.654597
14 44.15 19.321 33.248717 44.15 0.642686
15 48.55 25.197333 22.441661 48.55 0.603368
16 48.55 24.032333 29.489697 45.0 0.645108
17 48.0 26.913 24.829517 32.9 0.587462
18 47.7 20.642 32.676946 38.45 0.612351
19 45.55 15.754333 36.52871 23.0 0.650425
20 44.8 18.323667 30.141749 26.65 0.650405
21 42.95 21.335333 31.495532 32.9 0.650114
22 43.1 18.564667 29.528427 43.1 0.644797
23 46.85 20.378333 32.74323 46.85 0.689425
24 44.8 21.867667 31.9257 44.8 0.6301
25 46.85 18.682333 33.663255 43.55 0.699689
26 45.3 15.695667 35.020034 23.65 0.740664
27 47.65 21.163 28.456333 47.65 0.662448
28 47.65 18.270333 36.512621 41.45 0.653435
29 47.55 19.673667 31.474771 47.55 0.683882
30 46.95 19.324 36.553444 26.15 0.658227
31 53.65 20.691 32.989759 53.65 0.630783
32 53.65 19.799667 37.284553 38.9 0.662681
33 48.65 21.708333 32.809137 48.65 0.607342
34 48.65 23.715333 31.523677 43.2 0.642199
35 51.5 23.633333 23.668021 51.5 0.614738
36 64.5 14.190667 36.927782 64.5 0.652553
37 64.5 17.287667 36.471376 41.3 0.660062
38 48.05 13.690333 36.42645 48.05 0.706712
39 51.0 18.062333 32.764464 51.0 0.67652
40 51.0 23.432333 26.767751 51.0 0.716659
41 47.0 19.489 34.03554 23.65 0.683748
42 42.75 20.311 31.414264 35.2 0.641768
43 43.25 16.004667 33.214576 43.25 0.624803
44 49.55 23.396333 27.905984 49.55 0.639937
45 59.3 26.115 28.340653 59.3 0.618918
46 59.3 20.072333 37.002661 24.45 0.641001
47 44.5 17.458 37.117939 23.65 0.633511
48 44.3 19.692333 32.308942 38.65 0.660062
49 45.15 21.243 28.622728 45.15 0.671786
50 45.15 20.717333 32.578979 45.15 0.714525
51 55.6 17.929667 30.238624 55.6 0.709651
52 55.6 19.412333 32.800103 32.55 0.678373
53 55.6 21.282 32.383671 45.35 0.675847
54 55.6 16.707333 36.341868 18.65 0.702811
55 44.9 14.602333 39.179462 44.9 0.713925
56 51.0 20.218 35.343514 39.95 0.710385
57 44.65 16.37 34.983017 23.65 0.655109
58 44.65 17.172333 35.525154 26.05 0.651986
59 44.65 14.771667 32.358189 22.7 0.675416
60 44.65 14.565333 38.425277 44.65 0.690227
61 45.15 17.563333 33.460193 45.15 0.689608
62 45.15 13.808333 42.242931 32.75 0.723835
63 48.55 16.713333 34.485623 48.55 0.679213
64 48.55 12.743667 41.072385 23.65 0.695148
65 43.75 18.083667 30.440893 43.75 0.680513
66 43.75 15.040333 38.047247 32.6 0.694929
67 43.75 15.169 35.240176 32.75 0.69056
68 43.75 22.798333 28.760089 40.5 0.687867
69 43.75 17.078 33.456751 33.5 0.650636
70 49.8 19.754667 34.155386 49.8 0.67607
71 49.8 21.286 28.047944 31.9 0.679405
72 42.0 20.095 31.524921 11.15 0.673686
73 43.3 16.928667 35.235172 43.3 0.67878
74 46.85 17.925667 34.617206 46.85 0.699246
75 46.85 12.835333 39.5857 36.55 0.716235
76 41.8 14.663333 38.265004 33.65 0.710008
77 45.45 20.108 30.271307 45.45 0.688102
78 45.45 15.685333 38.84581 45.45 0.696215
79 45.95 19.467667 32.287733 45.95 0.681314
80 45.95 19.182667 35.85998 21.15 0.610878
81 44.15 13.971 36.88603 38.65 0.679998
82 46.35 18.710333 34.473919 46.35 0.672892
83 46.35 14.954 40.455564 38.5 0.71088
84 43.2 21.510333 30.885771 43.2 0.684937
85 43.2 9.977667 40.174955 23.65 0.660775
86 44.65 17.393 33.14794 44.65 0.695553
87 44.8 17.088667 29.774032 44.8 0.675216
88 44.8 17.349 38.334103 32.75 0.672455
89 43.9 15.207 35.439711 29.7 0.6995
90 43.4 17.732 36.19419 38.8 0.710527
91 43.4 14.928 35.652958 23.65 0.695285
92 38.95 18.0 33.23343 32.6 0.712888
93 38.65 18.244333 25.723828 32.6 0.646081
94 38.95 17.547333 30.38083 33.2 0.689894
95 39.9 15.035667 31.360762 39.9 0.651959
96 39.9 24.051333 26.8085 34.45 0.673306
97 44.2 15.533333 33.044082 44.2 0.678161
98 44.2 16.588667 39.134922 32.3 0.709665
99 44.35 10.508667 41.508774 44.35 0.711874
