

gen best mean std gain diversity
0 5.433333 -80.690444 22.944859 5.433333 0.577345
0 5.433333 -44.971778 31.776247 -40.233333 0.59841
1 18.366667 -33.510667 30.957531 18.366667 0.619731
2 18.366667 -25.181333 24.299381 -40.333333 0.605665
3 18.366667 -24.874222 29.594558 -14.233333 0.617098
4 18.366667 -20.559333 28.939545 -80.0 0.5855
5 18.366667 -21.534889 29.574452 -1.133333 0.562512
6 18.366667 -17.330889 22.711193 -14.233333 0.510985
7 5.4 -26.762 28.951616 5.4 0.557378
8 5.4 -18.247111 21.238339 5.4 0.501331
9 10.366667 -15.223778 19.90563 10.366667 0.492188
10 18.366667 -15.955778 25.450186 0.166667 0.447055
11 5.633333 -13.324 26.861274 0.266667 0.437409
12 12.366667 -13.856444 26.506693 12.366667 0.467081
13 23.4 -7.643333 18.385935 23.4 0.412294
14 23.4 -7.596667 21.176893 2.766667 0.411125
15 23.4 -8.871333 25.321988 3.3 0.487356
16 23.4 -12.185333 26.330329 2.566667 0.542834
17 23.4 -9.405333 20.201242 0.8 0.556875
18 8.5 -10.611778 23.373318 8.5 0.492903
19 8.5 -9.183778 24.995401 5.2 0.480016
20 13.4 -9.068889 24.608602 13.4 0.47257
21 24.7 -7.275778 23.469288 24.7 0.443062
22 24.7 -5.962222 22.230866 0.166667 0.504552
23 24.7 -5.141111 25.911333 6.566667 0.481051
24 24.7 -5.528 24.898218 4.666667 0.46146
25 34.466667 -3.009333 18.990289 34.466667 0.504619
26 34.466667 -3.674889 25.433577 34.466667 0.492568
27 34.466667 -3.254222 26.23995 21.433333 0.504296
28 34.466667 -2.352444 24.233795 5.166667 0.509739
29 34.466667 -5.053778 30.777545 13.4 0.502208
30 34.466667 -3.462889 26.022955 1.566667 0.55154
31 34.466667 -7.259778 30.700492 2.766667 0.565823
32 34.466667 -5.374 26.491931 7.6 0.577873
33 21.433333 -5.574222 30.079323 4.666667 0.577593
34 21.433333 -7.280889 31.171339 13.4 0.606968
35 21.433333 -4.252667 26.618746 6.1 0.591164
36 21.433333 -6.019556 27.771259 -14.233333 0.605568
37 25.3 -5.710889 29.268516 25.3 0.560593
38 25.3 -7.478222 29.35769 6.0 0.564824
39 25.3 -3.294667 26.270499 -14.233333 0.552443
40 25.3 -5.716444 28.669209 11.466667 0.565699
41 25.3 -2.972667 25.055751 25.3 0.550611
42 25.3 -8.384444 27.667291 4.833333 0.55205
43 17.7 -7.397333 27.392196 17.7 0.553232
44 18.8 -9.556222 31.049184 18.8 0.571176
45 18.8 -9.862667 27.34977 4.366667 0.609152
46 19.6 -9.734222 23.953919 19.6 0.637692
47 26.966667 -10.722667 26.347265 26.966667 0.650415
48 26.966667 -9.426889 27.345581 -0.533333 0.631188
49 26.966667 -9.642667 28.964394 4.833333 0.644889
50 26.966667 -9.075111 29.130675 16.1 0.624216
51 26.966667 -12.790444 32.236827 9.266667 0.661626
52 26.966667 -8.146222 27.233812 9.366667 0.63372
53 27.233333 -12.600444 30.378108 27.233333 0.616701
54 27.233333 -8.787556 28.775938 5.0 0.604996
55 27.233333 -9.918889 30.343784 -30.566667 0.594473
56 27.233333 -11.061111 30.86599 -30.566667 0.608748
57 27.233333 -11.410889 32.301738 6.533333 0.597208
58 27.233333 -7.327556 26.648829 16.1 0.597037
59 27.233333 -8.575556 28.251463 5.0 0.570691
60 31.866667 -6.503333 27.774088 31.866667 0.662637
61 31.866667 -9.683778 32.378448 27.233333 0.665536
62 31.866667 -6.265778 31.604268 15.7 0.641343
63 31.866667 -3.668222 25.022062 20.7 0.595754
64 31.866667 -4.183778 28.875577 9.033333 0.636681
65 31.866667 -7.253778 31.419686 4.8 0.610776
66 31.866667 -5.324667 29.588268 27.233333 0.610846
67 31.866667 -5.308444 26.645029 1.233333 0.622644
68 31.866667 -2.717333 28.717353 4.333333 0.611425
69 31.866667 -4.046889 27.876019 3.1 0.635731
70 36.1 -5.019556 31.803375 36.1 0.642334
71 36.1 -0.738 27.716435 2.3 0.635623
72 36.1 -6.641778 33.413387 3.1 0.632425
73 36.1 -3.434222 30.030362 4.333333 0.637599
74 36.1 0.434667 26.096685 2.3 0.618173
75 36.1 -7.750222 31.899992 36.1 0.69038
76 36.1 -6.008222 31.116951 36.1 0.712379
77 36.1 -8.605556 31.48055 24.9 0.71097
78 26.966667 -7.297778 29.518256 -24.366667 0.692944
79 27.533333 -8.574222 29.183914 27.533333 0.714631
80 27.533333 -2.870222 27.149048 9.133333 0.692241
81 27.533333 -5.530667 28.044208 9.2 0.686317
82 26.966667 -8.857333 30.051841 3.666667 0.713612
83 32.266667 -6.641333 28.478725 32.266667 0.6717
84 32.266667 -4.759111 29.338897 7.633333 0.689789
85 32.266667 -8.383333 31.290207 11.2 0.673357
86 32.266667 -5.929778 30.185995 9.433333 0.685521
87 32.266667 -6.334667 29.759179 8.7 0.681868
88 30.766667 -5.112667 27.645627 11.2 0.666945
89 30.766667 -3.513778 27.125136 8.8 0.679506
90 30.766667 -5.181556 28.050482 30.766667 0.661175
91 30.766667 -7.715556 31.854707 -12.466667 0.69638
92 30.766667 -7.203333 29.708212 -5.866667 0.71084
93 31.866667 -7.894444 29.825002 -12.466667 0.709898
94 31.866667 -10.174889 30.53525 -42.833333 0.715349
95 31.866667 -12.267333 28.483403 3.133333 0.728036
96 31.866667 -8.735333 31.81382 3.133333 0.711454
97 31.866667 -8.34 28.654127 -5.866667 0.696769
98 31.866667 -8.471333 29.898727 3.133333 0.68615
99 31.866667 -8.101778 32.015761 15.933333 0.683079
100 31.866667 -7.88 30.596739 4.366667 0.674814
101 31.866667 -6.444889 30.539527 10.866667 0.685189
102 31.866667 -2.238889 26.141244 13.266667 0.67184
103 31.866667 -6.811111 34.204882 10.8 0.663449
104 31.866667 -0.554222 27.070361 31.866667 0.649427
105 31.866667 -5.123333 31.300027 13.266667 0.705751
106 31.866667 -7.092222 32.549263 -27.133333 0.723698
107 31.866667 -7.828667 31.209776 4.366667 0.697182
108 31.866667 -7.002222 31.377411 29.333333 0.666705
109 31.866667 -7.349778 31.698343 17.8 0.695965
110 31.866667 -10.790889 30.775009 -29.266667 0.70831
111 31.866667 -11.664889 30.519135 8.033333 0.72599
112 31.866667 -9.212 29.781458 31.866667 0.720021
113 31.866667 -5.626222 29.096043 2.033333 0.686203
114 31.866667 -5.504667 28.329649 13.3 0.689378
115 31.866667 -3.668222 24.910552 5.166667 0.686268
116 31.866667 -9.564 32.892865 17.8 0.69985
117 31.866667 -5.526222 28.519432 17.8 0.672003
118 31.866667 -6.541556 33.875129 8.033333 0.680462
119 31.866667 -5.208222 31.093304 17.366667 0.670557
120 34.6 -6.416667 33.03901 34.6 0.694081
121 34.6 -4.231778 30.760889 -27.133333 0.671258
122 34.6 -8.641111 32.540412 -9.233333 0.683589
123 34.6 -9.336222 32.643986 -34.666667 0.698643
124 31.866667 -8.810889 30.879425 -33.333333 0.696424
125 31.866667 -8.998 31.205386 15.066667 0.676658
126 31.866667 -7.562667 33.017302 17.6 0.688533
127 31.866667 -6.826222 35.142484 20.766667 0.682511
128 31.866667 -8.698 33.866673 5.066667 0.67434
129 31.866667 -6.856889 30.464067 17.8 0.653748
130 42.6 -4.616 28.935983 42.6 0.686597
131 42.6 -3.114222 30.937349 8.566667 0.613119
132 42.6 -4.075333 34.851268 18.866667 0.59339
133 42.6 -1.242444 30.977241 15.8 0.566424
134 42.6 0.798889 30.737562 18.0 0.588645
135 42.6 -3.820889 32.008974 17.3 0.584602
136 42.6 -4.170444 31.914911 -47.766667 0.64581
137 42.6 -3.945556 28.986294 -5.866667 0.648992
138 42.6 -5.185556 33.528308 -5.866667 0.64364
139 42.6 -3.286667 31.606012 11.1 0.623522
140 42.6 -3.498444 33.834821 -10.9 0.599843
141 42.6 -5.635556 31.210049 -10.9 0.6288
142 42.6 -6.237556 31.16683 16.2 0.63483
143 42.6 -5.686667 33.262641 -58.4 0.610616
144 42.6 -7.876222 33.372609 13.933333 0.612299
145 42.6 -0.717111 29.131089 18.366667 0.516696
146 42.6 -1.618222 28.585053 -19.433333 0.536394
147 42.6 -3.045556 32.807193 -1.833333 0.570893
148 42.6 -1.481778 29.441331 18.866667 0.56921
149 42.6 -3.450889 31.250579 2.966667 0.576333
150 42.6 1.212222 26.47549 16.166667 0.610203
151 42.6 -5.713778 34.842134 21.466667 0.652291
152 42.6 -1.281778 31.356033 42.6 0.640506
153 42.6 0.768444 31.994855 -10.9 0.626177
154 52.233333 1.144444 26.962504 52.233333 0.639373
155 52.233333 -0.161333 30.035666 14.6 0.608382
156 42.6 1.013333 26.139464 22.733333 0.586718
157 42.6 0.827333 26.312632 42.6 0.562392
158 42.6 -3.563111 30.533906 35.933333 0.590947
159 42.6 1.088 27.049123 19.633333 0.553627
160 42.6 2.462889 25.090624 2.3 0.560383
161 42.6 -1.733556 30.317479 13.833333 0.591607
162 42.6 -0.682222 27.467312 -0.133333 0.606414
163 42.6 -0.995778 28.457987 11.9 0.57871
164 42.6 -4.928667 36.180683 42.6 0.575008
165 42.6 1.286444 25.958797 22.233333 0.608767
166 36.366667 -0.817556 30.775747 4.366667 0.643328
167 44.266667 2.006667 29.294306 44.266667 0.580566
168 44.266667 1.154444 30.919596 13.833333 0.614284
169 44.266667 2.523333 33.363271 19.8 0.571534
170 44.266667 2.61 34.513904 22.233333 0.558582
171 44.266667 2.724 32.23306 20.2 0.56667
172 44.266667 -0.019556 35.058432 20.466667 0.573819
173 44.266667 3.172667 33.648893 -52.666667 0.556746
174 44.266667 6.471333 31.48109 16.666667 0.532124
175 44.266667 2.708667 32.066481 7.933333 0.550566
176 44.266667 4.451333 33.861372 18.3 0.565978
177 44.266667 1.349556 33.540976 21.933333 0.578066
178 41.6 4.751111 32.521247 19.5 0.572297
179 41.6 1.476667 33.976554 21.433333 0.593495
180 38.2 -0.2 33.789836 20.466667 0.615614
181 38.2 -0.840222 33.34472 4.366667 0.636623
182 35.933333 1.826667 29.109651 28.133333 0.641765
183 45.566667 0.162889 30.626376 45.566667 0.620685
184 45.566667 1.815778 31.854007 21.933333 0.647003
185 45.566667 -1.850889 34.40402 32.0 0.652708
186 45.566667 0.675111 29.847368 13.2 0.587608
187 35.933333 2.360667 28.136223 13.2 0.608411
188 35.933333 -4.140222 33.911077 3.866667 0.651165
189 35.933333 1.080667 31.434506 -7.566667 0.6173
190 35.933333 -1.702667 29.136309 -13.866667 0.641734
191 35.933333 -0.733556 32.128608 13.2 0.632487
192 35.933333 -4.994222 35.059047 -5.5 0.64081
193 35.933333 -3.804222 32.247202 24.3 0.659536
194 35.933333 0.337111 28.887059 13.733333 0.664376
195 35.933333 -5.445333 32.038981 -13.866667 0.678342
196 35.933333 -0.331333 30.141305 10.666667 0.680495
197 35.933333 -5.590222 34.55569 15.133333 0.670011
198 35.933333 -3.571333 31.35073 5.6 0.647921
199 35.933333 -2.633778 30.780667 -0.133333 0.65083
