

gen best mean std gain diversity
0 -14.233333 -78.69 21.944289 -14.233333 0.57735
0 4.366667 -42.576889 28.572655 -14.233333 0.571647
1 4.3 -32.07 30.620529 -33.666667 0.533768
2 4.5 -32.304667 30.935017 4.5 0.573449
3 4.5 -26.058444 29.501604 -14.233333 0.5632
4 4.5 -26.737111 28.565623 -14.233333 0.492789
5 1.733333 -22.121333 24.62643 -14.233333 0.502067
6 4.533333 -22.594667 26.969341 4.533333 0.453526
7 4.533333 -17.219111 20.349808 -14.233333 0.385311
8 4.533333 -26.052889 29.849626 0.766667 0.367757
9 24.3 -23.257333 28.19609 24.3 0.270105
10 24.3 -20.844667 25.544956 -14.233333 0.174893
11 24.3 -20.378889 33.629802 11.133333 0.177933
12 24.3 -17.968889 33.823486 -14.233333 0.183675
13 24.3 -13.65 32.356376 -14.233333 0.193465
14 24.3 -9.505111 28.890366 1.033333 0.220783
15 24.3 -14.008667 30.679517 -14.233333 0.403143
16 24.3 -14.487778 31.698923 -26.366667 0.462104
17 24.3 -14.335778 31.833085 -26.366667 0.529159
18 24.3 -9.424889 24.344709 -5.866667 0.540696
19 24.3 -10.452889 25.486391 -33.333333 0.49947
20 24.3 -10.491556 30.140139 -12.5 0.523771
21 24.3 -11.019333 30.50163 10.966667 0.475684
22 24.3 -9.35 26.415393 -12.5 0.495064
23 24.3 -10.835556 29.341167 3.433333 0.494937
24 24.3 -8.516222 24.848608 -25.666667 0.468076
25 24.3 -10.439333 30.313895 -25.666667 0.466086
26 24.3 -9.593556 29.156125 4.966667 0.405522
27 20.9 -7.735778 26.812815 20.9 0.397749
28 20.9 -9.508 28.22899 2.566667 0.409494
29 20.9 -9.918667 31.172359 2.166667 0.409586
30 20.9 -6.308889 23.758173 3.266667 0.538682
31 20.9 -11.326667 29.591102 6.4 0.538926
32 19.533333 -11.388889 29.458271 8.433333 0.535584
33 19.533333 -10.309556 26.940267 12.166667 0.604051
34 19.533333 -8.744222 25.176753 -58.4 0.566494
35 19.533333 -9.975556 29.507044 7.6 0.518825
36 19.533333 -10.549111 32.494704 6.4 0.52591
37 19.533333 -11.301778 31.64585 -58.4 0.527325
38 19.533333 -12.169778 31.2362 -0.033333 0.514362
39 19.533333 -9.892222 27.25107 0.566667 0.49346
40 25.433333 -12.675556 31.668953 25.433333 0.523501
41 25.433333 -8.338444 27.570142 6.4 0.4806
42 25.433333 -6.537778 25.850692 -47.766667 0.460333
43 25.433333 -7.232889 29.760491 10.8 0.462059
44 25.433333 -9.876667 31.493287 10.033333 0.469017
45 23.466667 -8.802667 26.648931 23.466667 0.492161
46 23.466667 -12.130667 29.489189 -52.666667 0.534323
47 23.466667 -8.622667 24.919267 7.233333 0.451457
48 23.466667 -10.351556 26.886398 9.2 0.484419
49 23.466667 -8.611556 26.277404 7.233333 0.488281
50 23.466667 -7.319111 26.493576 2.5 0.442977
51 23.466667 -8.644444 29.552272 2.5 0.446404
52 23.466667 -5.496222 26.494225 8.266667 0.436398
53 23.466667 -2.584444 22.243051 14.3 0.417891
54 23.466667 -7.372222 29.222407 3.4 0.45552
55 23.466667 -8.016889 30.086074 12.833333 0.433051
56 23.466667 -6.114444 30.180023 3.233333 0.428578
57 22.966667 -4.599778 27.026745 -1.6 0.428226
58 22.966667 -4.269333 24.672339 -1.6 0.438306
59 22.966667 -10.172222 32.073963 3.033333 0.463942
60 22.966667 -10.981111 31.542651 2.5 0.531998
61 19.9 -12.083556 31.203621 2.5 0.582121
62 19.9 -9.623111 27.827123 -37.033333 0.585221
63 16.266667 -9.655111 26.135054 10.666667 0.546841
64 16.266667 -9.763556 26.343466 5.166667 0.530033
65 14.3 -7.690444 26.207068 -58.4 0.50107
66 14.3 -5.390444 24.032182 3.233333 0.505499
