

gen best mean std gain diversity
0 -9.833333 -81.415556 22.338401 -9.833333 0.577357
0 4.366667 -49.7 28.763602 -37.033333 0.634164
1 5.533333 -35.491111 25.253529 5.533333 0.568881
2 5.533333 -31.637111 22.302983 -37.033333 0.551254
3 5.533333 -28.387778 23.048159 -43.733333 0.538545
4 5.533333 -28.265778 24.562796 -37.033333 0.538747
5 5.766667 -29.678667 22.015197 5.766667 0.50277
6 5.766667 -29.140222 21.306171 -37.033333 0.470098
7 5.766667 -31.475333 19.796287 -13.566667 0.424571
8 2.5 -36.05 20.547277 -37.033333 0.462232
9 2.066667 -36.082 19.117494 -35.233333 0.449678
10 -12.2 -36.697556 17.032192 -35.233333 0.39938
11 -1.9 -38.446 20.03154 -1.9 0.35742
12 -13.566667 -39.144222 15.564748 -37.033333 0.292254
13 -12.066667 -42.107556 21.405597 -12.066667 0.291795
14 2.533333 -40.118222 21.640783 2.533333 0.315467
15 4.366667 -35.472667 17.246433 -37.033333 0.434506
16 2.533333 -36.170444 21.955892 -37.033333 0.401039
17 -7.966667 -36.398889 21.811909 -7.966667 0.435805
18 -7.566667 -36.458889 20.274169 -7.566667 0.389925
19 3.233333 -39.194444 22.82908 3.233333 0.349301
20 4.6 -35.564444 21.782621 4.6 0.372096
21 4.6 -36.426667 22.295112 -14.233333 0.392683
22 10.666667 -34.963556 19.822879 10.666667 0.382445
23 10.666667 -36.470889 20.259222 -37.033333 0.342043
24 10.666667 -39.499778 17.093646 -37.033333 0.228094
25 -13.566667 -42.355333 18.195129 -37.033333 0.193502
26 -12.1 -42.334222 17.560575 -12.1 0.171075
27 -16.166667 -42.915111 17.743426 -16.166667 0.190405
28 -13.566667 -41.436667 17.454153 -37.033333 0.179098
29 1.566667 -40.020667 18.697179 1.566667 0.267888
30 7.9 -39.633111 22.000997 7.9 0.389043
31 7.9 -38.600222 22.243476 -37.033333 0.340094
32 7.9 -36.551333 19.940347 -37.033333 0.363184
33 -7.566667 -37.085111 18.567252 -7.566667 0.388792
34 -7.566667 -38.137111 16.862622 -26.8 0.303796
35 -7.866667 -39.295556 20.022593 -7.866667 0.313486
36 -13.566667 -39.382889 18.557944 -37.033333 0.331105
37 -6.233333 -36.302667 19.751525 -6.233333 0.385609
38 -12.3 -40.455556 20.504147 -12.3 0.348713
39 2.933333 -36.357111 22.158218 2.933333 0.409832
40 2.933333 -35.429333 23.379253 2.933333 0.408602
41 2.933333 -38.467111 21.603537 -37.033333 0.388918
42 19.266667 -37.538444 20.035424 19.266667 0.344562
43 19.266667 -38.376667 23.704241 -37.033333 0.357998
44 19.266667 -35.067556 24.214953 -37.033333 0.399034
45 19.266667 -37.454222 18.700581 -37.033333 0.418965
46 -10.6 -39.728889 17.78187 -37.033333 0.343169
47 -8.8 -39.379556 15.121206 -8.8 0.25484
48 -8.8 -39.561111 15.26584 -37.033333 0.272704
49 -10.0 -40.968222 16.670792 -10.0 0.172017
50 -10.0 -39.718889 13.616959 -16.766667 0.167941
51 -16.633333 -41.760222 16.156631 -37.033333 0.174727
52 -19.3 -43.414 17.899559 -19.3 0.173083
53 -15.766667 -43.585111 16.989436 -15.766667 0.167074
54 -20.1 -43.945778 18.514479 -20.1 0.202437
55 -13.566667 -41.864444 18.350241 -37.033333 0.27187
56 -13.566667 -40.001556 17.228848 -37.033333 0.29877
57 -13.566667 -40.382667 16.052476 -37.033333 0.261809
58 -13.566667 -40.926 19.226604 -37.033333 0.314244
59 2.933333 -40.366667 21.202932 2.933333 0.326579
60 4.366667 -35.226889 17.674319 -37.033333 0.41936
61 -9.233333 -39.582 19.706053 -9.233333 0.387346
62 -4.233333 -39.020889 18.475498 -4.233333 0.404179
63 4.2 -39.723333 22.816215 4.2 0.416683
64 4.2 -38.864 21.390776 -37.033333 0.385373
65 -9.233333 -37.475778 19.257454 -9.233333 0.375611
66 -9.233333 -39.849333 18.071742 -37.033333 0.362268
67 -5.233333 -37.067333 16.328524 -5.233333 0.317226
68 -12.2 -36.797556 14.972429 -12.2 0.373658
69 -12.9 -36.721556 17.092145 -37.033333 0.391232
70 -7.566667 -41.334667 21.518921 -7.566667 0.357295
71 -12.466667 -39.615778 18.399783 -12.466667 0.30295
72 -7.566667 -40.518667 20.828832 -7.566667 0.376473
73 3.933333 -37.463111 20.380603 -37.033333 0.338447
74 3.933333 -38.239333 19.787573 -37.033333 0.369415
75 4.366667 -37.000889 18.745266 -37.033333 0.437378
76 3.933333 -38.567556 19.864706 -37.033333 0.410375
77 3.933333 -42.176667 23.138096 -37.033333 0.350959
