

gen best mean std gain diversity
0 26.35 -72.337 29.935553 26.35 0.577318
0 36.55 -26.532 35.880776 -7.6 0.602139
1 32.3 -16.232667 38.831855 26.35 0.586999
2 41.65 0.255667 31.520311 41.65 0.573512
3 46.2 4.311667 39.054644 46.2 0.613497
4 46.2 9.396 38.026294 11.15 0.592478
5 44.45 7.940667 40.713318 11.15 0.608481
6 43.2 14.376 34.526887 37.65 0.570194
7 44.6 21.892333 27.366745 44.6 0.578002
8 47.0 17.282333 33.994115 47.0 0.608218
9 47.0 13.548333 38.129313 47.0 0.608504
10 47.0 19.042667 31.298234 44.6 0.615205
11 44.6 18.915 33.758759 17.15 0.610896
12 69.95 19.064667 30.115185 69.95 0.613554
13 69.95 19.745667 33.034821 -78.9 0.596751
14 69.95 20.798667 29.687568 15.75 0.580201
15 69.95 15.600333 37.722851 42.05 0.618319
16 69.95 18.812667 32.209284 -31.5 0.664798
17 69.95 16.630667 40.230826 45.95 0.642781
18 69.95 25.031 23.83915 20.95 0.609615
19 69.95 23.913333 27.233152 32.75 0.562152
20 69.95 26.764333 22.941031 32.45 0.571021
21 69.95 24.770667 26.638681 47.2 0.532998
22 48.05 21.976 30.559399 48.05 0.570021
23 48.05 20.927333 34.346417 26.55 0.585917
24 47.2 23.87 26.606408 32.6 0.572311
25 47.2 20.800333 30.116936 39.0 0.564517
26 47.65 16.200667 36.171468 47.65 0.560243
27 47.65 24.212 27.813872 36.95 0.548185
28 50.25 21.837333 27.504365 36.5 0.531549
29 50.25 25.892667 23.890514 21.15 0.492129
30 47.2 22.862333 27.581758 13.25 0.527855
31 47.2 20.292 29.729661 39.9 0.585015
32 47.2 21.526 31.644398 42.05 0.550933
33 47.2 26.162 23.175047 22.05 0.559521
34 48.05 26.120667 23.754036 29.0 0.538262
35 48.05 21.612667 30.099532 30.25 0.561832
36 48.05 25.169 25.436234 39.1 0.537575
37 47.2 23.673 26.836182 20.15 0.572277
38 48.85 25.000333 26.854696 48.85 0.506152
39 48.85 19.714 33.539833 23.95 0.539864
40 48.85 25.627667 22.897667 38.85 0.505042
41 47.5 28.546667 22.236904 38.85 0.494827
42 47.5 19.689333 32.309296 38.0 0.515197
43 47.5 21.628333 29.757278 23.1 0.543167
44 47.5 24.306 23.9019 33.95 0.539157
45 47.5 19.998 31.510308 17.2 0.587613
46 47.2 22.025 27.54246 21.15 0.592292
47 47.2 25.71 24.699493 22.7 0.589142
48 47.2 21.544333 31.273551 34.9 0.564578
49 47.2 24.199 26.937646 41.85 0.589938
50 43.2 20.043 29.185716 42.5 0.580763
51 47.2 17.066 36.625968 38.3 0.628373
52 52.35 19.356 32.596116 52.35 0.600554
53 52.35 21.934333 33.528085 30.4 0.620477
54 48.45 20.124333 34.002688 43.85 0.638667
55 57.1 22.272 29.515873 57.1 0.640803
56 57.1 22.584667 30.888038 37.45 0.630013
57 50.9 19.883667 32.705375 46.05 0.615995
58 50.9 20.103333 32.381761 46.05 0.6091
59 46.1 19.959 33.111359 40.75 0.600161
60 48.75 19.407 36.677696 48.75 0.626627
61 48.75 13.293 37.55334 33.55 0.661606
62 48.75 15.882 35.418981 44.05 0.62225
63 52.3 20.721333 32.522384 52.3 0.604325
64 52.3 18.068 36.039694 11.15 0.610495
65 52.3 19.299 31.226627 36.3 0.597468
66 47.2 18.704333 31.426513 30.65 0.590973
67 47.2 17.586333 35.840692 21.15 0.60909
68 47.2 19.361667 30.447884 20.45 0.608181
69 47.2 19.569 29.376729 41.05 0.569363
70 47.2 22.072667 30.652179 40.75 0.571123
71 47.2 19.236667 29.970513 5.35 0.588516
72 47.2 20.975667 27.544915 29.45 0.578892
73 47.2 18.859667 29.680386 17.35 0.567463
74 47.2 20.423333 29.591478 34.25 0.609002
75 47.2 18.943333 30.028021 11.15 0.597487
76 47.2 16.994333 31.705544 26.15 0.63543
77 47.2 16.007 32.467242 31.55 0.650719
78 47.2 18.865333 26.1276 26.05 0.616138
79 47.2 18.171667 26.679793 18.75 0.59575
80 47.2 16.493 31.210401 11.7 0.625478
81 47.2 18.545333 29.560098 35.35 0.612158
82 47.2 14.996667 37.278253 17.95 0.647328
83 47.65 20.612 25.507601 47.65 0.631773
84 47.65 18.486333 32.101404 27.5 0.651156
85 55.3 19.181333 30.325918 55.3 0.640495
86 55.3 13.294333 38.265949 55.3 0.619617
87 55.3 14.329333 37.713564 13.1 0.6454
88 55.3 18.798 29.360641 32.75 0.588371
89 60.9 18.663 34.449501 60.9 0.624894
90 60.9 19.817667 29.419312 37.8 0.638878
91 60.9 19.245667 30.520425 38.2 0.650576
92 60.9 17.919667 31.86486 17.95 0.658625
93 60.9 14.456667 36.769215 24.4 0.624364
94 60.9 19.812333 32.983487 32.6 0.633982
95 60.9 19.423667 29.258299 42.25 0.618708
96 60.9 15.276667 36.327534 32.8 0.622437
97 47.6 17.383333 35.536024 37.7 0.569747
98 47.6 18.898333 35.294372 47.6 0.547329
99 47.6 21.316 30.988293 24.4 0.534878
