

gen best mean std gain diversity
0 11.15 -72.121667 29.885363 11.15 0.577338
0 36.55 -28.070333 36.444399 -77.4 0.595712
1 48.95 -16.073667 42.199108 48.95 0.583447
2 48.95 1.128667 36.782817 11.15 0.605505
3 48.95 3.678 34.721461 30.7 0.615198
4 48.95 6.335 34.103733 20.05 0.607207
5 48.95 14.937333 25.153457 -13.05 0.594216
6 47.55 14.405 30.841211 32.6 0.579286
7 42.95 13.528 31.184301 36.1 0.602739
8 42.75 14.909333 30.834525 42.75 0.626362
9 49.95 18.985333 25.755021 49.95 0.651763
10 49.95 18.960667 27.832629 -8.6 0.631683
11 45.7 20.602667 26.807057 45.7 0.624009
12 45.7 18.226 29.950595 18.45 0.605376
13 46.95 19.861667 26.313789 46.95 0.595098
14 49.75 19.711 31.079652 27.0 0.561812
15 44.25 14.618667 34.907607 38.35 0.621719
16 44.9 17.654 32.697462 44.9 0.631223
17 52.5 16.266 33.508093 52.5 0.598659
18 52.5 20.330333 31.425577 33.95 0.579471
19 57.8 23.539667 31.084495 57.8 0.493729
20 57.8 27.064667 28.519234 41.85 0.451917
21 55.6 27.803667 24.631338 35.25 0.444445
22 55.6 24.268333 35.578464 39.65 0.440458
23 53.75 24.326333 30.012477 23.65 0.476241
24 53.75 23.794333 31.373878 36.0 0.478824
25 53.75 23.985667 31.697139 29.15 0.50556
26 54.85 26.382667 28.479178 54.85 0.47576
27 54.85 27.979667 28.154227 46.05 0.495306
28 54.85 22.371667 33.801513 35.95 0.498448
29 54.85 26.429667 28.322827 49.65 0.499794
30 53.9 21.735667 33.567983 46.3 0.555844
31 53.9 19.347333 32.732521 33.5 0.607961
32 53.9 20.276667 34.36919 44.1 0.587644
33 59.8 15.834333 39.69296 59.8 0.601164
34 59.8 15.861 38.919033 41.65 0.605904
35 59.8 16.046333 36.9835 26.15 0.617179
36 59.8 18.918 32.208394 45.0 0.615581
37 59.8 16.164333 40.603242 11.15 0.582208
38 59.8 17.9 38.644444 42.8 0.590166
39 58.7 22.013667 30.872175 51.4 0.570321
40 58.7 17.847 37.187763 37.9 0.547688
41 58.7 20.939 32.542441 11.15 0.543216
42 58.7 27.131333 29.262369 40.3 0.525887
43 53.2 20.892 37.39194 42.9 0.551595
44 53.2 23.452 33.099231 46.7 0.541233
45 53.2 20.501 38.769858 38.75 0.584794
46 53.2 19.187 34.119761 41.7 0.624212
47 53.2 12.087 44.260468 40.9 0.604389
48 53.2 17.379333 37.341766 22.0 0.611622
49 53.2 16.340333 37.262903 40.7 0.628787
50 53.2 19.846333 34.292142 42.45 0.573833
51 53.9 20.556 32.841026 21.65 0.566938
52 53.2 21.353 27.654196 38.25 0.568222
53 53.9 19.138333 36.240711 27.7 0.581378
54 53.9 22.051 31.427223 36.2 0.574411
55 51.4 17.226 35.090475 38.4 0.591161
56 53.9 24.893333 29.371424 22.6 0.565272
57 53.9 19.693667 32.508068 37.4 0.597212
58 53.9 23.144667 29.958592 34.15 0.601683
59 53.9 19.282667 33.561596 33.8 0.584659
60 53.9 20.441 34.853661 30.65 0.633511
61 53.9 16.929333 36.266145 35.2 0.679939
62 53.9 22.966667 29.796363 33.25 0.607205
63 53.45 19.649 31.775536 42.8 0.631878
64 53.9 20.228333 36.898503 28.25 0.605941
65 53.45 19.949333 33.431184 29.4 0.642387
66 53.9 22.013 31.73175 20.85 0.624914
67 53.9 24.622 30.288795 35.55 0.62862
68 53.9 22.815 31.153642 26.75 0.60841
69 53.9 25.167667 29.475628 20.8 0.593315
70 53.9 24.868 27.090476 53.45 0.609078
71 53.45 23.662 29.699475 45.55 0.579935
72 53.9 25.940333 32.111088 16.05 0.590555
73 51.4 18.478 39.188933 26.75 0.604849
74 54.75 29.183333 26.436863 54.75 0.569096
75 54.75 25.229 30.031421 39.65 0.614483
76 54.75 21.341333 31.08818 54.75 0.622061
77 54.75 24.227667 32.180623 15.95 0.563507
78 54.75 20.136333 34.671163 33.35 0.55667
79 57.6 20.274333 37.003608 57.6 0.580996
80 57.6 23.432333 29.988373 49.15 0.548856
81 57.2 25.091 30.445713 25.4 0.536104
82 57.6 25.955333 29.203378 11.15 0.540004
83 57.2 20.468333 34.239557 17.9 0.522587
84 57.2 25.546 30.090394 11.15 0.535725
85 57.2 25.384667 29.909355 11.15 0.539947
86 57.2 21.374667 33.235997 11.15 0.576968
87 53.9 22.666 32.814645 43.6 0.561666
88 53.9 25.338667 26.695655 27.85 0.549374
89 53.9 22.134667 31.678274 43.7 0.56031
90 51.4 19.638333 35.235126 25.45 0.573947
91 53.9 11.724333 42.015104 17.9 0.615212
92 53.9 18.770667 33.397911 32.9 0.605055
93 53.9 15.018333 36.083355 13.45 0.613289
94 53.9 18.482 31.52345 42.8 0.598464
95 53.9 16.804 32.150776 28.85 0.613367
96 53.9 20.143 31.197243 29.3 0.607637
97 53.9 17.371667 35.076341 32.75 0.606047
98 51.4 18.879 32.140922 20.35 0.619277
99 53.9 17.258667 35.444581 28.85 0.622906
