

gen best mean std gain diversity
0 -44.133333 -91.925333 15.08456 -44.133333 0.573716
0 -23.933333 -70.514667 20.856777 -23.933333 0.585938
1 -18.333333 -63.628 21.002825 -18.333333 0.545992
2 -25.333333 -62.123556 19.171433 -25.333333 0.430153
3 -17.2 -60.488444 20.947703 -17.2 0.389214
4 -25.2 -54.944889 19.933199 -25.2 0.270433
5 -6.133333 -55.363111 19.415985 -6.133333 0.255647
6 -24.133333 -52.775556 17.622409 -24.133333 0.234284
7 -21.666667 -55.748889 18.949939 -21.666667 0.26355
8 -21.666667 -59.548 22.688256 -44.133333 0.284397
9 -21.666667 -54.191556 19.018765 -44.133333 0.244399
10 -27.733333 -54.428444 18.939502 -27.733333 0.234137
11 -27.666667 -56.770222 19.915648 -27.666667 0.241742
12 -18.466667 -52.003556 18.333045 -18.466667 0.239808
13 -21.333333 -55.359111 20.015902 -21.333333 0.25376
14 -22.4 -55.414667 19.972848 -22.4 0.239649
15 -16.8 -54.839111 20.401474 -16.8 0.23625
16 -27.6 -51.621778 15.728305 -27.6 0.209915
17 -15.6 -52.452889 16.794396 -15.6 0.22932
18 -27.0 -51.686222 15.598624 -27.0 0.213832
19 -14.866667 -52.909778 18.537442 -14.866667 0.212997
20 -20.133333 -52.921778 17.12644 -20.133333 0.200156
21 -20.466667 -54.343556 18.997868 -20.466667 0.202276
22 -26.933333 -53.614667 17.396914 -26.933333 0.203403
23 -20.133333 -54.916889 19.154161 -20.133333 0.210031
24 -24.4 -51.659111 16.641206 -24.4 0.205952
25 -16.333333 -52.184 17.396961 -16.333333 0.194261
26 -6.666667 -51.661333 17.207043 -6.666667 0.201458
27 -28.933333 -54.151111 18.930827 -28.933333 0.205063
28 -16.466667 -51.868444 16.501857 -16.466667 0.205988
29 -21.133333 -57.188444 21.022405 -21.133333 0.217119
30 -18.8 -52.253333 18.635068 -18.8 0.223302
31 -22.466667 -53.648444 17.902975 -22.466667 0.230135
32 -20.133333 -54.857778 19.678379 -20.133333 0.235174
33 -20.133333 -53.732889 17.128443 -44.133333 0.228208
34 -15.733333 -52.944444 19.077491 -15.733333 0.214946
35 -11.0 -56.778222 21.75953 -11.0 0.232431
36 -14.4 -54.624444 18.782612 -14.4 0.258349
37 -29.0 -57.638222 20.435766 -29.0 0.267493
38 -30.666667 -55.622667 18.626673 -30.666667 0.279262
39 -24.733333 -57.960889 22.39777 -24.733333 0.277527
40 -29.133333 -56.191111 19.824278 -29.133333 0.276854
41 -13.066667 -54.226667 18.90373 -13.066667 0.256092
42 -23.8 -55.312 19.507495 -23.8 0.260828
43 -22.666667 -57.507111 21.252101 -22.666667 0.29335
44 -31.266667 -57.588 20.457847 -31.266667 0.310004
45 -21.333333 -57.304889 20.853111 -21.333333 0.327135
46 -35.466667 -59.143556 21.500416 -35.466667 0.345495
47 -25.466667 -58.512 21.864803 -25.466667 0.319968
48 -23.666667 -58.217333 21.434019 -23.666667 0.309267
49 -9.133333 -56.607111 21.198593 -9.133333 0.317181
50 -28.066667 -58.050667 20.656839 -28.066667 0.335411
51 -32.666667 -57.410667 21.011668 -32.666667 0.310822
52 -31.266667 -59.785778 21.981748 -31.266667 0.31956
53 -20.933333 -58.452889 21.898833 -20.933333 0.312126
54 -25.466667 -59.284889 22.036151 -25.466667 0.321582
55 -24.266667 -55.409333 20.251718 -24.266667 0.287958
56 -26.533333 -56.659111 20.646938 -26.533333 0.297776
57 -24.533333 -56.359111 19.434943 -24.533333 0.30087
58 -29.733333 -57.255556 21.050844 -29.733333 0.294522
59 -12.266667 -57.859111 22.306014 -12.266667 0.321544
60 -23.2 -59.805333 22.630462 -44.133333 0.329445
61 -28.8 -59.141333 21.702616 -28.8 0.304838
62 -29.866667 -57.858222 21.13973 -29.866667 0.317948
63 -29.2 -58.023111 21.310928 -29.2 0.345746
64 -21.8 -58.213333 20.968289 -21.8 0.338049
65 -26.133333 -56.911111 20.880374 -26.133333 0.3225
66 -15.666667 -58.537778 23.093808 -15.666667 0.355072
67 -25.133333 -60.519111 23.764551 -25.133333 0.398143
