

gen best mean std gain diversity
0 33.25 -76.662 27.066418 33.25 0.577322
0 36.55 -40.769 40.08282 -80.4 0.606375
1 35.2 -31.615333 39.889744 -13.05 0.628711
2 39.25 -21.907667 41.947707 39.25 0.650674
3 41.0 -11.148 42.667366 41.0 0.658394
4 41.45 -3.485 43.258027 41.45 0.647983
5 41.45 -2.231333 44.162588 30.95 0.647008
6 41.45 -4.860333 45.835587 14.65 0.642548
7 41.0 -1.316333 45.644639 -4.05 0.655278
8 48.95 5.357667 41.714521 48.95 0.650568
9 48.95 -0.266333 43.368583 32.6 0.668213
10 48.95 3.835 40.29662 11.15 0.667861
11 48.95 2.229333 39.333736 48.95 0.635408
12 48.95 3.101333 39.809969 1.9 0.634572
13 48.95 6.936 35.325212 9.9 0.637071
14 48.95 2.795333 39.610833 34.0 0.634695
15 48.95 2.950667 43.367639 32.45 0.647868
16 48.95 5.695 37.531601 11.15 0.659908
17 42.6 1.176667 43.101083 32.75 0.660228
18 41.75 2.685 41.853437 26.15 0.650996
19 66.4 -3.506 47.566085 66.4 0.650812
20 66.4 3.111 42.238837 36.1 0.660306
21 66.4 -4.173667 44.579191 11.15 0.656104
22 66.4 0.691333 41.157044 29.85 0.651834
23 66.4 0.860333 40.779546 11.3 0.645786
24 39.55 -0.051333 38.761053 11.15 0.649393
25 38.15 0.587667 38.58739 17.45 0.646873
26 38.15 1.908667 35.812329 28.85 0.635603
27 39.8 1.012667 38.747294 39.8 0.631149
28 48.85 8.597333 32.698762 48.85 0.628682
29 48.85 5.521 39.570931 11.15 0.653021
30 48.85 10.472667 33.251344 11.15 0.641642
31 48.85 4.950333 38.064152 32.75 0.64878
32 48.85 7.804333 37.222061 48.85 0.639729
33 48.85 4.418 39.513268 32.6 0.653706
34 42.65 6.268333 38.534391 42.65 0.642987
35 42.65 5.7 40.117417 18.65 0.632255
36 42.65 4.804667 38.110408 36.3 0.651794
37 42.65 5.963333 37.545245 11.15 0.66495
38 42.65 8.328667 35.3969 32.75 0.663986
39 42.65 3.655333 38.131914 15.4 0.668785
40 42.65 1.375 40.536126 16.4 0.697926
41 41.85 4.534 38.356595 41.85 0.686744
42 48.95 10.428333 32.465749 33.3 0.694902
43 48.95 10.552333 32.928763 33.3 0.681073
44 48.95 1.401 41.52208 11.15 0.693302
45 48.95 0.574333 44.601712 28.85 0.680627
46 48.95 6.289333 39.821613 36.3 0.680535
47 48.95 4.202 40.851204 11.15 0.683024
48 48.95 10.867667 34.643675 31.85 0.689385
49 48.95 8.084667 39.065013 29.85 0.696155
50 48.95 4.828333 41.417802 27.5 0.703628
51 48.95 1.822667 44.316348 48.95 0.70118
52 48.95 5.111 36.953459 11.15 0.709274
53 49.25 7.106667 35.549686 49.25 0.707039
54 49.25 4.264667 41.973347 42.0 0.721769
55 49.25 4.557 39.292106 33.55 0.716085
56 49.25 6.031333 39.817683 32.6 0.70636
57 49.25 7.616667 37.759393 11.15 0.703106
58 49.25 10.383 33.813523 31.6 0.709004
59 49.25 3.387667 40.622515 29.45 0.710508
60 49.25 2.569 41.155567 31.25 0.726106
61 48.95 2.144667 43.132571 21.15 0.725162
62 46.25 2.276667 43.465208 27.1 0.709177
63 46.25 3.724667 41.570892 21.15 0.710696
64 46.25 5.108333 40.102642 18.65 0.713598
65 47.8 9.820333 35.45023 47.8 0.715828
66 47.8 5.531 41.389798 37.4 0.7239
67 47.8 5.118333 42.28246 18.85 0.711073
68 44.15 5.954667 42.059449 11.15 0.715877
69 44.15 0.78 43.327075 11.15 0.699265
70 43.45 0.384 43.169102 11.15 0.720684
71 43.45 4.358 38.439767 33.7 0.708061
72 43.45 -1.540667 44.054671 24.25 0.722351
73 43.45 1.062 42.074009 15.15 0.693938
74 45.65 7.808667 35.645526 45.65 0.693373
75 45.65 -0.771 42.269223 25.1 0.705723
76 45.65 6.055667 38.109288 4.85 0.702676
77 45.65 2.842667 39.885069 45.65 0.701407
78 45.65 2.791333 40.97279 18.65 0.705041
79 45.65 3.663333 42.797053 45.1 0.698006
80 45.65 1.487 42.618666 -27.5 0.707634
81 45.65 3.15 41.288753 -13.05 0.705532
82 45.65 1.952 38.002395 28.85 0.718803
83 45.1 -1.778667 44.12358 32.6 0.718319
84 45.1 1.761333 40.874824 11.15 0.712823
85 45.1 4.437667 40.290818 0.95 0.70426
86 45.1 4.056 38.685391 18.65 0.711453
87 45.1 -2.207333 47.197409 -31.5 0.730353
88 45.1 -0.348 42.622847 27.05 0.726504
89 43.95 1.697333 40.227157 11.15 0.722982
90 43.95 1.142333 39.784743 11.15 0.7331
91 43.95 4.718 38.022229 32.6 0.71613
92 51.9 0.328 43.16512 51.9 0.72197
93 51.9 5.614333 41.303613 11.15 0.731686
94 51.9 1.581667 43.577852 28.85 0.744195
95 51.9 3.635333 43.042942 -0.15 0.751868
96 51.9 1.716 41.767869 -0.35 0.751742
97 51.9 -0.839 46.687216 -31.5 0.753353
98 43.85 -2.054667 46.87689 32.7 0.753626
99 43.85 0.299 43.682988 22.55 0.751531
