

gen best mean std gain diversity
0 9.75 -72.836333 28.052865 9.75 0.577316

gen best mean std gain diversity
0 16.8 -73.403667 29.364405 16.8 0.577351

gen best mean std gain diversity
0 29.15 -72.315667 28.120534 29.15 0.577345

gen best mean std gain diversity
0 17.05 -75.138 25.647431 17.05 0.577354

gen best mean std gain diversity
0 14.7 -71.112333 31.200144 14.7 0.577392
0 35.1 -27.082 36.777986 35.1 0.585258
1 35.1 -19.629667 39.08929 -43.2 0.592976
2 45.9 -7.984 41.111749 45.9 0.606764
3 53.5 -7.431 42.738107 53.5 0.619632

gen best mean std gain diversity
0 33.05 -71.212333 32.76656 33.05 0.577335
0 33.05 -37.567667 41.352029 -18.1 0.589777
1 37.3 -27.001333 39.524137 37.3 0.5979
2 37.3 -22.195333 46.019964 -78.35 0.594145
3 37.3 -17.115 44.270877 18.9 0.610127
4 37.6 -3.064333 36.463946 37.6 0.605758
5 37.6 -6.817333 46.211827 -66.05 0.623477
6 37.6 -4.652 41.62792 -7.15 0.622998
7 37.6 -7.208333 45.868833 37.6 0.63757
8 41.85 -4.458 44.619538 41.85 0.623508
9 41.9 -0.404333 42.805515 41.9 0.628212
10 42.15 2.626333 39.300064 42.15 0.629229
11 42.15 5.773333 37.178084 15.5 0.629173
12 50.3 7.062333 37.904574 50.3 0.657131
13 50.3 2.148 43.157952 38.7 0.64774
14 42.15 4.276 40.043496 -11.35 0.659277
15 44.75 4.172667 39.59596 44.75 0.652026
16 46.5 3.270333 41.49498 46.5 0.651854
17 46.5 4.935333 37.585567 13.15 0.66762
18 46.5 4.030667 39.670691 11.15 0.656299
19 44.75 8.168667 32.205118 13.4 0.660219
20 44.75 3.498333 41.528564 28.0 0.659569
21 44.75 10.142333 35.280884 28.0 0.677784
22 44.75 7.229667 37.741097 15.5 0.671951
23 44.75 8.858 34.635418 9.65 0.696317
24 42.95 0.836 42.848007 42.95 0.706974
25 42.95 1.098 43.304159 11.15 0.713877
26 46.4 14.180333 28.904607 46.4 0.697605
27 46.4 6.033667 38.360411 29.9 0.69275
28 46.4 9.889667 34.778779 32.45 0.683977
29 46.4 2.522 39.395604 11.15 0.688468
30 46.4 5.303667 37.817854 34.7 0.68122
31 46.4 -3.038667 43.700692 -68.8 0.689601
32 46.4 3.895 39.180965 33.65 0.692651
33 46.4 2.976 41.508172 46.4 0.676601
34 46.4 3.147 41.010236 -68.8 0.667692
35 46.4 6.524 34.046526 11.15 0.670075
36 39.15 1.927667 40.270429 9.65 0.66084
37 40.05 7.226667 33.23887 40.05 0.679239
38 40.05 4.665667 38.429128 30.95 0.677885
39 43.85 0.491 39.3751 43.85 0.662138
40 43.85 5.108 38.428025 11.15 0.666525
41 40.05 5.274 36.550748 11.15 0.678989
42 41.75 5.578333 37.471095 41.75 0.675349

