

gen best mean std gain diversity
0 -10.733333 -80.388444 22.134154 -10.733333 0.577342
0 4.366667 -47.453556 30.061904 -38.7 0.607432
1 6.666667 -35.356222 28.404111 6.666667 0.603633
2 6.666667 -32.858222 30.017052 -9.466667 0.573595
3 6.666667 -24.904 24.245553 -14.233333 0.548845
4 6.666667 -27.561778 27.606068 -37.033333 0.549235
5 6.433333 -24.036889 27.182627 6.433333 0.539911
6 6.433333 -21.632889 26.566605 -1.033333 0.553517
7 9.4 -20.753333 25.575451 9.4 0.566166
8 9.4 -18.698667 24.08623 1.833333 0.569491
9 9.4 -19.675778 28.384184 -14.233333 0.570588
10 9.466667 -17.526 28.317512 9.466667 0.588042
11 9.466667 -17.467778 27.830213 9.4 0.59683
12 12.9 -13.669556 25.307554 12.9 0.595744
13 12.9 -16.550222 30.16601 0.366667 0.60031
14 12.9 -15.906 30.189863 0.366667 0.619519
15 12.9 -16.009778 30.450325 9.466667 0.62088
16 12.9 -15.254 27.930334 2.1 0.615833
17 12.9 -15.375778 26.991649 -4.933333 0.616551
18 12.9 -14.864444 26.117698 1.133333 0.623907
19 8.633333 -12.769556 24.576268 5.633333 0.62776
20 14.966667 -18.500889 30.427949 14.966667 0.654803
21 14.966667 -15.206667 27.092122 -52.666667 0.66011
22 14.966667 -16.214 31.330755 -7.2 0.645305
23 14.966667 -17.552 29.817761 1.366667 0.649825
24 14.966667 -17.911333 29.551639 5.033333 0.646109
25 14.966667 -18.301556 29.110537 -3.2 0.631846
26 14.966667 -15.106889 28.663517 -19.233333 0.630561
27 26.5 -17.812444 31.760795 26.5 0.607488
28 26.5 -16.855556 30.703268 -25.4 0.610005
29 26.5 -18.363333 31.827663 5.166667 0.604103
30 26.5 -16.438222 32.065101 1.633333 0.598507
31 10.3 -16.428222 28.489137 0.533333 0.588007
32 10.3 -16.118444 29.004049 8.633333 0.573783
33 10.3 -15.044667 31.479238 5.333333 0.614763
34 11.166667 -12.525333 27.899858 11.166667 0.607278
35 11.166667 -15.854444 31.790572 4.766667 0.59405
36 10.3 -15.542667 30.064625 8.633333 0.61597
37 10.3 -12.52 29.080817 2.766667 0.63678
38 10.3 -15.993556 32.036904 1.133333 0.637371
39 10.3 -14.132444 30.906565 -9.233333 0.631091
40 10.3 -17.750667 31.464125 8.633333 0.657232
41 8.633333 -17.241556 28.671356 -0.7 0.676288
42 8.633333 -18.031111 29.516206 -9.233333 0.686622
43 9.566667 -16.604444 27.78623 9.566667 0.673337
44 14.7 -15.344 27.529337 14.7 0.675808
45 14.7 -15.554667 28.9679 6.3 0.671683
46 16.8 -16.094222 29.977821 16.8 0.672023
47 16.8 -19.898667 35.296418 -2.533333 0.675455
48 16.8 -15.671333 29.516487 14.7 0.652645
49 16.8 -19.861111 33.940505 -8.766667 0.65215
50 16.8 -17.382889 30.987743 4.966667 0.656096
51 11.866667 -16.932 30.088219 11.866667 0.669954
52 15.766667 -17.689333 30.375439 15.766667 0.672883
53 15.766667 -17.221333 32.336442 8.633333 0.673562
54 15.766667 -16.473556 29.230516 0.166667 0.671429
55 15.766667 -17.996444 32.031012 3.1 0.663063
56 15.766667 -18.708889 31.342725 0.166667 0.662399
57 15.766667 -17.523111 30.2812 -15.9 0.655495
58 15.766667 -21.341333 35.473247 -15.9 0.659786
59 17.466667 -17.757333 31.931866 17.466667 0.66164
60 17.466667 -23.984222 38.332788 -2.533333 0.674953
61 17.466667 -15.815111 29.363001 -29.266667 0.6787
62 17.466667 -19.537778 34.159615 5.833333 0.683141
63 17.466667 -16.070889 33.796655 -30.566667 0.665744
64 33.2 -18.003556 32.725879 33.2 0.679256
65 33.2 -20.122444 37.235681 17.466667 0.689175
66 33.2 -15.644222 37.554415 15.766667 0.684768
67 33.2 -13.951556 33.325635 -30.566667 0.688228
68 33.2 -23.917333 35.937663 -7.333333 0.67847
69 33.2 -25.932444 37.423464 7.466667 0.674979
70 17.466667 -23.268667 35.68463 -0.433333 0.678961
71 17.466667 -22.636 34.304552 -22.8 0.675426
72 15.766667 -25.440444 37.818282 -1.033333 0.686348
73 15.766667 -24.623556 37.845137 -7.333333 0.678525
74 15.766667 -19.722 33.098068 5.566667 0.680302
75 15.766667 -22.050667 36.894776 -13.2 0.688566
76 15.766667 -23.315111 36.90413 8.633333 0.680814
77 15.766667 -23.908444 36.253749 15.233333 0.684292
78 15.766667 -24.593111 38.065317 2.266667 0.684417
79 15.766667 -22.945333 34.196165 -14.233333 0.687393
80 15.766667 -25.606444 34.100829 -24.366667 0.693242
81 9.5 -22.830667 32.952865 1.933333 0.695982
