

gen best mean std gain diversity
0 25.55 -71.263667 26.766313 25.55 0.575302
0 38.5 -38.572333 33.970143 38.5 0.589844
1 48.55 -23.610667 35.575974 48.55 0.590845
2 48.55 -20.851333 40.025135 -53.55 0.599574
3 35.95 -17.329 41.363544 5.2 0.612594
4 40.9 -9.412 39.108613 40.9 0.615396
5 42.8 -4.543 41.390508 42.8 0.624247
6 42.8 -1.323 39.441305 -5.4 0.619754
7 42.8 -3.611 40.913502 26.15 0.621405
8 42.8 -5.536333 43.057762 11.15 0.622567
9 42.8 -0.166 39.566786 8.8 0.627105
10 42.8 0.401 40.910234 18.85 0.631993
11 46.25 -0.537667 43.039768 46.25 0.641538
12 46.25 3.963 38.429293 17.4 0.646832
13 39.1 6.769667 32.770653 39.1 0.649216
14 42.1 4.079667 37.65203 42.1 0.659484
15 42.85 7.930333 34.106239 42.85 0.662321
16 43.8 4.596667 38.133319 43.8 0.667461
17 43.8 7.252667 36.368281 31.1 0.668453
18 46.25 4.489667 36.834454 46.25 0.672181
19 46.25 8.617667 33.300019 11.6 0.675991
20 43.8 4.212 40.393489 29.65 0.678382
21 43.8 4.879667 37.73823 37.1 0.667728
22 40.7 6.228 36.508944 40.7 0.672013
23 40.7 8.253333 37.255758 -9.9 0.673748
24 38.85 3.24 38.316893 11.15 0.675575
25 38.85 5.413667 36.475038 21.15 0.670914
26 38.85 9.620667 33.867093 27.15 0.676775
27 38.85 7.157333 36.006492 21.15 0.688283
28 39.9 4.397 39.342453 39.9 0.687837
29 49.85 6.900333 35.153381 49.85 0.689565
30 49.85 9.405 32.632136 30.5 0.687791
31 39.9 6.837333 35.723971 31.4 0.686017
32 40.9 8.656 31.052048 40.9 0.683656
33 40.9 9.612 32.332555 32.75 0.687872
34 40.9 7.589333 34.40416 11.15 0.691537
35 40.9 10.120333 31.891068 11.6 0.683846
36 40.9 13.923333 31.920242 38.85 0.68221
37 43.85 9.070667 35.94906 43.85 0.67733
38 40.9 6.399333 38.943568 32.6 0.680667
39 44.15 13.452 27.82612 44.15 0.691332
40 44.15 11.533 32.474456 11.15 0.676298
41 44.15 12.146 31.231844 11.15 0.676108
42 41.75 11.108333 28.994261 11.15 0.678006
43 41.75 11.799 32.161427 11.15 0.679413
44 42.5 5.056667 39.400216 42.5 0.687521
45 42.5 0.996667 43.687358 23.75 0.692917
46 45.5 9.394 32.531165 45.5 0.690923
47 45.5 3.082 42.183099 9.65 0.689661
48 45.5 5.092333 38.179469 11.15 0.691429
49 45.5 3.533333 42.065579 18.65 0.689266
50 45.5 9.792 32.924099 17.15 0.678815
51 46.8 8.572667 33.515722 46.8 0.686748
52 46.8 8.075 35.53868 11.15 0.696519
53 42.5 6.215 37.266302 11.15 0.698186
54 42.5 7.090333 38.622068 36.95 0.692523
55 42.5 4.118333 40.386361 11.15 0.69257
56 42.5 8.873333 37.171902 -22.7 0.693014
57 40.15 7.807 39.130405 11.15 0.692535
58 40.15 8.036 37.958095 36.05 0.698555
59 42.65 9.722333 34.867081 42.65 0.694154
60 42.65 4.162333 39.112394 27.1 0.696478
61 45.2 6.540333 36.003227 45.2 0.690654
62 45.2 8.588 36.573354 13.6 0.691336
63 37.5 6.151 35.4618 32.75 0.694138
64 37.6 5.169 38.072988 37.6 0.685671
65 60.95 3.008333 42.550647 60.95 0.693444
66 60.95 9.620667 37.872094 11.15 0.68404
67 60.95 4.496333 42.48629 12.25 0.693684
68 60.95 2.417667 42.960858 19.35 0.695502
69 60.95 4.043333 39.201037 6.7 0.702329
70 47.15 8.511667 36.859579 32.45 0.699396
71 47.15 2.024333 42.163707 32.6 0.700015
72 47.15 3.315333 40.234112 47.15 0.708543
73 47.15 0.473667 43.723677 18.65 0.705969
74 35.65 0.879 39.825155 21.05 0.715323
75 39.05 0.970333 37.48236 39.05 0.72215
76 39.05 3.094667 40.164921 28.6 0.714104
77 35.65 -5.039 44.317077 11.15 0.723417
78 33.05 2.898667 37.469932 11.0 0.722369
79 54.8 2.795 37.601792 54.8 0.715993
80 54.8 -1.668667 43.104195 13.65 0.726248
81 54.8 3.206667 38.076659 -13.85 0.724286
82 43.15 0.534 40.648531 11.15 0.729682
83 43.15 6.903667 33.683167 13.65 0.727543
84 49.9 4.219333 37.177201 49.9 0.727559
85 49.9 2.139333 39.330013 11.15 0.729559
86 49.9 2.884333 41.228338 37.75 0.720697
87 49.9 6.309333 40.029316 21.15 0.720429
88 44.4 -0.794 41.320546 44.4 0.720308
89 44.4 0.226 39.624486 17.8 0.724527
90 44.4 0.676333 40.540786 32.0 0.72287
91 42.75 -4.753667 46.341676 11.15 0.720804
92 42.15 -1.372333 43.692227 15.9 0.721303
93 42.45 -0.263667 39.580084 42.45 0.721814
94 42.45 -0.013 40.979237 14.5 0.718224
95 42.45 2.909 39.679294 23.5 0.708892
96 42.45 3.798667 37.62518 32.45 0.708323
97 42.45 2.026 42.274599 11.15 0.706716
98 40.85 1.852333 36.632829 37.0 0.719587
99 37.4 2.438 36.564076 17.15 0.727664

gen best mean std gain diversity
0 37.25 -70.453667 31.051689 37.25 0.573948
0 37.25 -29.437 36.743273 0.45 0.581669
1 36.1 -21.417 39.634757 36.1 0.584928
2 36.1 -11.081667 37.279567 -9.55 0.579817
3 42.5 -5.405333 37.204314 42.5 0.590495
4 42.5 0.984333 35.994019 5.95 0.591132
5 42.5 4.677667 34.519863 11.15 0.59982
6 42.5 5.721667 34.8512 -25.5 0.601387
7 42.6 7.186 32.343162 42.6 0.602366
8 43.9 8.446333 33.003049 43.9 0.604045
9 43.9 14.440667 26.587989 11.15 0.596924
10 43.9 11.429667 29.246312 23.95 0.603257
11 42.6 12.734 28.876515 11.15 0.605299
12 42.6 8.149667 30.638531 23.65 0.600834
13 43.65 13.653 27.495465 43.65 0.602356
14 43.65 10.867667 32.602428 31.75 0.609456
15 43.65 12.122 31.797348 11.15 0.612843
16 39.95 10.885333 31.916979 37.3 0.628751
17 39.95 9.595333 36.255819 32.75 0.630827
