

gen best mean std gain diversity
0 26.0 -66.746 25.860249 26.0 0.575459
0 29.8 -38.949333 36.102319 29.8 0.591007
1 36.0 -17.866 41.334649 36.0 0.58922
2 57.0 -14.449333 41.64149 57.0 0.589496
3 57.0 -5.021333 41.733851 26.0 0.595224
4 54.2 0.970667 39.729934 -29.2 0.593712
5 54.2 7.471333 37.122639 26.0 0.585763
6 54.2 5.398667 38.040149 31.0 0.595267
7 54.2 5.748667 39.031448 30.7 0.597147
8 54.2 14.598 30.832752 26.0 0.593523
9 57.5 10.073333 38.37612 57.5 0.60576
10 57.5 9.660667 38.32919 -55.0 0.615275
11 54.2 9.653333 39.103322 -55.0 0.603164
12 54.2 14.395333 33.432015 28.7 0.61716
13 65.8 13.159333 35.847788 65.8 0.623077
14 61.3 15.2 36.47646 25.7 0.628057
15 61.3 12.056667 35.428539 26.0 0.638576
16 61.3 4.772667 40.975915 29.0 0.64237
17 81.7 14.744 34.218766 81.7 0.65205
18 81.7 14.647333 34.808322 26.0 0.657739
19 65.2 9.982 38.438569 26.0 0.652444
20 65.2 17.152 33.534787 37.5 0.667896
21 56.4 9.750667 38.406574 21.0 0.669291
22 52.8 11.620667 37.361102 52.8 0.660635
23 65.8 15.083333 34.789446 65.8 0.66457
24 65.8 11.144 39.631108 34.3 0.65829
25 65.8 19.016667 30.927408 6.0 0.655227
26 52.5 15.392 34.689727 7.3 0.657824
27 50.1 13.956 34.03927 6.0 0.662874
28 79.0 16.105333 31.193757 79.0 0.660814
29 79.0 12.724 35.091679 30.7 0.65976
30 57.1 9.546 38.039677 57.1 0.667415
31 61.0 15.816 35.017325 61.0 0.672181
32 61.0 20.409333 27.754078 28.4 0.667561
33 56.4 21.127333 28.773205 29.8 0.669024
34 59.1 18.626667 33.033887 59.1 0.673016
35 59.1 15.100667 36.647808 26.0 0.670632
36 59.1 18.435333 34.7865 34.5 0.665952
37 62.8 17.784667 32.372177 62.8 0.664496
38 62.8 18.41 28.225683 62.8 0.659954
39 62.8 12.403333 38.345083 26.0 0.666932
40 58.3 13.069333 32.397634 26.0 0.670935
41 58.3 14.758 32.330861 24.5 0.670008
42 58.3 15.232667 36.193627 26.0 0.680012
43 58.3 12.856 32.943874 26.0 0.677406
44 58.3 7.842 37.606989 21.0 0.689483
45 58.3 6.876 39.213198 29.5 0.69038
46 55.3 15.988 30.408696 55.3 0.697147
47 61.4 8.807333 38.604599 61.4 0.703999
48 61.4 15.139333 33.35364 26.0 0.703756
49 61.4 13.429333 39.017072 26.0 0.707588
50 61.4 12.248667 36.388747 26.0 0.709993
51 61.0 13.618 31.323291 61.0 0.716135
52 66.0 13.895333 36.13723 66.0 0.723173
53 66.0 15.323333 33.75106 26.0 0.721108
54 82.3 15.118 35.504835 82.3 0.722085
55 82.3 18.658667 38.400815 28.4 0.719989
56 66.0 15.106667 34.181154 26.0 0.720656
57 66.0 11.194 38.210299 50.5 0.714033
58 52.8 10.788667 39.202622 52.8 0.714295
59 63.1 19.714 31.585203 63.1 0.714302
60 63.1 15.022 35.283424 33.3 0.717153
61 53.5 16.084667 33.348619 53.5 0.722846
62 53.5 14.228667 36.191845 33.9 0.719664
63 53.5 17.708667 31.685664 34.6 0.716997
64 66.0 10.809333 37.369919 66.0 0.719824
65 66.0 13.282 38.701898 52.0 0.718697
66 76.3 10.739333 36.585751 76.3 0.710999
67 76.3 16.95 38.253705 26.0 0.719712
68 76.3 13.892 41.256692 66.0 0.710588
69 70.1 11.464667 40.422504 28.3 0.714931
70 66.0 15.207333 33.381129 31.0 0.718902
71 57.0 10.942667 37.100541 47.9 0.71959
72 57.0 15.814 35.897603 18.6 0.724006
73 56.1 10.583333 36.418491 26.0 0.722129
74 55.6 14.244 35.779453 26.0 0.727526
75 52.3 15.046 31.398942 52.3 0.72773
76 52.3 14.773333 36.204487 26.0 0.723251
77 52.1 11.149333 36.875702 49.8 0.722656
78 52.1 15.530667 32.37952 21.0 0.721634
79 57.7 12.41 35.683465 57.7 0.724806
80 57.7 11.412667 37.233867 26.0 0.735087
81 57.7 8.68 37.394665 26.0 0.741359
82 52.0 11.567333 33.166794 52.0 0.747032
83 52.8 7.827333 36.735438 52.8 0.745018
84 52.8 7.450667 40.550056 26.0 0.753467
85 52.8 11.006 37.113908 16.0 0.749479
86 52.8 14.140667 35.271375 29.5 0.749811
87 52.8 11.603333 41.250998 21.0 0.763701
88 52.0 11.605333 37.595982 26.0 0.761502
89 52.0 9.815333 37.572174 26.0 0.762419
90 58.6 14.16 34.532393 58.6 0.762148
91 58.6 11.374667 35.624915 26.0 0.767569
92 58.6 11.218667 37.953149 45.0 0.76655
93 60.9 11.59 37.416948 60.9 0.769236
94 60.9 14.710667 32.787862 31.0 0.771866
95 60.9 8.039333 39.69348 22.0 0.772138
96 60.9 11.98 36.978542 36.4 0.769307
97 73.8 9.303333 36.539395 73.8 0.76632
98 73.8 13.09 38.327276 26.0 0.766935
99 43.4 10.038667 35.355923 31.4 0.770227
