

gen best mean std gain diversity
0 -16.333333 -91.595556 15.567656 -16.333333 0.572687
0 -16.333333 -72.204889 21.700775 -53.333333 0.569128
1 -25.466667 -63.485778 19.150375 -25.466667 0.556245
2 -17.6 -64.116 24.625016 -17.6 0.500697
3 -18.666667 -60.230222 24.342983 -50.0 0.412974
4 -22.4 -56.250667 23.140967 -22.4 0.36603
5 -4.066667 -59.846667 27.018284 -4.066667 0.333046
6 -4.066667 -55.365333 25.293676 -100.0 0.23994
7 -10.4 -57.149778 25.624063 -10.4 0.199739
8 -22.133333 -62.618667 23.132214 -56.666667 0.191134
9 -15.266667 -61.728 22.878857 -15.266667 0.195434
10 -15.266667 -58.069333 22.395302 -56.666667 0.190493
11 3.933333 -59.755556 22.685581 3.933333 0.184207
12 3.933333 -57.785778 25.397592 -56.666667 0.19588
13 3.933333 -56.386222 25.267239 -23.6 0.18916
14 -7.666667 -55.048 25.49717 -83.333333 0.195804
15 -7.666667 -56.137778 26.826143 -60.0 0.192884
16 -7.666667 -59.382222 24.769995 -56.666667 0.199146
17 -7.666667 -62.019556 23.792318 -56.666667 0.178536
18 -11.133333 -60.286222 22.443962 -56.666667 0.172543
19 -22.266667 -61.981333 20.450382 -50.0 0.153969
20 -22.333333 -59.272 23.534375 -50.0 0.177957
21 -19.6 -58.425333 22.618025 -19.6 0.16138
22 -19.6 -56.300889 19.775715 -56.666667 0.15945
23 -19.4 -56.889333 22.117709 -19.4 0.165778
24 -19.4 -56.176889 23.562647 -19.4 0.158632
25 -13.066667 -55.164444 23.841317 -13.066667 0.16354
26 -13.066667 -56.616444 23.560421 -36.266667 0.162257
27 -13.066667 -56.191111 23.150655 -56.666667 0.159204
28 -18.6 -55.226222 18.785468 -56.666667 0.139226
29 -14.533333 -55.559556 20.877132 -14.533333 0.141319
30 -21.733333 -59.131111 22.184598 -56.666667 0.14951
31 -24.8 -58.533778 18.900749 -24.8 0.145939
32 -24.8 -59.528444 21.07204 -56.666667 0.146231
33 -24.8 -59.757778 18.744366 -40.333333 0.159425
34 -15.866667 -61.287556 22.211099 -15.866667 0.179449
35 -15.266667 -56.379111 23.297752 -15.266667 0.173048
36 -11.133333 -59.201778 23.103362 -11.133333 0.171171
37 -11.133333 -61.470667 21.599063 -11.133333 0.164107
38 -11.133333 -61.275556 20.377533 -56.666667 0.158148
39 -22.466667 -62.559111 21.189235 -56.666667 0.154972
40 -23.4 -60.356 21.351922 -23.4 0.167624
41 -20.866667 -58.805333 21.273855 -20.866667 0.16067
42 -15.0 -57.203111 22.390162 -15.0 0.158656
43 -15.0 -59.243556 22.298681 -56.666667 0.162361
44 -10.333333 -59.88 18.498471 -10.333333 0.147509
45 -10.333333 -56.775556 22.551377 -56.666667 0.165587
46 -10.333333 -57.616889 22.694202 -43.333333 0.170001
47 -18.2 -54.309333 22.703312 -56.666667 0.167905
48 -18.2 -59.646222 22.624091 -56.666667 0.15242
49 -18.2 -58.983556 20.192164 -48.8 0.16245
