

gen best mean std gain diversity
0 -14.233333 -82.286 19.911947 -14.233333 0.577381
0 -14.233333 -55.165111 25.301376 -84.233333 0.617658
1 6.033333 -44.405333 28.49888 -28.8 0.615595
2 13.8 -39.499111 24.693036 13.8 0.587066
3 13.8 -38.341333 24.322393 -13.533333 0.544005
4 13.8 -39.661556 22.883299 -35.366667 0.505798
5 13.8 -44.190444 24.216319 -49.4 0.450499
6 5.066667 -44.028667 22.081275 -49.4 0.393052
7 -0.066667 -48.258667 17.224706 -0.066667 0.314393
8 -0.066667 -51.886 20.859878 -49.4 0.307127
9 3.266667 -49.148444 21.648043 3.266667 0.33326
10 3.266667 -43.960222 22.730486 -49.4 0.354659
11 1.366667 -45.766667 21.621576 -35.366667 0.345448
12 -5.066667 -47.407111 18.629523 -5.066667 0.346654
13 1.633333 -45.210444 22.731483 1.633333 0.319334
14 1.633333 -45.904444 22.338421 -49.4 0.364603
15 -4.233333 -48.642667 19.188354 -4.233333 0.337524
16 -4.233333 -48.498 21.237975 -49.4 0.342394
17 -2.4 -48.465111 18.868888 -2.4 0.335873
18 0.833333 -50.466444 21.474059 0.833333 0.346502
19 0.833333 -48.791333 17.031612 -49.4 0.299797
20 -7.466667 -51.480889 19.652366 -7.466667 0.312478
21 -4.1 -46.961333 20.312919 -4.1 0.337666
22 5.866667 -46.099333 22.182463 5.866667 0.359121
23 5.866667 -43.182444 24.326532 -49.4 0.34076
24 5.866667 -42.702 23.350629 -49.4 0.355572
25 5.866667 -45.076 24.776389 -49.4 0.368866
26 3.566667 -47.030667 22.295114 -49.4 0.343515
27 1.533333 -48.733333 18.587606 1.533333 0.340982
28 9.433333 -45.783111 22.311929 9.433333 0.382901
29 9.433333 -44.898 24.025035 -49.4 0.36908
30 9.433333 -43.746222 27.093163 -49.4 0.504184
31 6.033333 -40.823111 26.454965 -49.4 0.453742
32 3.4 -41.610667 21.385948 -15.166667 0.429379
33 -2.566667 -46.819111 23.116151 -2.566667 0.402954
34 -2.566667 -45.420889 21.881371 -49.4 0.358347
35 -2.566667 -47.674444 20.875587 -49.4 0.380783
36 -14.233333 -47.518667 18.051526 -14.233333 0.36123
37 -8.866667 -47.448222 19.537083 -8.866667 0.374245
38 12.9 -46.953111 21.640742 12.9 0.390765
39 12.9 -43.620222 22.197147 -49.4 0.38661
40 12.9 -43.924444 24.657673 -49.4 0.390179
41 6.533333 -47.861556 24.058781 -49.4 0.355431
42 6.533333 -45.892667 21.335432 -49.4 0.349285
43 0.733333 -49.664 21.348836 -49.4 0.34298
44 -4.233333 -50.521778 19.380777 -4.233333 0.34469
45 0.066667 -48.468222 20.500042 0.066667 0.331411
46 0.066667 -49.520667 24.347243 -49.4 0.359445
47 -0.366667 -46.305111 21.440586 -49.4 0.335865
48 1.7 -46.426667 21.803059 1.7 0.320275
49 1.7 -44.091556 21.460441 -49.4 0.306808
50 -0.466667 -48.774444 22.932581 -49.4 0.306018
51 0.933333 -50.465778 20.061889 0.933333 0.311243
52 7.8 -49.247333 23.209601 7.8 0.317191
53 7.8 -46.968889 21.880358 -49.4 0.331787
54 7.8 -46.062667 22.042066 -49.4 0.333866
55 5.266667 -47.926889 22.150683 -49.4 0.336016
56 5.266667 -43.953333 24.74351 5.266667 0.324873
57 5.266667 -47.501778 25.89548 -49.4 0.319971
58 5.266667 -48.112889 18.412181 -55.8 0.309496
59 -2.566667 -50.211333 18.78036 -35.366667 0.327194
60 -9.233333 -48.572 18.571102 -9.233333 0.475507
61 6.033333 -49.382444 24.362804 -28.5 0.410318
62 -8.066667 -49.476667 20.952707 -8.066667 0.342798
63 -6.266667 -47.417556 20.742115 -6.266667 0.324866
64 -5.9 -52.619111 19.738571 -5.9 0.323754
65 -9.233333 -52.315333 19.921331 -9.233333 0.313004
66 1.7 -51.194444 20.164939 1.7 0.317315
67 1.3 -51.764 18.462224 1.3 0.333773
68 1.3 -53.541556 23.895624 -49.4 0.349053
69 6.833333 -49.680667 23.182158 6.833333 0.359239
70 6.833333 -48.011111 26.295355 1.3 0.344746
71 6.833333 -50.838222 26.278217 1.3 0.365683
72 6.833333 -49.837556 24.264077 -17.666667 0.353519
73 1.3 -47.473778 22.27047 -49.4 0.34532
74 1.3 -45.711333 22.643525 -17.666667 0.353075
75 3.966667 -50.765778 23.353226 3.966667 0.36596
76 3.966667 -50.949333 23.08028 -40.233333 0.378602
77 3.966667 -52.949556 22.672764 -49.4 0.37304
78 0.166667 -48.805556 23.182904 -49.4 0.393457
79 8.333333 -47.969111 25.311606 8.333333 0.363892
80 8.333333 -48.707778 24.189869 -24.433333 0.371986
81 8.333333 -45.977778 22.663745 -49.4 0.344102
82 3.666667 -48.446444 19.803322 3.666667 0.346048
83 3.666667 -48.626222 24.692942 -49.4 0.377419
84 -5.9 -50.443111 24.217453 -5.9 0.372987
85 -7.566667 -50.184667 21.140624 -49.4 0.382988
86 -3.4 -49.299111 22.988066 -3.4 0.386241
87 -3.4 -49.400889 22.824696 -49.4 0.359594
88 7.133333 -52.001333 22.552219 7.133333 0.376224
89 7.133333 -46.799333 23.818274 -49.4 0.353605
90 7.133333 -49.59 22.367085 -49.4 0.480805
91 6.033333 -45.435333 28.234791 -49.4 0.439087
92 2.866667 -46.197556 26.192717 -49.4 0.419566
93 3.933333 -47.846444 26.496473 3.933333 0.384413
94 3.933333 -47.866667 22.568887 -49.4 0.342805
95 2.2 -51.533111 22.864725 -49.4 0.36686
96 -0.633333 -48.856889 21.636481 -0.633333 0.363577
97 -0.633333 -48.621333 23.387243 -49.4 0.359266
98 -0.633333 -52.216 22.349381 -49.4 0.379865
99 -7.6 -51.447778 22.523322 -7.6 0.376562
