

gen best mean std gain diversity
0 92.394865 6.95408 27.049337 82.0 0.572734
0 93.681683 82.075421 27.308059 89.8 0.541662
1 94.492404 81.847002 28.799193 95.8 0.540857
2 93.748012 80.837388 29.564378 88.6 0.53338
3 93.748012 88.346723 19.604141 88.6 0.505523
4 94.430514 88.789303 17.374559 96.4 0.491056
5 94.430514 90.754188 11.412304 82.0 0.478401
6 93.964826 89.176988 16.572391 90.4 0.447904
7 93.964826 90.603069 13.396654 79.0 0.450941
8 94.126708 90.931215 12.301192 92.8 0.442892
9 93.911096 90.83207 12.344795 89.8 0.436002
10 93.784826 92.712937 0.666242 88.6 0.417445
11 93.784826 90.851459 12.888644 88.6 0.404118
12 94.144826 92.210694 7.446199 92.2 0.387524
13 93.784826 92.640425 1.041962 88.6 0.395272
14 94.000945 91.678144 8.596122 91.6 0.395932
15 94.024826 89.615942 15.321787 91.0 0.387081
16 93.904826 91.996722 8.061599 89.8 0.369207
17 94.066708 91.334892 10.994971 92.2 0.35818
18 93.784826 92.289204 5.494087 88.6 0.349407
19 93.724826 91.825873 8.987278 88.0 0.349876
20 93.939644 91.883317 9.805962 91.6 0.337965
21 93.904826 91.609895 8.85375 89.8 0.348137
22 94.066708 92.185987 8.072292 92.2 0.338054
23 93.904826 92.333419 6.815305 89.8 0.335154
24 94.144826 91.767965 10.706514 92.2 0.331878
25 94.204826 92.444042 7.890632 92.8 0.320255
26 93.964826 93.32989 0.961102 88.6 0.313155
27 93.904826 93.203561 1.389005 33.4 0.299801
28 93.976054 92.579503 6.721237 89.8 0.309848
29 94.312404 92.560246 6.513925 94.0 0.304
30 93.904826 92.713437 6.097408 86.8 0.30118
31 93.904826 92.842999 7.078634 89.8 0.298121
32 94.204826 93.152821 1.803392 92.8 0.302204
33 94.204826 91.574146 13.398288 92.8 0.294212
34 94.204826 93.260241 1.079809 77.2 0.301952
35 94.000945 91.583965 12.87573 91.6 0.291684
36 94.072506 93.394989 1.125779 92.2 0.28833
37 94.072506 93.485835 0.811191 92.2 0.286848
38 93.904826 92.047337 10.653829 78.4 0.28272
39 93.904826 93.344072 0.624622 86.8 0.284687
40 93.904826 91.960467 11.169295 86.8 0.288241
41 93.931733 93.248783 0.974005 92.2 0.282696
42 94.110144 91.19929 12.881392 91.6 0.275568
43 94.163754 91.769657 11.108906 92.2 0.279207
44 94.144826 92.721122 8.208399 92.2 0.2763
45 94.144826 92.364983 8.46811 87.4 0.278273
46 94.144826 91.863924 10.967512 82.6 0.271993
47 94.063047 93.277819 0.985767 91.0 0.274509
48 93.952404 91.767241 9.793177 90.4 0.276559
49 94.204826 93.328234 1.132037 92.8 0.274187
50 94.204826 93.492317 0.929229 88.0 0.271127
51 94.060945 93.317399 1.103094 92.2 0.274258
52 94.289567 92.808073 6.049632 92.8 0.271715
53 94.469567 93.393738 1.178679 94.6 0.271967
54 94.318596 93.228996 1.526861 94.0 0.274657
55 93.964826 93.381723 0.914181 90.4 0.265769
56 94.054253 93.364587 1.122964 92.8 0.265656
57 94.054253 93.409008 0.944654 88.6 0.269784
58 93.904826 93.100408 3.127822 88.0 0.266188
59 94.144826 93.308534 0.881958 92.2 0.264987
60 94.204826 93.505109 0.998267 92.8 0.267541
61 94.144826 93.429793 0.945182 92.2 0.269349
62 94.144826 93.50941 1.040794 92.2 0.261636
63 93.964826 93.165166 1.072876 90.4 0.263652
64 94.222788 93.267911 1.408616 92.2 0.258049
65 94.222788 93.006121 4.489834 86.2 0.26645
66 94.342788 92.821921 5.762263 93.4 0.271031
67 94.540945 93.46999 1.06297 97.0 0.273261
68 93.904826 93.295415 1.031977 60.4 0.274834
69 94.144826 93.556307 0.736886 92.2 0.269697
70 93.964826 93.229686 1.381718 90.4 0.272475
71 93.964826 93.48355 0.711594 90.4 0.272608
72 93.904826 93.34067 1.002983 89.8 0.275822
73 93.904826 93.200524 1.352721 82.0 0.276931
74 93.904826 93.232081 1.80482 86.8 0.274607
75 93.904826 93.257348 1.131397 88.6 0.277014
76 93.904826 93.206165 2.495486 86.2 0.2769
77 93.904826 92.858204 1.372951 55.6 0.273236
78 93.904826 93.359232 0.922685 89.8 0.273502
79 93.904826 92.893854 5.022265 83.2 0.273728
80 93.904826 93.197454 1.022056 86.8 0.271814
81 93.964826 92.73789 6.682802 90.4 0.277048
82 94.151096 93.480209 0.834674 92.2 0.274393
83 94.222788 93.190884 2.592413 92.2 0.279718
84 94.176393 93.229729 2.514832 91.6 0.276448
85 93.904826 93.049566 3.826972 89.8 0.275913
86 94.144826 92.770939 7.489734 92.2 0.26674
87 94.144826 93.29472 1.117882 86.8 0.270327
88 94.462788 92.966571 6.349285 94.6 0.27048
89 94.462788 93.326006 1.25408 89.8 0.269332
90 94.144826 93.360128 0.995666 92.2 0.26948
91 94.144826 93.214361 1.533095 88.6 0.263249
92 94.144826 93.191634 1.523599 92.2 0.265752
93 94.204826 93.147329 1.746132 92.8 0.266777
94 94.102788 93.2353 1.047086 91.0 0.272058
95 94.529567 93.261259 1.202795 95.2 0.270857
96 94.312404 93.36943 1.074801 94.0 0.276535
97 94.222788 93.38279 1.241435 88.0 0.270145
98 94.204826 92.736381 4.729956 79.6 0.272406
99 93.904826 92.476917 7.534593 84.4 0.279239
