

gen best mean std gain diversity
0 75.347511 -2.272619 9.048605 -10.0 0.576103
0 84.843229 21.963291 18.605628 4.6 0.557317
1 57.200907 21.228809 14.711739 -30.0 0.553559
2 57.216175 29.342856 18.373108 -30.0 0.539754
3 65.62668 28.949741 14.601171 -20.0 0.533132
4 65.630099 28.900155 15.78996 -20.0 0.529564
5 66.478539 28.602843 12.937437 -20.0 0.506188
6 75.462666 40.280141 19.972493 -10.0 0.489151
7 66.194865 31.26668 13.199257 -20.0 0.468631
8 66.194865 31.851012 16.619471 -60.0 0.465573
9 85.023942 35.879877 14.259607 8.2 0.453125
10 75.182889 41.361609 17.798141 -50.0 0.444341
11 66.213103 47.224696 17.357099 -20.0 0.439657
12 84.271054 45.295193 16.737349 1.0 0.433372
13 84.271054 46.175519 17.866232 1.0 0.422888
14 84.271054 42.285387 18.603556 -20.0 0.421866
15 85.75704 44.58049 19.318336 14.2 0.408459
16 85.75704 44.842066 20.883862 -30.0 0.406192
17 75.191858 41.497883 16.533643 -10.0 0.405033
18 75.191858 56.911409 15.957411 -20.0 0.383825
19 75.122264 54.001145 19.783115 -30.0 0.376914
20 75.16227 45.762056 14.468068 -10.0 0.383327
21 84.211054 55.64176 19.944353 0.4 0.375032
22 75.122264 46.771325 18.347842 -40.0 0.383326
23 84.865189 47.439993 15.587753 7.0 0.369769
24 75.191858 54.437809 19.637787 -20.0 0.362129
25 84.171054 55.600662 17.852239 0 0.358316
26 85.27704 62.002637 22.277512 9.4 0.359102
27 75.191858 54.709575 20.02614 -10.0 0.351674
28 75.122264 58.035207 16.797061 -10.0 0.353046
29 75.194865 58.730174 16.301496 -10.0 0.346963
30 66.416504 59.703184 15.230942 -20.0 0.345167
31 86.110119 59.050449 17.548045 17.8 0.344858
32 86.110119 65.352085 19.677654 0 0.336125
33 84.723942 60.193008 16.323342 5.2 0.334217
34 84.723942 62.446392 18.576686 -20.0 0.32969
35 86.415388 59.869375 17.782118 31.0 0.32761
36 87.686702 65.646971 19.532793 43.6 0.328775
37 84.603942 61.668536 13.580154 -60.0 0.327262
38 84.391054 60.898796 17.521365 2.2 0.312808
39 84.783942 66.169919 20.251009 5.8 0.301894
40 84.391054 65.410393 17.243627 2.2 0.300127
41 75.21004 58.040119 15.797206 -10.0 0.314828
42 75.197882 59.724223 14.272638 -10.0 0.314245
43 84.663942 59.252974 15.32738 4.6 0.319958
44 84.663942 64.772685 15.655365 -20.0 0.318962
45 84.211054 63.764286 17.104764 0.4 0.321367
46 84.663942 63.594044 17.39744 4.6 0.316
47 84.663942 68.361772 17.010779 4.6 0.314955
48 84.303942 67.59777 16.855021 1.0 0.309488
49 84.783942 68.894533 16.700106 5.8 0.308293
50 84.603942 69.628953 19.347073 4.0 0.301389
51 84.603942 68.176054 15.490596 -20.0 0.299642
52 84.603942 73.118858 15.730246 -10.0 0.309425
53 84.663942 69.140945 18.456502 4.6 0.310565
54 84.663942 67.104738 20.589585 4.6 0.308047
55 84.603942 71.797367 16.223113 4.0 0.305162
56 84.843942 76.371827 13.395582 6.4 0.300479
57 84.843942 74.145268 20.064572 -20.0 0.295794
58 84.723942 69.808134 17.914859 5.2 0.297794
59 84.723942 74.658022 17.583886 0.4 0.303631
60 84.663942 75.259036 15.262069 -50.0 0.295506
61 84.723942 71.865023 17.140121 5.2 0.297461
62 84.843942 75.885129 17.510321 6.4 0.296186
63 84.663942 73.189508 18.233561 4.6 0.304096
64 84.723942 72.853909 17.755404 5.2 0.303728
65 84.663942 74.301243 18.751214 4.6 0.301697
66 84.663942 77.179991 15.783408 0.4 0.302607
67 84.783942 71.691751 19.390657 5.8 0.302961
68 84.843942 75.537492 17.412766 6.4 0.296907
69 84.843942 75.118159 17.262438 -20.0 0.293762
70 84.663942 73.730871 18.408967 -10.0 0.293163
71 84.663942 72.854859 16.559441 4.6 0.286268
72 84.663942 77.638492 16.151888 0 0.286986
73 84.723942 70.927865 17.564413 5.2 0.286813
74 84.723942 76.228423 14.727547 5.2 0.284958
75 84.783942 74.506428 15.680977 5.8 0.281642
76 84.723942 73.964293 14.424384 5.2 0.283079
77 84.603942 74.666221 14.864496 4.0 0.277839
78 84.663942 76.885313 16.446096 4.6 0.282412
79 84.723942 75.767488 19.31134 5.2 0.285169
80 84.723942 77.041594 17.821058 -60.0 0.282958
81 84.663942 76.98631 16.816694 4.6 0.277771
82 84.663942 77.758065 13.851335 -10.0 0.275193
83 84.663942 74.940715 19.028824 4.6 0.283316
84 84.603942 76.53826 19.08216 4.0 0.287474
85 84.603942 74.957848 17.999387 -20.0 0.286774
86 84.723942 77.783041 14.767961 5.2 0.295595
87 84.663942 77.297863 17.693307 4.6 0.289623
88 84.663942 75.774428 16.560746 4.6 0.286888
89 84.663942 74.413263 16.956259 -20.0 0.293674
90 84.603942 75.148307 18.13921 -10.0 0.295543
91 84.843942 79.348531 12.604445 6.4 0.288594
92 84.723942 77.740928 17.219663 5.2 0.295832
93 84.723942 80.005903 13.442089 -30.0 0.296606
94 84.663942 76.587114 15.475709 4.6 0.298486
95 84.663942 75.466661 15.961393 0 0.299961
96 84.663942 75.129785 15.416872 4.6 0.292234
97 84.723942 78.263931 15.474815 5.2 0.292043
98 84.783942 79.147202 14.508977 5.8 0.291137
99 84.783942 78.909593 14.503875 1.0 0.287957
