gen,best,mean,sd
0,1.7000000000001698,-67.90199999999992,27.639646572752486
1,1.7000000000001698,-60.381578947368325,28.984565813578502
2,1.7000000000001698,-59.465999999999916,29.518529389746618
3,1.7000000000001698,-59.615436241610645,29.40600250287272
4,1.7000000000001698,-59.35637583892608,29.613934961643277
5,1.7000000000001698,-59.58590604026837,29.412730705169103
6,1.7000000000001698,-59.37449664429521,29.588520707067136
7,1.7000000000001698,-59.70402684563749,29.41214851772667
8,1.7000000000001698,-59.43557046979857,29.51483320361106
9,1.7000000000001698,-59.27248322147641,29.752603764147505
