gen,best,mean,sd
0,-14.233333333333274,-80.3502222222222,22.13040701761792
1,-5.56666666666661,-81.53785185185181,21.531949085831563
2,-5.56666666666661,-81.53785185185181,21.531949085831563
3,-5.56666666666661,-81.53785185185181,21.531949085831563
4,-5.56666666666661,-81.53785185185181,21.531949085831563
5,-5.56666666666661,-81.53785185185181,21.531949085831563
6,-5.56666666666661,-81.53785185185181,21.531949085831563
7,-5.56666666666661,-81.53785185185181,21.531949085831563
8,-5.56666666666661,-81.53785185185181,21.531949085831563
9,-5.56666666666661,-81.53785185185181,21.531949085831563
10,-5.56666666666661,-81.53785185185181,21.531949085831563
11,-5.56666666666661,-81.53785185185181,21.531949085831563
12,-5.56666666666661,-81.53785185185181,21.531949085831563
13,-5.56666666666661,-81.53785185185181,21.531949085831563
14,-5.56666666666661,-81.53785185185181,21.531949085831563
15,-5.56666666666661,-81.53785185185181,21.531949085831563
16,-5.56666666666661,-81.53785185185181,21.531949085831563
17,-5.56666666666661,-81.53785185185181,21.531949085831563
18,-5.56666666666661,-81.53785185185181,21.531949085831563
19,-5.56666666666661,-81.53785185185181,21.531949085831563
20,-5.56666666666661,-81.53785185185181,21.531949085831563
21,-5.56666666666661,-79.1973333333333,22.52237675329325
22,1.6333333333334288,-44.2584444444444,31.454606901979012
23,1.6333333333334288,-41.465090090090044,31.466395472963754
24,5.100000000000058,-45.6244444444444,33.33186122675281
25,5.100000000000058,-41.028666666666616,32.34275785441975
26,7.566666666666752,-41.01599999999995,33.82241109306298
27,7.566666666666752,-33.989999999999945,31.992019548862746
28,7.566666666666752,-37.71342281879189,34.17154074896664
29,7.566666666666752,-35.202207505518714,33.27735955345987
30,7.566666666666752,-33.2655555555555,32.000303335753685
31,7.566666666666752,-38.55199999999995,34.60089604491642
32,7.566666666666752,-33.231096196867945,32.49003327114598
33,7.566666666666752,-34.7279642058165,34.773429446672175
34,7.566666666666752,-31.579555555555494,32.04838166288398
35,7.566666666666752,-35.330905077262635,35.1856290692638
36,7.9666666666667645,-32.026621923937306,34.33093386195521
37,7.9666666666667645,-35.415883668903746,33.64941117230721
38,7.9666666666667645,-27.223555555555496,28.88828150130718
39,7.9666666666667645,-32.35416666666661,32.40837349663463
40,9.866666666666767,-26.27590090090084,27.325763020249394
41,9.866666666666767,-28.52639821029077,29.617760325503998
42,9.866666666666767,-30.385458612975338,32.21398006904541
43,9.866666666666767,-35.90311111111105,34.45817697864121
44,9.866666666666767,-32.16396396396391,31.889908575781078
45,9.866666666666767,-34.281405895691556,34.29945538777527
46,9.866666666666767,-35.67006802721083,32.80550341315288
47,9.866666666666767,-34.93825503355699,36.022310258070554
48,9.866666666666767,-34.806263982102855,33.437475876287294
49,9.866666666666767,-28.101789709172202,31.91273073674264
50,9.866666666666767,-28.16062639821023,30.133427385395812
51,9.866666666666767,-35.57718120805364,34.09899766661749
