,gen,best,mean,sd,med,worst
0,0,-33.333333333333336,-90.35555555555555,15.080753820763372,-100.0,-100.0
1,1,-33.333333333333336,-77.9298013245033,18.30842423915669,-76.66666666666667,-100.0
2,2,-30.0,-74.61666666666666,20.1091090993303,-70.0,-100.0
3,3,-30.0,-73.57422222222222,20.03442487197018,-70.0,-100.0
4,4,-23.199999999999918,-67.77376344086021,20.122662552507926,-63.333333333333336,-100.0
5,5,-23.199999999999918,-70.20860215053763,20.629659143991482,-63.333333333333336,-100.0
6,6,-20.19999999999992,-66.79477124183006,20.89299852413865,-63.333333333333336,-100.0
7,7,-20.19999999999992,-66.50822510822509,22.15427877385608,-63.333333333333336,-100.0
8,8,-20.19999999999992,-67.24516129032257,21.350530616133955,-63.333333333333336,-100.0
9,9,-20.19999999999992,-68.69806451612902,22.420688487188922,-63.333333333333336,-100.0
10,10,-20.19999999999992,-66.48653421633553,21.82630177752095,-63.333333333333336,-100.0
11,11,-20.19999999999992,-64.41633554083884,21.745542917014014,-63.333333333333336,-100.0
12,12,-20.19999999999992,-68.43991228070175,23.331791001492686,-63.333333333333336,-100.0
13,13,-20.19999999999992,-65.1203463203463,22.88222947734964,-56.83333333333329,-100.0
14,14,-20.19999999999992,-66.75440860215052,22.377097553104278,-63.333333333333336,-100.0
15,15,-20.19999999999992,-64.27430997876856,22.484432885630333,-60.0,-100.0
16,16,-20.19999999999992,-66.38461538461537,23.670071798077544,-63.333333333333336,-100.0
17,17,-16.333333333333304,-62.28333333333332,23.554510934853177,-51.66666666666667,-100.0
18,18,-16.333333333333304,-66.79225806451612,24.594602030181534,-63.333333333333336,-100.0
19,19,-16.333333333333304,-63.65341880341879,23.534318058707857,-63.333333333333336,-100.0
20,20,-16.333333333333304,-66.5079569892473,25.48276952022857,-63.333333333333336,-100.0
21,21,-16.333333333333304,-64.5622222222222,24.56362914032069,-63.333333333333336,-100.0
22,22,-16.333333333333304,-62.463134657836626,24.44078761766611,-63.333333333333336,-100.0
23,23,-10.133333333333182,-61.55034482758619,24.877533946985057,-56.666666666666664,-100.0
24,24,-10.133333333333182,-60.073378076062625,22.88049261444951,-60.0,-100.0
25,25,-10.133333333333182,-63.20430107526879,24.08239819137011,-63.333333333333336,-100.0
26,26,-10.133333333333182,-62.26843267108165,25.257630525268734,-63.333333333333336,-100.0
27,27,-10.133333333333182,-64.3415525114155,25.856644825034312,-63.333333333333336,-100.0
28,28,0.1333333333335176,-62.766893424036255,26.06849791359066,-63.333333333333336,-100.0
29,29,0.1333333333335176,-63.046396396396375,24.685333402898184,-63.333333333333336,-100.0
30,30,0.1333333333335176,-64.26578947368418,26.845728843249354,-63.333333333333336,-100.0
31,31,0.1333333333335176,-62.75367965367963,23.4942138686475,-63.333333333333336,-100.0
32,32,0.1333333333335176,-62.66756152125278,24.26050267926636,-63.333333333333336,-100.0
33,33,0.1333333333335176,-62.799099099099074,26.096468052861567,-63.333333333333336,-100.0
34,34,0.1333333333335176,-61.36286353467558,26.632869390924753,-63.333333333333336,-100.0
35,35,0.1333333333335176,-58.234467120181385,23.50584797694254,-63.333333333333336,-100.0
36,36,0.1333333333335176,-62.89750566893421,26.86899690226958,-63.333333333333336,-100.0
37,37,0.1333333333335176,-60.77155555555553,25.548513441328254,-63.333333333333336,-100.0
38,38,0.1333333333335176,-59.99999999999998,24.703637159108585,-63.333333333333336,-100.0
39,39,0.1333333333335176,-59.91901565995523,24.59209304519503,-63.333333333333336,-100.0
40,40,0.1333333333335176,-64.40357941834449,25.27374575175258,-63.333333333333336,-100.0
41,41,0.1333333333335176,-60.76600441501101,26.43809531784207,-56.666666666666664,-100.0
42,42,0.1333333333335176,-63.71911111111109,27.389500650368646,-63.333333333333336,-100.0
43,43,0.1333333333335176,-64.00883002207503,26.177198482875784,-63.333333333333336,-100.0
44,44,0.1333333333335176,-61.890380313199074,25.42142117713341,-63.333333333333336,-100.0
45,45,0.1333333333335176,-59.275555555555535,23.244326322198315,-63.333333333333336,-100.0
46,46,0.1333333333335176,-58.7173333333333,26.258086224021554,-63.333333333333336,-100.0
47,47,0.1333333333335176,-59.941387024608474,26.012628049877048,-63.333333333333336,-100.0
48,48,0.1333333333335176,-61.06711111111108,26.497292660213223,-63.333333333333336,-100.0
49,49,0.1333333333335176,-62.12538631346577,24.94490638986755,-63.333333333333336,-100.0
50,50,0.1333333333335176,-59.26491228070173,25.92065484896793,-61.66666666666667,-100.0
51,51,0.1333333333335176,-59.46056644880171,26.046307412320818,-63.333333333333336,-100.0
52,52,0.1333333333335176,-59.986842105263136,25.858401011918737,-63.333333333333336,-100.0
53,53,0.1333333333335176,-60.833771929824536,26.242470372844533,-63.333333333333336,-100.0
54,54,0.1333333333335176,-55.92259507829974,25.261472395689015,-53.333333333333336,-100.0
55,55,0.1333333333335176,-59.605298013245005,26.469235503672284,-56.666666666666664,-100.0
56,56,0.1333333333335176,-61.01565995525725,24.99354892368932,-63.333333333333336,-100.0
57,57,0.1333333333335176,-61.667108167770394,25.354413788414796,-63.333333333333336,-100.0
58,58,0.1333333333335176,-66.26532438478746,27.1632010468946,-63.333333333333336,-100.0
59,59,0.1333333333335176,-59.858666666666636,25.920413714119476,-60.0,-100.0
60,60,0.1333333333335176,-64.00799999999998,27.642730121907192,-63.333333333333336,-100.0
61,61,0.1333333333335176,-61.4679911699779,26.034470239084907,-63.333333333333336,-100.0
62,62,0.1333333333335176,-67.27248322147649,28.402947965268133,-70.0,-100.0
63,63,0.1333333333335176,-62.124061810154494,27.583048232573024,-58.66666666666658,-100.0
64,64,0.1333333333335176,-59.132008830022045,26.324216680146886,-56.666666666666664,-100.0
65,65,0.1333333333335176,-60.933777777777756,25.664351406879618,-63.333333333333336,-100.0
66,66,0.1333333333335176,-64.55480984340043,26.080042304784012,-63.333333333333336,-100.0
67,67,0.1333333333335176,-61.28456375838923,27.52905062365883,-63.333333333333336,-100.0
68,68,0.1333333333335176,-64.98711111111109,26.95837196608376,-63.333333333333336,-100.0
69,69,0.1333333333335176,-64.29403973509932,26.983361478971144,-63.333333333333336,-100.0
70,70,0.1333333333335176,-64.33154362416104,26.442815422634954,-63.333333333333336,-100.0
71,71,0.1333333333335176,-61.6596026490066,25.891152872090107,-60.0,-100.0
72,72,0.1333333333335176,-59.191111111111084,25.864584872316925,-53.333333333333336,-100.0
73,73,0.1333333333335176,-58.937748344370824,26.513706640452853,-53.333333333333336,-100.0
74,74,0.1333333333335176,-59.662693156732864,25.764108182723934,-53.333333333333336,-100.0
75,75,0.1333333333335176,-65.38896247240616,28.253939854813467,-63.333333333333336,-100.0
76,76,0.1333333333335176,-66.00662251655626,27.55313523927672,-63.333333333333336,-100.0
77,77,0.1333333333335176,-64.19377777777775,26.760062388973033,-63.333333333333336,-100.0
78,78,0.1333333333335176,-66.03576158940395,25.814422074483016,-70.0,-100.0
79,79,0.1333333333335176,-58.85871964679909,27.44777520363494,-53.333333333333336,-100.0
80,80,0.1333333333335176,-64.40176600441498,27.554556169204,-63.333333333333336,-100.0
81,81,0.1333333333335176,-62.88432671081675,27.015286002949317,-63.333333333333336,-100.0
82,82,0.1333333333335176,-59.151434878587175,26.631186036019024,-53.333333333333336,-100.0
83,83,0.1333333333335176,-61.2342222222222,25.909928011869276,-60.0,-100.0
84,84,0.1333333333335176,-62.42711111111108,27.15715372274844,-63.333333333333336,-100.0
85,85,0.1333333333335176,-59.322147651006674,26.873072998077564,-60.0,-100.0
86,86,0.1333333333335176,-60.065771812080506,27.12531307085285,-56.666666666666664,-100.0
87,87,0.5333333333335162,-59.32141280353197,28.94550977856499,-56.666666666666664,-100.0
88,88,0.5333333333335162,-62.1156732891832,27.092860999066684,-63.333333333333336,-100.0
89,89,0.5333333333335162,-64.73244444444443,28.589079486344872,-63.333333333333336,-100.0
90,90,0.5333333333335162,-61.351876379690914,28.11504815627138,-60.0,-100.0
91,91,0.5333333333335162,-63.311555555555536,26.769084984615777,-63.333333333333336,-100.0
92,92,0.5333333333335162,-67.79599999999998,29.80280099190283,-70.0,-100.0
93,93,0.5333333333335162,-64.15155555555552,31.441803639402885,-63.333333333333336,-100.0
94,94,0.5333333333335162,-62.44044444444442,29.02019618247156,-61.66666666666667,-100.0
95,95,0.5333333333335162,-61.05771812080533,28.602194455652093,-60.0,-100.0
96,96,0.5333333333335162,-60.15452538631343,27.01041836535363,-56.666666666666664,-100.0
97,97,0.5333333333335162,-65.69050772626929,28.171913478032334,-63.333333333333336,-100.0
98,98,0.5333333333335162,-59.518666666666626,28.743919545093654,-60.0,-100.0
99,99,0.5333333333335162,-57.87382550335566,27.89016290080138,-50.0,-100.0
