,gen,best,mean,sd,med,worst
0,0,-50.0,-92.25,13.50878054643912,-100.0,-100.0
1,1,-46.666666666666664,-81.30745614035087,17.575050929263487,-80.83333333333334,-100.0
2,2,-37.76666666666659,-74.83440860215053,17.945786306418157,-70.0,-100.0
3,3,-31.69999999999992,-69.98815789473683,17.840177161902073,-60.0,-100.0
4,4,-31.69999999999992,-68.49999999999997,19.286153381395494,-60.0,-100.0
5,5,-31.69999999999992,-67.9077922077922,19.88873008271628,-60.0,-100.0
6,6,-31.69999999999992,-70.6635135135135,22.040016955868786,-60.0,-100.0
7,7,-31.69999999999992,-68.16269315673287,20.79935929248687,-60.0,-100.0
8,8,-31.69999999999992,-67.07849462365589,21.10283092389881,-60.0,-100.0
9,9,-31.69999999999992,-68.28258064516126,21.948795195740765,-60.0,-100.0
10,10,-30.733333333333242,-69.98441558441556,22.858870658984955,-65.91666666666664,-100.0
11,11,-29.23333333333325,-68.05185185185182,22.471377385054506,-61.69999999999996,-100.0
12,12,-29.23333333333325,-65.84329004329001,22.237579872458827,-58.366666666666625,-100.0
13,13,-29.23333333333325,-65.28386411889593,22.582443000005277,-58.366666666666625,-100.0
14,14,-29.23333333333325,-63.778632478632446,22.5102999370975,-58.366666666666625,-100.0
15,15,-29.23333333333325,-66.62505307855623,22.87352643761252,-60.53333333333329,-100.0
16,16,-29.23333333333325,-65.61004273504271,21.828984501933192,-60.0,-100.0
17,17,-29.23333333333325,-64.93877995642698,22.146935690017134,-60.0,-100.0
18,18,-26.766666666666584,-63.58344519015657,23.148467937366732,-58.66666666666663,-100.0
19,19,-26.766666666666584,-64.0300438596491,23.479926340040965,-60.0,-100.0
20,20,-26.766666666666584,-66.23877995642698,23.174478379991584,-60.33333333333329,-100.0
21,21,-24.699999999999953,-65.66196868008946,23.652215716067868,-63.36666666666662,-100.0
22,22,-24.699999999999953,-62.71688888888886,23.561039009557234,-58.366666666666625,-100.0
23,23,-24.699999999999953,-62.95695364238408,21.928802644505996,-60.0,-100.0
24,24,-18.299999999999912,-64.77324561403506,24.189669040654525,-60.0,-100.0
25,25,-18.299999999999912,-61.549999999999976,22.94558321091207,-60.0,-100.0
26,26,-18.299999999999912,-63.77908496732023,23.34471396358153,-60.0,-100.0
27,27,-18.299999999999912,-63.54868421052629,23.656662662496984,-60.0,-100.0
28,28,-18.299999999999912,-62.737360178970896,22.36208970822258,-60.0,-100.0
29,29,-18.299999999999912,-63.779818594104285,23.226032049063296,-60.0,-100.0
30,30,-18.299999999999912,-62.156666666666645,21.75400950697666,-60.0,-100.0
31,31,-18.299999999999912,-60.96516129032255,22.168997158415376,-58.333333333333336,-100.0
32,32,-18.299999999999912,-62.001360544217654,21.80820779198231,-58.366666666666625,-100.0
33,33,-18.299999999999912,-60.70505747126433,22.164621746842563,-58.366666666666625,-100.0
34,34,-18.299999999999912,-63.43793103448273,22.978627291343553,-60.0,-100.0
35,35,-18.299999999999912,-64.14826839826837,23.961100041178728,-60.0,-100.0
36,36,-18.299999999999912,-60.26644736842103,19.633640682337482,-60.0,-100.0
