,gen,best,mean,sd,med,worst
0,0,5.080000000000162,-74.9261333333333,27.907854755406934,-87.31999999999994,-100.0
1,1,5.080000000000162,-75.75906666666663,27.292567079619978,-88.39999999999993,-100.0
2,2,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
3,3,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
4,4,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
5,5,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
6,6,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
7,7,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
8,8,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
9,9,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
10,10,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
11,11,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
12,12,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
13,13,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
14,14,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
15,15,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
16,16,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
17,17,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
18,18,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
19,19,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
20,20,5.080000000000162,-75.75906666666663,27.29256707961997,-88.39999999999993,-100.0
21,21,13.360000000000149,-64.08085714285708,32.988362092577766,-82.13999999999996,-100.0
22,22,13.360000000000149,-45.987199999999945,33.711327416166846,-38.87999999999997,-100.0
23,23,20.920000000000158,-41.3464900662251,34.014846431324536,-34.559999999999874,-100.0
24,24,20.920000000000158,-34.404473684210465,31.318314315510325,-24.439999999999948,-100.0
25,25,22.760000000000076,-35.8168421052631,34.292891553211646,-33.07999999999996,-100.0
26,26,22.760000000000076,-36.20578947368415,35.84197844865117,-29.79999999999997,-100.0
27,27,22.760000000000076,-37.42384105960259,35.80420551089119,-37.03999999999995,-100.0
28,28,24.200000000000173,-33.917350993377426,33.99770048129546,-31.91999999999995,-100.0
29,29,24.200000000000173,-32.49599999999994,35.896933350914544,-24.439999999999948,-100.0
30,30,24.200000000000173,-33.37199999999994,36.60862375634102,-28.91999999999994,-100.0
31,31,29.520000000000138,-32.25815789473678,34.49290051706776,-31.75999999999994,-100.0
32,32,29.520000000000138,-32.82533333333327,37.134328676067696,-33.81999999999994,-100.0
33,33,29.680000000000085,-25.500533333333266,35.72746580781921,-22.539999999999925,-100.0
34,34,29.680000000000085,-36.00266666666661,39.85668905243165,-29.439999999999944,-100.0
35,35,29.680000000000085,-23.96783783783777,35.451057898684304,-14.379999999999926,-100.0
36,36,29.680000000000085,-30.64736842105257,37.81389369309498,-29.979999999999954,-100.0
37,37,29.680000000000085,-35.98274509803915,39.61489144042917,-29.199999999999875,-100.0
38,38,29.680000000000085,-32.287682119205236,38.154566849181016,-24.439999999999948,-100.0
39,39,29.680000000000085,-29.840784313725425,38.34772680379949,-20.9199999999999,-100.0
40,40,29.680000000000085,-29.3618543046357,38.98627813287994,-24.439999999999948,-100.0
41,41,29.680000000000085,-29.377066666666604,40.63765277911064,-20.979999999999947,-100.0
42,42,29.680000000000085,-29.93405405405399,40.4016801536808,-15.319999999999933,-100.0
43,43,29.680000000000085,-30.05184210526309,40.233390384975124,-15.479999999999947,-100.0
44,44,29.680000000000085,-24.959205298013178,38.07976945508674,-17.839999999999907,-100.0
45,45,29.680000000000085,-30.385333333333268,40.251342713283805,-23.599999999999945,-100.0
46,46,29.680000000000085,-25.71284768211914,36.07328995506371,-21.759999999999955,-100.0
47,47,31.560000000000187,-26.549933774834372,37.219864871533574,-24.439999999999948,-100.0
48,48,31.560000000000187,-31.92053333333327,39.5470762810884,-29.919999999999952,-100.0
49,49,31.560000000000187,-33.1121621621621,40.98154513035109,-26.619999999999933,-100.0
50,50,31.560000000000187,-26.47099337748338,37.10337523703322,-23.319999999999947,-100.0
51,51,31.560000000000187,-22.16132450331119,36.96737646559469,-7.9999999999999325,-100.0
52,52,31.560000000000187,-34.579337748344315,39.9820576591646,-29.679999999999932,-100.0
53,53,31.560000000000187,-30.717027027026965,38.973494275293035,-24.439999999999948,-100.0
54,54,31.560000000000187,-21.88980132450324,37.82027571194344,-3.0799999999999343,-100.0
55,55,31.560000000000187,-24.315466666666595,38.740770334565596,-3.4799999999999365,-100.0
56,56,31.560000000000187,-26.603513513513448,39.85794855898759,-10.779999999999925,-100.0
57,57,31.560000000000187,-29.581621621621558,42.00848830013094,-18.33999999999994,-100.0
58,58,31.560000000000187,-29.44483221476504,39.916813342098806,-26.47999999999994,-100.0
59,59,31.560000000000187,-26.757350993377422,38.09591844613133,-15.719999999999878,-100.0
60,60,31.560000000000187,-27.605599999999928,40.73224963883045,-17.379999999999917,-100.0
61,61,31.560000000000187,-30.757066666666596,41.57450708541905,-17.89999999999995,-100.0
62,62,34.64000000000012,-24.361854304635695,37.59801751508805,-5.279999999999884,-100.0
63,63,34.64000000000012,-23.31099337748337,38.88230941065512,-3.0799999999999343,-100.0
64,64,34.64000000000012,-32.7730666666666,42.69825576369865,-26.01999999999994,-100.0
65,65,34.64000000000012,-32.29557046979859,41.81318111083457,-25.79999999999994,-100.0
66,66,34.64000000000012,-29.46879999999993,39.79968699910428,-19.819999999999908,-100.0
67,67,34.64000000000012,-25.607733333333265,38.79814117792531,-18.09999999999993,-100.0
68,68,34.64000000000012,-27.5266666666666,40.864508327996454,-13.699999999999914,-100.0
69,69,34.64000000000012,-20.855733333333255,40.568869220075115,-3.0799999999999343,-100.0
70,70,34.64000000000012,-24.06684563758382,39.45197401662418,-5.9999999999999325,-100.0
71,71,34.64000000000012,-26.984900662251587,41.13660647012039,-13.239999999999903,-100.0
72,72,34.64000000000012,-24.665333333333262,38.14906521644916,-14.559999999999928,-100.0
73,73,34.64000000000012,-21.47364238410589,35.617443480835675,-4.71999999999991,-100.0
74,74,34.64000000000012,-22.856266666666595,36.68728421940711,-15.35999999999993,-100.0
75,75,34.64000000000012,-18.72933333333326,39.797971785283536,-3.0799999999999343,-100.0
76,76,34.64000000000012,-25.55140939597308,41.92930235527635,-14.199999999999925,-100.0
77,77,34.64000000000012,-25.015629139072775,41.43727137543292,-10.759999999999934,-100.0
78,78,34.64000000000012,-19.024697986577106,36.43621580548984,-3.0799999999999343,-100.0
79,79,36.640000000000136,-20.657333333333263,38.38070304491861,-3.0799999999999343,-100.0
80,80,36.640000000000136,-25.457866666666593,38.606898599199745,-14.379999999999926,-100.0
81,81,39.08000000000014,-11.771999999999919,33.80896125782831,-1.3199999999999292,-100.0
82,82,39.08000000000014,-17.99759999999992,35.87969148288024,-3.0799999999999343,-100.0
83,83,39.08000000000014,-15.377066666666579,35.00751168052686,-3.0799999999999343,-100.0
84,84,39.08000000000014,-18.00874172185423,36.701949102917716,-3.5599999999999383,-100.0
85,85,43.52000000000014,-13.045066666666578,35.762084442356326,-3.0799999999999343,-100.0
86,86,43.52000000000014,-19.477599999999924,38.917637264356145,-3.0799999999999343,-100.0
87,87,43.52000000000014,-20.285599999999924,35.98853003351673,-5.799999999999931,-100.0
88,88,43.52000000000014,-12.65706666666658,32.6897830633501,-3.0799999999999343,-91.87999999999994
89,89,43.52000000000014,-18.265066666666584,36.51603031996894,-7.459999999999905,-100.0
90,90,43.52000000000014,-22.48693333333326,38.96093599058195,-10.799999999999919,-96.0
91,91,43.52000000000014,-17.925066666666588,36.38372245472177,-3.1999999999999353,-100.0
92,92,43.52000000000014,-21.586933333333253,39.906865573844456,-12.55999999999994,-100.0
93,93,43.52000000000014,-17.94453333333325,40.91361352226042,-3.0799999999999343,-100.0
94,94,43.52000000000014,-16.144533333333257,33.46089483933283,-4.339999999999932,-100.0
95,95,43.52000000000014,-14.431199999999917,36.97734769504165,-3.0799999999999343,-100.0
96,96,43.52000000000014,-20.662133333333255,38.532147489019565,-3.0799999999999343,-100.0
97,97,43.52000000000014,-13.259466666666581,31.5115432772747,-3.0799999999999343,-100.0
98,98,43.52000000000014,-17.40639999999992,37.53308004556339,-3.0799999999999343,-100.0
99,99,43.52000000000014,-17.344799999999918,40.98382007117772,-3.0799999999999343,-100.0
