,gen,best,mean,sd,med,worst
0,0,-40.0,-90.10933333333332,15.594217883799338,-100.0,-100.0
1,1,-40.0,-77.67902869757174,17.93404383071651,-76.66666666666667,-100.0
2,2,-28.73333333333325,-75.35765765765765,19.37104763313859,-70.0,-100.0
3,3,-28.533333333333246,-70.27477477477477,19.655974961217282,-63.333333333333336,-100.0
4,4,-28.533333333333246,-67.3935632183908,20.533271121174508,-63.333333333333336,-100.0
5,5,-17.9999999999999,-65.89485458612974,21.83472346440581,-63.333333333333336,-100.0
6,6,-17.9999999999999,-66.52719298245613,21.474955296487817,-63.333333333333336,-100.0
7,7,-17.9999999999999,-68.83552631578947,23.185679334127368,-63.333333333333336,-100.0
8,8,-17.9999999999999,-64.74978354978353,22.427292576994283,-63.333333333333336,-100.0
9,9,-17.9999999999999,-60.106306306306294,20.886742835984922,-53.333333333333336,-100.0
10,10,-17.9999999999999,-64.5262222222222,24.24124449398761,-58.33333333333333,-100.0
11,11,-17.9999999999999,-61.63219954648524,23.664185432503604,-53.333333333333336,-100.0
12,12,-17.9999999999999,-61.668903803131975,24.085524246250042,-56.666666666666664,-100.0
13,13,-17.533333333333292,-59.26844444444442,23.433595315958236,-50.0,-100.0
14,14,-11.266666666666506,-59.303311258278114,24.32410625352196,-50.0,-100.0
15,15,-11.266666666666506,-60.90755555555553,24.366371223825777,-56.666666666666664,-100.0
16,16,-11.266666666666506,-60.500689655172394,24.77931298512528,-53.333333333333336,-100.0
17,17,-11.266666666666506,-61.10349650349649,25.13836480007922,-56.666666666666664,-100.0
18,18,-11.266666666666506,-57.044444444444416,23.874162839721883,-50.0,-100.0
19,19,-11.266666666666506,-59.16335540838849,25.534607301680264,-51.93333333333325,-100.0
20,20,-11.266666666666506,-60.55119825708059,26.697837997797293,-53.333333333333336,-100.0
21,21,-11.266666666666506,-57.746222222222194,24.733427608884945,-50.0,-100.0
22,22,-11.266666666666506,-60.18666666666663,26.820435509505476,-63.333333333333336,-100.0
23,23,-11.266666666666506,-59.18344519015657,25.563471218968488,-56.666666666666664,-100.0
24,24,-11.266666666666506,-58.72941176470585,26.27251323991602,-60.0,-100.0
