,gen,best,mean,sd,med,worst
0,0,-40.0,-92.36,13.941970741188225,-100.0,-100.0
1,1,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
2,2,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
3,3,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
4,4,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
5,5,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
6,6,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
7,7,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
8,8,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
9,9,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
10,10,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
11,11,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
12,12,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
13,13,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
14,14,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
15,15,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
16,16,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
17,17,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
18,18,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
19,19,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
20,20,-39.799999999999905,-92.31577777777778,13.859047156957276,-100.0,-100.0
21,21,-10.66666666666651,-82.5986842105263,17.838270296124207,-89.73333333333329,-100.0
22,22,-10.66666666666651,-74.71822222222221,21.04016497142291,-70.0,-100.0
23,23,-10.66666666666651,-67.76062639821028,19.612475314822355,-63.333333333333336,-100.0
24,24,-10.66666666666651,-69.04205816554808,20.55792035750217,-70.0,-100.0
25,25,-10.66666666666651,-69.9591111111111,20.936790636887025,-70.0,-100.0
26,26,-10.66666666666651,-67.59022222222221,21.223076729742658,-70.0,-100.0
27,27,-10.66666666666651,-67.2751111111111,21.69910774293512,-70.0,-100.0
28,28,-10.66666666666651,-64.931096196868,21.267397287608024,-63.333333333333336,-100.0
29,29,-10.66666666666651,-65.64912280701753,22.048193806017903,-63.333333333333336,-100.0
30,30,-10.66666666666651,-65.2711409395973,23.043102192489513,-63.333333333333336,-100.0
31,31,-10.66666666666651,-61.59642058165546,23.866288956598925,-56.666666666666664,-100.0
32,32,-2.7333333333331673,-57.09199999999997,23.567594412038996,-50.0,-100.0
33,33,-2.7333333333331673,-61.14878587196466,22.76686908233396,-56.666666666666664,-100.0
34,34,-2.7333333333331673,-60.43713646532437,23.499483082579033,-60.0,-100.0
35,35,-2.7333333333331673,-60.018543046357586,24.430906202238397,-53.333333333333336,-100.0
36,36,-2.7333333333331673,-59.92393736017894,24.371511859417982,-56.666666666666664,-100.0
37,37,-2.7333333333331673,-61.757657657657646,24.085330225076238,-58.33333333333333,-100.0
38,38,-2.7333333333331673,-56.75630630630628,22.350325273026375,-51.66666666666667,-100.0
39,39,-2.7333333333331673,-57.79199999999997,23.613518940232993,-56.666666666666664,-100.0
40,40,-2.7333333333331673,-61.54613686534214,25.535565197048303,-60.0,-100.0
41,41,-2.7333333333331673,-60.126315789473665,24.421992004014296,-60.0,-100.0
42,42,-2.7333333333331673,-57.46174496644292,24.41846600659882,-53.333333333333336,-100.0
43,43,-2.7333333333331673,-61.30540540540539,26.096136671162125,-56.666666666666664,-100.0
44,44,-2.7333333333331673,-57.537333333333315,24.5327067915165,-50.13333333333329,-100.0
45,45,-2.7333333333331673,-58.085585585585555,24.055190596356976,-53.333333333333336,-100.0
46,46,-2.7333333333331673,-60.365333333333304,25.415551634558128,-56.666666666666664,-100.0
47,47,-2.7333333333331673,-55.85244444444441,24.014546932954264,-50.0,-100.0
48,48,-2.7333333333331673,-56.99999999999998,24.892379393629312,-53.333333333333336,-100.0
49,49,-2.7333333333331673,-60.15066666666663,25.47295841999253,-60.0,-100.0
50,50,-2.7333333333331673,-59.59373601789706,25.6095775129086,-60.0,-100.0
51,51,-2.7333333333331673,-59.49530201342279,26.09816980395554,-56.666666666666664,-100.0
52,52,-2.7333333333331673,-54.758108108108075,24.167889102857398,-51.66666666666667,-100.0
53,53,-2.7333333333331673,-52.89955555555552,22.434961798799247,-46.666666666666664,-100.0
54,54,-2.7333333333331673,-58.04078947368418,26.005266053909686,-52.966666666666626,-100.0
55,55,-2.7333333333331673,-55.34342105263155,24.878825351481122,-52.86666666666663,-100.0
56,56,-2.7333333333331673,-59.3549668874172,27.558749126223834,-53.333333333333336,-100.0
57,57,-2.7333333333331673,-58.69199999999997,26.304232212636407,-50.0,-100.0
58,58,-2.7333333333331673,-58.02666666666664,26.232330631691344,-53.333333333333336,-100.0
59,59,-2.7333333333331673,-58.46399999999996,27.85792088171429,-53.333333333333336,-100.0
60,60,-2.7333333333331673,-57.10860927152315,25.83114879706769,-50.0,-100.0
61,61,-2.7333333333331673,-55.22044444444441,25.83089502089018,-50.0,-100.0
62,62,-2.7333333333331673,-52.387555555555515,25.46870426597426,-46.666666666666664,-100.0
