# gen best mean std diversity
0.000000 90.462464 37.599146 5.540347 0.531444
1.000000 91.251655 47.296786 2.983298 0.446525
2.000000 91.286611 54.908540 3.551738 0.352731
3.000000 91.286611 63.279063 0.337979 0.321432
4.000000 90.951858 70.957599 4.372540 0.311434
5.000000 93.796695 74.632889 4.570239 0.300561
6.000000 93.796695 76.754068 3.968543 0.464287
7.000000 93.796695 80.727411 3.870569 0.530100
8.000000 93.796695 82.667655 3.568658 0.471552
9.000000 93.796695 84.481714 5.025442 0.439940
10.000000 90.439688 84.558369 7.782051 0.418005
11.000000 90.559688 84.172225 3.772546 0.415726
12.000000 90.439688 81.099595 3.728384 0.374251
13.000000 90.619688 85.530705 4.149443 0.538298
14.000000 90.446611 84.248225 6.626361 0.456244
15.000000 90.919688 86.151091 6.174958 0.372872
16.000000 90.919688 83.041078 7.667158 0.317668
17.000000 89.550571 85.920788 5.411060 0.283370
18.000000 89.582832 84.845182 1.745607 0.270632
19.000000 89.538736 83.801630 3.936265 0.267699
20.000000 89.582832 83.633840 2.732654 0.371696
21.000000 89.558539 82.312191 6.238866 0.356427
22.000000 89.582832 84.467067 2.109640 0.303367
23.000000 89.582832 84.775527 11.642237 0.286288
24.000000 89.582832 83.825618 7.251294 0.282460
25.000000 90.045069 83.132227 8.734142 0.266325
26.000000 90.045069 85.250992 8.084141 0.397164
27.000000 89.846611 86.433251 4.034735 0.370405
28.000000 90.117582 86.646462 4.154756 0.339757
29.000000 89.558539 87.319668 5.521078 0.318362
30.000000 89.558539 87.105278 2.031087 0.298377
31.000000 90.679688 85.850736 6.912490 0.292587
32.000000 90.679688 87.065575 5.836733 0.290973
33.000000 90.679688 86.242403 7.382800 0.444674
34.000000 90.679688 86.673262 6.655096 0.366105
35.000000 89.587040 84.457738 1.609610 0.326552
36.000000 90.702907 85.036998 4.718492 0.300879
37.000000 90.706268 85.288427 3.409416 0.287480
38.000000 90.702907 83.775709 4.977498 0.264336
39.000000 89.530924 85.212747 9.026936 0.251802
40.000000 89.574668 85.267811 2.586529 0.354911
41.000000 90.679688 85.963561 6.477694 0.341211
42.000000 90.679688 86.228179 7.067485 0.322971
43.000000 90.679688 86.415646 5.871712 0.301966
44.000000 90.427798 81.039592 0.785514 0.275230
45.000000 90.679688 86.307496 8.439348 0.264546
46.000000 89.558539 85.400068 1.880269 0.380588
47.000000 89.558539 87.409758 3.005845 0.354430
48.000000 89.530924 87.491745 7.659182 0.335137
49.000000 89.527040 86.938457 7.380951 0.312768
50.000000 89.530924 86.538010 1.720038 0.309590
51.000000 89.527040 87.177024 6.053353 0.292320
52.000000 89.574668 88.190581 6.608110 0.276508
53.000000 89.574668 89.196609 0.154174 0.421665
54.000000 89.570612 87.308883 8.771747 0.363372
55.000000 90.484928 88.285758 5.338090 0.353015
56.000000 90.706268 87.416082 5.436975 0.337393
57.000000 90.709641 88.688257 1.296859 0.319094
58.000000 89.582832 85.399414 8.933522 0.306184
59.000000 89.582832 87.164748 7.298750 0.290714
60.000000 89.971940 83.049928 6.896309 0.338543
61.000000 89.779688 86.979181 8.499156 0.327339
62.000000 90.589641 87.424631 6.858139 0.296380
63.000000 90.773025 87.506250 7.572974 0.279538
64.000000 90.593025 86.623853 8.519691 0.265531
65.000000 90.593025 87.360914 5.823079 0.261720
66.000000 89.971940 86.577405 6.951466 0.363050
67.000000 89.971940 87.184258 5.558494 0.364537
68.000000 89.971940 85.067934 4.307684 0.335209
69.000000 89.971940 87.080002 9.618212 0.291040
70.000000 89.971940 87.055811 7.362792 0.265801
71.000000 90.117582 87.084246 6.109655 0.254317
72.000000 90.117582 88.589371 2.221676 0.238876
73.000000 89.971940 88.324007 6.511719 0.374062
74.000000 89.971940 86.963171 7.442148 0.301281
75.000000 89.971940 87.880858 6.002992 0.293605
76.000000 89.971940 87.356209 6.613996 0.277775
77.000000 89.971940 87.428468 8.954177 0.269609
78.000000 89.971940 87.238123 4.135789 0.268937
79.000000 90.146267 85.452023 2.142769 0.266117
80.000000 89.971940 85.666684 9.718529 0.348058
81.000000 89.971940 85.859881 9.861928 0.289584
82.000000 89.971940 85.811427 8.413414 0.259615
83.000000 89.971940 84.718309 2.506120 0.245815
84.000000 89.971940 85.759780 0.578832 0.240508
85.000000 89.971940 88.058644 7.151234 0.226860
86.000000 89.971940 85.370447 9.423362 0.370966
87.000000 89.971940 85.318367 10.212158 0.330362
88.000000 90.449573 84.193221 11.033022 0.318500
89.000000 89.971940 89.124800 0.086575 0.292325
90.000000 89.971940 88.044898 3.936919 0.285121
91.000000 89.971940 85.828728 7.735256 0.269294
92.000000 89.971940 87.419953 6.281075 0.259985
93.000000 89.971940 87.817475 7.048009 0.387734
94.000000 90.206611 87.651804 8.127967 0.333075
95.000000 90.206611 87.401453 9.097098 0.315977
96.000000 90.206611 86.008193 8.318104 0.283648
97.000000 91.094823 88.001826 8.115682 0.275375
98.000000 91.094823 88.711271 3.136146 0.261687
99.000000 90.086611 89.002692 1.620030 0.256246
