# gen best mean std diversity
0.000000 66.548962 16.716850 5.659331 0.429498
1.000000 56.830389 16.337055 2.629320 0.438842
2.000000 84.459983 21.154876 6.602895 0.400406
3.000000 84.459983 18.539027 4.608626 0.355861
4.000000 86.554547 33.717439 7.201817 0.272856
5.000000 86.663900 33.098540 14.048253 0.260773
6.000000 30.490612 17.771350 2.017440 0.232641
7.000000 57.785064 24.077604 5.313983 0.202984
8.000000 66.610928 28.122448 3.785592 0.195063
9.000000 75.511062 28.129005 8.233786 0.173789
10.000000 57.156456 23.131802 3.534456 0.294580
11.000000 66.515203 25.749591 7.415193 0.253630
12.000000 66.515203 25.194345 5.677253 0.264506
13.000000 66.515203 22.075806 5.598860 0.270994
14.000000 75.548962 26.070151 8.128547 0.248890
15.000000 66.498742 25.642103 4.930249 0.211483
16.000000 75.213103 27.368046 7.105750 0.190605
17.000000 57.250607 21.555253 2.617623 0.183499
18.000000 57.250607 24.478324 5.542521 0.152495
19.000000 57.544679 27.110179 4.080650 0.154159
20.000000 74.775442 30.333807 3.751520 0.205796
21.000000 66.222348 35.200871 4.216902 0.266542
22.000000 75.523536 34.701199 4.428560 0.250426
23.000000 66.213103 38.395765 4.237311 0.197445
24.000000 85.271917 32.871874 7.375744 0.191813
25.000000 75.191858 36.574098 2.969450 0.166866
26.000000 66.194865 34.441526 3.030481 0.159275
27.000000 75.075744 33.779614 2.157733 0.149489
28.000000 66.269900 32.767239 3.546020 0.154343
29.000000 75.427846 43.877597 3.666195 0.141024
30.000000 66.302907 40.461456 3.074560 0.249646
31.000000 75.197882 32.811316 1.753459 0.226985
32.000000 75.225448 34.612716 1.739674 0.253571
33.000000 75.225448 43.707148 1.358509 0.195639
34.000000 75.213103 43.139920 3.523499 0.207753
35.000000 85.623229 39.278214 3.043937 0.189973
36.000000 87.179599 37.542200 3.113011 0.177630
37.000000 87.231655 44.869089 5.350822 0.150613
38.000000 87.123229 45.513959 5.529055 0.145002
39.000000 87.243229 50.668095 4.245104 0.111685
40.000000 87.123229 45.791607 6.889604 0.210699
41.000000 87.130119 41.230679 6.595412 0.237127
42.000000 75.213103 41.629607 3.761882 0.195141
43.000000 75.213103 44.329255 3.221181 0.198863
44.000000 66.222348 30.110797 6.005115 0.187754
45.000000 84.947427 51.129786 2.612943 0.161756
46.000000 84.947427 35.229377 2.490703 0.149145
47.000000 66.206986 43.641005 1.775291 0.139406
48.000000 66.225448 42.516012 4.453492 0.130449
49.000000 66.313025 37.604701 5.995951 0.127999
50.000000 75.159358 37.337910 3.035496 0.225056
51.000000 85.004258 35.961086 5.602174 0.220156
52.000000 66.296218 40.955494 6.731078 0.201825
53.000000 75.171054 37.250266 5.271003 0.204250
54.000000 84.483942 37.079514 4.819506 0.190248
55.000000 84.173532 35.255719 5.520905 0.175490
56.000000 75.200907 33.268960 5.219360 0.157910
57.000000 75.273152 41.156963 5.308376 0.139807
58.000000 84.211054 34.822255 5.711697 0.133608
59.000000 75.165189 33.737994 5.116798 0.113726
60.000000 84.271054 41.004641 4.360876 0.197923
61.000000 66.194865 43.340313 3.140936 0.224745
62.000000 75.176954 30.983501 5.337873 0.210356
63.000000 75.176954 45.708145 2.627785 0.181775
64.000000 84.663942 36.839658 4.281130 0.182762
65.000000 84.663942 33.484974 6.151801 0.167295
66.000000 66.313025 36.532470 2.699442 0.157082
67.000000 66.266659 38.755750 4.519650 0.137000
68.000000 75.185869 43.253800 4.068087 0.108108
69.000000 75.182889 36.875531 6.271787 0.110198
70.000000 75.185869 38.192528 4.291294 0.207099
71.000000 66.206986 36.118678 6.127619 0.237071
72.000000 75.191858 38.045241 2.921672 0.215924
73.000000 75.194865 38.575688 4.286541 0.188675
74.000000 66.225448 43.001371 1.650515 0.163893
75.000000 84.331054 42.105200 4.717732 0.171048
76.000000 84.331054 40.680449 4.062578 0.144950
77.000000 84.331054 49.209972 5.134784 0.131251
78.000000 84.331054 44.650192 1.448311 0.121054
79.000000 75.179917 40.158861 3.111879 0.115966
80.000000 75.194865 51.156868 4.107648 0.211573
81.000000 75.216175 44.126287 5.006963 0.205812
82.000000 75.250607 50.066521 3.722796 0.189246
83.000000 75.194865 42.377719 3.375254 0.168788
84.000000 84.391054 49.378153 2.703040 0.160635
85.000000 75.165189 50.069052 4.695578 0.162102
86.000000 85.964051 45.022645 2.488437 0.156604
87.000000 75.210040 51.570466 2.871672 0.144261
88.000000 66.210040 48.493281 1.514249 0.126539
89.000000 75.171054 57.020734 4.155352 0.104855
90.000000 84.483942 56.706116 4.658266 0.169887
91.000000 75.203942 51.609645 1.959978 0.158897
92.000000 85.271410 46.921538 2.712982 0.163629
93.000000 75.216175 52.527194 1.506325 0.155207
94.000000 75.244258 52.324418 3.298700 0.136972
95.000000 75.289573 54.979859 1.857756 0.118119
96.000000 75.247427 56.728070 5.510921 0.087350
97.000000 75.244258 56.128252 3.465806 0.093502
98.000000 75.244258 48.833570 7.256242 0.071521
99.000000 84.710607 62.861472 6.556118 0.066932
