# gen best mean std diversity
0.000000 92.394865 59.229654 0.224719 0.543248
1.000000 93.876796 67.708669 2.636366 0.467162
2.000000 93.876796 75.355940 3.864654 0.413712
3.000000 93.495203 77.769305 8.346004 0.375689
4.000000 93.259465 79.907599 2.448988 0.357979
5.000000 94.415214 87.137181 8.784449 0.348336
6.000000 94.415214 89.172094 8.962031 0.472657
7.000000 94.415214 88.013121 12.508827 0.526185
8.000000 94.415214 87.434632 3.867824 0.488132
9.000000 94.132404 88.562799 1.034684 0.452355
10.000000 94.378596 86.313649 11.342431 0.398446
11.000000 94.378596 87.417827 10.614501 0.370559
12.000000 94.378596 90.629187 7.473269 0.321872
13.000000 94.378596 89.831792 8.021905 0.526641
14.000000 94.378596 90.736086 5.614262 0.512685
15.000000 93.923558 89.177907 1.624147 0.453468
16.000000 93.923558 91.770582 5.273851 0.385850
17.000000 93.923558 90.306224 6.917784 0.328700
18.000000 93.931733 89.835075 7.355198 0.303040
19.000000 93.931733 90.005385 8.088044 0.280529
20.000000 94.115214 92.441753 0.123073 0.373830
21.000000 94.115214 90.086723 10.248290 0.351770
22.000000 93.262972 91.753115 5.235639 0.292538
23.000000 94.264826 90.583450 8.575739 0.274336
24.000000 92.961683 91.983949 1.230819 0.260539
25.000000 93.832142 90.160879 2.150476 0.253882
26.000000 93.243246 88.195608 10.363941 0.425592
27.000000 93.154809 91.114013 5.999617 0.422709
28.000000 93.686611 89.986656 7.756565 0.412187
29.000000 93.741683 90.363133 9.904783 0.375198
30.000000 93.859361 92.467732 0.180397 0.347170
31.000000 94.336695 92.421444 0.384400 0.322010
32.000000 94.336695 91.771402 6.709544 0.288114
33.000000 94.006708 91.654235 6.700204 0.393339
34.000000 94.006708 91.026496 6.261476 0.347907
35.000000 93.923558 92.192967 1.927187 0.330308
36.000000 93.958596 91.650084 5.052963 0.307658
37.000000 93.958596 91.592161 6.366985 0.300014
38.000000 94.264826 91.308035 6.492787 0.300107
39.000000 94.264826 92.300014 0.874704 0.293883
40.000000 94.522788 92.312434 1.892494 0.341698
41.000000 94.522788 90.174442 7.159894 0.326121
42.000000 94.522788 91.631510 6.148638 0.308368
43.000000 94.522788 89.989059 4.116271 0.291802
44.000000 93.379361 92.295600 0.252061 0.286125
45.000000 93.559361 91.777902 4.247811 0.276840
46.000000 93.863558 92.185948 1.880513 0.414109
47.000000 93.863558 91.635640 6.177883 0.365205
48.000000 93.970654 92.422658 0.140778 0.340636
49.000000 93.559361 90.841653 5.761384 0.315888
50.000000 92.966611 91.608874 6.611281 0.284801
51.000000 93.258736 90.221785 6.016291 0.270988
52.000000 93.598742 89.373327 8.659909 0.264377
53.000000 93.598742 91.884587 4.788414 0.431410
54.000000 94.041683 92.460791 0.150280 0.344791
55.000000 94.315993 91.526508 4.590833 0.331761
56.000000 94.315993 91.069442 6.462774 0.313424
57.000000 93.423649 91.882331 2.718506 0.305013
58.000000 94.463558 91.710787 6.683932 0.299509
59.000000 94.463558 92.359223 1.345400 0.299698
60.000000 94.463558 91.713328 6.314829 0.327291
61.000000 94.463558 90.175243 7.054860 0.305670
62.000000 93.435050 90.192412 7.428736 0.286047
63.000000 93.435050 92.370603 0.261584 0.278270
64.000000 93.364202 91.693791 5.300772 0.265249
65.000000 93.858708 91.305365 5.477310 0.248275
66.000000 93.858708 91.445981 4.657822 0.368796
67.000000 93.678253 91.613615 5.242516 0.385102
68.000000 93.678253 90.504970 7.253122 0.382733
69.000000 93.678253 89.272942 1.557652 0.363843
70.000000 93.678253 90.177305 7.211663 0.323467
71.000000 93.931733 91.686953 4.911007 0.298195
72.000000 93.991733 92.273562 2.231846 0.283791
73.000000 93.904826 89.892533 4.546400 0.401016
74.000000 94.336054 91.670842 4.346365 0.241450
75.000000 94.336054 90.664908 6.112563 0.241732
76.000000 93.494823 90.206871 6.319871 0.234129
77.000000 93.494823 91.230635 4.297074 0.226883
78.000000 93.503754 92.186258 1.061640 0.226398
79.000000 93.784826 92.354112 0.249955 0.222437
80.000000 93.466708 91.747992 4.539464 0.358023
81.000000 93.466708 90.561228 6.403500 0.339500
82.000000 93.811733 90.707324 8.321252 0.313691
83.000000 93.811733 90.676993 4.401462 0.292668
84.000000 93.931733 91.477723 6.311026 0.267912
85.000000 93.931733 90.306225 8.482211 0.260528
86.000000 93.931733 91.630564 5.674035 0.371325
87.000000 93.600103 89.705053 6.700470 0.343048
88.000000 93.931733 89.769141 3.521182 0.316208
89.000000 93.209516 91.579635 4.596536 0.294043
90.000000 93.675050 91.059389 6.263548 0.272452
91.000000 93.739465 90.301654 7.983042 0.261802
92.000000 93.803900 92.160418 0.320664 0.249369
93.000000 93.803900 90.367052 6.422772 0.377109
94.000000 93.803900 91.003783 7.365124 0.363463
95.000000 94.189562 90.717250 6.266826 0.348072
96.000000 94.398358 91.694403 4.867253 0.353966
97.000000 93.210571 92.312247 0.411043 0.317852
98.000000 93.210571 90.770269 6.017580 0.289278
99.000000 94.288891 90.774720 8.355134 0.281242
