

gen best mean std gain diversity
0 29.996113 -2.739041 5.744369 -60.0 0.574837
0 75.42027 15.876627 13.210718 -10.0 0.556389
1 75.42027 32.389866 25.251492 -10.0 0.542059
2 66.250607 28.318833 17.8248 -20.0 0.539536
3 66.43548 34.285961 19.645537 -20.0 0.519238
4 48.515203 29.245653 13.400179 -70.0 0.491297
5 66.130703 31.092149 12.667822 -20.0 0.473917
6 75.127882 40.26504 19.753786 -10.0 0.466191
7 48.561921 27.337557 10.351301 -40.0 0.434363
8 66.200907 31.269839 12.195767 -20.0 0.438154
9 75.191858 39.633343 17.603194 -10.0 0.433554
10 86.643229 31.879634 16.925724 22.6 0.421581
11 87.758539 48.752309 22.595648 32.8 0.414566
12 84.606986 50.172067 18.599832 4.0 0.391065
13 86.091655 51.197281 18.858111 16.6 0.392253
14 86.399599 57.039567 22.243862 20.2 0.387931
15 86.751655 66.509837 21.082218 23.2 0.362617
16 86.811655 62.775394 19.220337 23.8 0.365767
17 86.991655 69.98958 19.096847 25.6 0.345406
18 87.175982 61.221124 18.997532 28.0 0.362586
19 87.175982 62.357864 20.102134 -20.0 0.36572
20 86.751655 66.265227 21.042124 23.2 0.356442
21 86.635982 64.211465 21.83004 22.6 0.357607
22 86.314547 60.282727 21.597945 18.4 0.343127
23 86.695982 69.61904 21.871839 23.2 0.343103
24 88.107729 68.681159 24.118263 35.8 0.338361
25 86.695982 64.033636 21.054578 -10.0 0.338436
26 88.107729 67.559588 20.736916 35.8 0.33168
27 87.987729 71.783471 23.948605 34.6 0.332031
28 87.475982 71.074184 20.083595 31.0 0.330577
29 87.758539 75.200595 22.0931 32.8 0.325532
30 86.395982 62.442467 19.879016 20.2 0.333829
31 87.231655 73.492289 22.650811 28.0 0.323431
32 86.935982 73.276797 23.500332 25.6 0.327082
33 86.875982 74.470769 20.571402 25.0 0.305764
34 87.111655 77.977299 19.410172 26.8 0.312259
35 87.867729 77.094778 21.60658 33.4 0.298529
36 87.687729 78.239436 20.216398 26.2 0.295841
37 87.603229 77.119878 17.564596 32.2 0.297061
38 88.602547 79.602194 17.506845 41.2 0.296803
39 89.072828 78.018215 19.829433 44.8 0.294425
40 88.107729 78.737952 18.392084 35.8 0.293892
41 88.956168 77.865484 17.987129 44.2 0.28994
42 88.407729 78.64897 17.893745 38.8 0.29074
43 87.807729 79.083382 18.197796 32.8 0.293787
44 87.447729 78.946526 18.480475 14.8 0.293515
45 87.447729 79.487234 16.059989 16.6 0.28846
46 87.447729 76.008824 20.544746 27.4 0.287831
47 87.01704 78.543672 19.962694 26.8 0.290135
48 88.047729 78.830368 18.187772 35.2 0.288891
49 87.447729 79.380604 18.418628 28.0 0.282552
50 87.147729 79.796032 17.452375 18.4 0.275773
51 86.815982 69.316799 19.540179 24.4 0.280118
52 88.407729 78.783083 18.04982 38.8 0.289156
53 88.407729 75.455949 22.735375 18.4 0.28895
54 89.632506 73.777444 22.614161 47.8 0.282494
55 88.407729 78.936672 20.006076 25.0 0.279704
56 88.407729 78.976457 19.067975 25.0 0.281451
57 87.747729 75.631245 19.246039 32.2 0.292875
58 88.047729 76.918576 21.630787 35.2 0.293531
59 88.892828 77.288592 21.304852 43.0 0.301955
60 88.892828 80.395669 17.942168 -10.0 0.294447
61 88.047729 77.733399 20.484918 21.4 0.288959
62 88.407729 75.324189 20.91033 38.8 0.29283
63 87.987729 79.647354 17.812638 34.6 0.290875
64 88.17194 80.58784 17.759677 36.4 0.288713
65 87.351655 78.574949 19.158696 29.2 0.286178
66 86.819599 77.900956 19.455742 24.4 0.285183
67 87.402547 79.320546 17.455095 29.2 0.280422
68 87.402547 79.743891 18.071032 26.2 0.282266
69 87.402547 78.893027 17.812005 10.0 0.291317
70 87.235982 78.672298 19.487 19.0 0.283028
71 88.047729 76.27801 19.840018 35.2 0.286359
72 88.047729 80.263663 17.667091 17.2 0.28654
73 88.407729 80.208509 17.775999 38.8 0.290662
74 88.407729 80.749742 16.75854 26.8 0.292737
75 87.638539 79.275651 18.313398 -10.0 0.279409
76 87.175982 78.906118 19.044572 28.0 0.284504
77 87.351655 79.731258 18.512216 29.2 0.283346
78 87.224051 80.964428 16.634718 26.2 0.275938
79 87.179599 78.661174 18.360122 -40.0 0.277228
80 87.235982 81.139732 15.369935 28.6 0.274294
81 87.055982 81.25038 16.036159 26.8 0.281948
82 88.287729 82.060238 14.68896 37.6 0.2732
83 88.287729 79.330986 18.873888 32.2 0.276327
84 88.227729 78.793878 18.042576 37.0 0.281139
85 88.467729 82.232425 15.661809 39.4 0.27797
86 88.347729 81.105909 16.08523 12.4 0.283896
87 88.167729 79.02282 19.701811 36.4 0.28833
88 88.29194 80.696001 16.764884 37.6 0.286797
89 88.347729 79.632682 18.613978 38.2 0.291293
90 88.35194 83.130501 12.977218 38.2 0.283183
91 88.347729 81.499662 13.862008 38.2 0.287838
92 88.467729 84.167533 12.311413 39.4 0.28011
93 88.407729 82.80683 15.349993 38.8 0.28316
94 88.167729 83.317706 13.613293 36.4 0.285985
95 88.167729 81.44313 17.934739 7.6 0.279087
96 88.167729 82.400863 15.472174 36.4 0.2743
97 88.107729 81.025684 16.827071 35.8 0.281473
98 88.347729 82.940843 12.862405 38.2 0.283271
99 88.347729 79.729397 18.600008 29.8 0.279545
