# gen best mean std diversity
0.000000 87.237882 27.777456 0.591488 0.534982
1.000000 91.466611 57.945490 2.286956 0.445861
2.000000 91.466611 69.111183 2.504334 0.410139
3.000000 90.673561 75.775737 3.761128 0.332476
4.000000 90.673561 77.761958 5.446703 0.297327
5.000000 90.073561 78.781566 4.304639 0.293185
6.000000 88.750040 79.823893 6.261993 0.458815
7.000000 89.170924 79.559390 8.061446 0.485717
8.000000 89.170924 82.389963 9.471869 0.439474
9.000000 89.350924 84.039131 8.779116 0.387209
10.000000 91.013025 83.738281 12.158418 0.345496
11.000000 91.013025 82.108744 4.753875 0.319459
12.000000 89.394668 83.343114 9.442892 0.305271
13.000000 89.394668 81.944913 1.221792 0.536900
14.000000 90.373561 83.274778 8.561118 0.508250
15.000000 90.373561 82.284120 5.160186 0.458302
16.000000 90.373561 82.529278 4.955607 0.389026
17.000000 90.373561 80.284227 5.199811 0.365960
18.000000 90.373561 80.679028 1.902641 0.358446
19.000000 90.313561 85.031329 8.548726 0.343653
20.000000 90.313561 84.648528 6.831209 0.332014
21.000000 90.073561 80.193692 1.747625 0.260019
22.000000 89.696064 84.785846 7.069047 0.253768
23.000000 89.530924 83.420107 10.090450 0.252958
24.000000 89.530924 82.814493 9.769090 0.250104
25.000000 90.073561 84.464845 9.167980 0.246798
26.000000 90.073561 84.094564 9.962915 0.427674
27.000000 90.073561 82.239183 10.957592 0.421566
28.000000 87.237882 83.764880 10.387784 0.379588
29.000000 87.165869 83.148528 12.775380 0.350386
30.000000 87.246986 84.437182 8.760171 0.324143
31.000000 87.168859 85.730059 5.605529 0.291766
32.000000 87.168859 86.375093 6.865813 0.280578
33.000000 87.168859 85.397556 8.898434 0.447308
34.000000 87.168859 87.151655 0.015141 0.415254
35.000000 87.237882 83.150408 10.003134 0.393115
36.000000 87.237882 85.621078 5.282083 0.366503
37.000000 87.310040 86.380273 6.857961 0.339715
38.000000 89.971940 83.146625 2.607682 0.329174
39.000000 89.350924 86.317369 3.047402 0.309563
40.000000 87.168859 83.522346 7.771329 0.399396
41.000000 91.393561 84.121205 5.920209 0.372612
42.000000 89.864108 84.281641 3.593529 0.346937
43.000000 89.864108 81.691815 9.784563 0.325333
44.000000 89.799703 83.207800 3.271760 0.308254
45.000000 89.799703 83.136398 7.560610 0.283712
46.000000 87.259256 86.185775 4.793360 0.367544
47.000000 89.155982 85.156611 7.569790 0.327814
48.000000 89.155982 83.168946 9.900648 0.310400
49.000000 89.155982 84.709765 2.178989 0.295818
50.000000 89.053152 84.817928 3.465704 0.290325
51.000000 89.053152 85.723463 7.930187 0.288587
52.000000 90.745189 84.578113 5.712640 0.269767
53.000000 90.745189 86.487754 5.522861 0.432954
54.000000 90.036678 86.476607 4.822761 0.360337
55.000000 89.198539 83.988113 9.004548 0.341004
56.000000 87.225869 84.744348 7.624323 0.309343
57.000000 87.196175 85.078577 2.195164 0.295902
58.000000 87.291858 87.162581 0.004688 0.282449
59.000000 87.291858 85.289192 8.510576 0.264249
60.000000 87.168859 83.165645 8.924536 0.339409
61.000000 90.313561 85.575873 7.311782 0.329800
62.000000 90.313561 83.811631 6.282963 0.304915
63.000000 90.310675 86.206905 4.150138 0.293398
64.000000 89.688535 85.594580 7.231170 0.287512
65.000000 90.313561 86.303234 5.125340 0.278352
66.000000 90.073561 85.978617 4.849977 0.373535
67.000000 87.168859 86.935031 1.579097 0.350436
68.000000 87.199358 85.679282 6.557864 0.327329
69.000000 87.199358 84.549617 1.315421 0.288960
70.000000 87.199358 83.841676 2.584097 0.285561
71.000000 87.199358 87.159063 0.001854 0.287345
72.000000 87.168859 85.686650 6.533043 0.278879
73.000000 87.168859 85.758804 6.303019 0.352195
74.000000 87.168859 85.686657 6.536403 0.306394
75.000000 87.346039 86.465208 6.144970 0.269857
76.000000 87.351039 85.037756 7.751260 0.261590
77.000000 87.259256 86.286672 5.544324 0.255389
78.000000 87.168859 84.034927 2.338154 0.262528
79.000000 87.168859 84.858758 7.480398 0.268394
80.000000 87.168859 85.664330 6.347055 0.371358
81.000000 87.168859 86.765904 2.662007 0.354497
82.000000 87.168859 83.771153 2.624740 0.318842
83.000000 87.168859 85.422949 5.190675 0.294000
84.000000 87.168859 85.826743 6.108526 0.283972
85.000000 90.696678 86.535774 4.313683 0.268813
86.000000 89.868533 86.826038 3.357931 0.361809
87.000000 87.168859 84.627749 7.768209 0.306921
88.000000 87.193103 82.762724 2.165149 0.285134
89.000000 87.196175 85.930490 4.146776 0.271572
90.000000 87.196175 82.929518 4.564804 0.254711
91.000000 87.196175 84.427243 1.859773 0.242823
92.000000 89.868533 83.547888 4.090750 0.237654
93.000000 89.868533 80.318764 4.841698 0.377867
94.000000 87.259358 84.024416 9.538176 0.348207
95.000000 87.259358 81.149084 1.301172 0.347068
96.000000 87.259358 85.578982 8.719010 0.326281
97.000000 87.168859 83.403925 8.347557 0.294586
98.000000 87.186986 82.164015 13.046163 0.271986
99.000000 87.196175 83.750542 7.988444 0.258985
