

gen best mean std gain diversity
0 14.680855 -4.798958 4.329752 -15.754605 0.574413
0 20.057899 4.015045 8.417517 -28.397531 0.57845
1 45.03101 8.626129 10.005742 -9.669935 0.564766
2 45.03101 10.884255 10.669951 -81.835034 0.567506
3 45.03101 13.85718 11.480539 -15.505103 0.539504
4 35.852776 18.395157 10.376806 -28.397531 0.50837
5 35.852776 19.760797 12.00791 -7.478208 0.502573
6 35.852776 19.023997 13.434109 -20.419974 0.516123
7 36.10747 21.889141 12.633849 -19.669935 0.497908
8 36.10747 20.423062 14.683726 -11.722284 0.504555
9 36.10747 21.54645 12.61941 -21.715729 0.485652
10 37.807524 22.211414 14.164551 -8.397531 0.488489
11 37.807524 20.376394 13.368085 -9.797804 0.520499
12 37.807524 20.022617 12.505376 -11.722284 0.530403
13 39.905123 20.001368 12.416407 1.61549 0.52564
14 39.905123 19.38671 13.416529 -29.763107 0.50752
15 39.905123 20.2714 11.890827 -17.08664 0.492895
16 38.059415 20.698641 12.983055 -37.810486 0.495516
17 38.059415 21.838414 12.23399 -17.08664 0.507593
18 38.059415 23.624583 12.028469 -7.08664 0.501982
19 38.059415 22.797579 13.157626 -17.08664 0.496584
20 38.059415 21.561846 12.935484 -20.419974 0.507273
21 38.059415 21.803091 11.73335 -1.715729 0.515231
22 35.222168 20.304653 12.133333 -17.08664 0.516467
23 35.222168 20.260266 10.544113 -17.08664 0.529721
24 31.941272 17.665793 11.497208 -37.810486 0.530999
25 31.942028 18.934335 11.33112 -1.715729 0.51851
26 32.596947 21.217099 8.802225 3.361739 0.533615
27 32.956527 20.75877 10.808187 -11.889404 0.532302
28 32.956527 22.121703 10.841904 -20.419974 0.531475
29 32.956527 20.807474 11.262186 -7.08664 0.537132
30 37.770376 22.163235 10.849153 -8.397531 0.530984
31 37.770376 21.290151 12.479832 -20.419974 0.53613
32 37.770376 21.400308 11.687534 -20.419974 0.522322
33 36.085964 20.28585 11.7176 -19.669935 0.540666
34 36.085964 19.891232 10.620481 -20.419974 0.550664
35 32.614418 20.937684 9.940959 -18.388951 0.543664
36 32.614418 21.041205 12.142297 -20.419974 0.523494
37 32.614418 22.820317 10.168145 -20.419974 0.523643
38 32.614418 21.850029 11.223604 -37.810486 0.531531
39 35.3342 23.018707 10.171954 -6.637286 0.543399
40 37.966898 24.194218 11.951497 -3.434367 0.544574
41 37.966898 23.867619 12.480771 -27.810486 0.534982
42 38.033431 25.354707 10.880487 -8.397531 0.537947
43 38.033431 24.188103 12.866083 -19.669935 0.546234
44 38.033431 27.909067 9.25857 -11.722284 0.528317
45 46.875591 26.462996 11.958575 -1.435097 0.55013
46 46.875591 26.348436 12.692492 -19.763107 0.559999
47 44.913653 26.616782 11.703416 -9.669935 0.558907
48 45.022264 29.283346 12.497109 -9.669935 0.548799
49 45.022264 29.163923 13.104751 1.946861 0.564167
50 51.121479 30.484596 11.60976 -5.547837 0.559356
51 51.121479 29.084455 15.067786 -37.810486 0.547331
52 55.595161 29.982298 14.079131 8.61674 0.540039
53 55.595161 30.836046 16.496504 -21.835034 0.512813
54 55.595161 32.670765 15.491582 -37.810486 0.503654
55 55.486853 32.257765 16.377173 -0.026771 0.498833
56 51.370528 30.682758 15.429335 2.78184 0.469599
57 55.459507 32.559877 15.959762 7.82781 0.465222
58 55.459507 32.121684 16.70786 -37.810486 0.488906
59 55.459507 29.310051 16.207978 -15.857864 0.499983
60 55.459507 30.609324 16.594778 -37.810486 0.493101
61 55.459507 29.975 17.454412 -37.810486 0.49629
62 55.357658 29.202447 18.873786 -37.810486 0.510771
63 55.484549 30.84028 17.989675 4.030935 0.500594
64 55.484549 28.032362 17.121547 -37.810486 0.505516
65 55.59047 27.939382 18.629414 7.565374 0.484449
66 55.59047 31.650249 18.62909 7.565374 0.466104
67 55.59047 31.603518 19.836233 -37.810486 0.453037
68 55.61061 33.049167 18.110395 8.142371 0.456376
69 55.61061 34.023246 18.502492 8.985951 0.456429
70 55.484549 31.079768 19.18475 -37.810486 0.477266
71 58.78996 28.628632 18.413171 -11.835034 0.48449
72 60.782016 31.63424 21.405177 -1.330584 0.47563
73 60.782016 30.886806 19.289323 -11.835034 0.472096
74 60.782016 29.481109 19.288421 -37.810486 0.477813
75 58.78996 27.926968 17.62476 1.28412 0.463053
76 55.645225 27.161096 15.733618 -37.810486 0.473715
77 55.42211 25.655155 15.817046 -37.810486 0.461421
78 55.42211 27.044962 15.351401 -19.763107 0.438285
79 57.718948 29.389074 14.784337 -4.995288 0.38109
80 57.718948 31.65476 17.323784 -37.810486 0.358969
81 57.718948 32.872674 17.737509 0.455692 0.355721
82 60.788313 33.230028 18.267315 -2.159011 0.36001
83 60.788313 35.397974 17.538194 5.903356 0.322377
84 60.788313 33.990266 18.633595 -19.763107 0.356485
85 57.548313 36.290826 18.026553 -1.713389 0.297198
86 57.548313 35.302379 16.931843 -19.763107 0.346261
87 57.548313 35.587513 17.247065 5.432667 0.328572
88 55.449784 33.170584 19.232621 -6.888886 0.359341
89 55.449784 33.791003 18.669912 -1.713389 0.386019
90 55.535083 32.086103 17.816658 7.122542 0.395709
91 60.499078 33.909339 18.662612 -7.238576 0.39219
92 60.499078 33.121457 18.30254 -0.470748 0.393474
93 60.499078 34.54505 18.942815 -1.713389 0.388957
94 55.535083 32.532314 18.497641 -37.810486 0.403426
95 54.014992 32.757384 18.106609 -37.810486 0.402181
96 58.757924 34.430622 18.165989 -11.835034 0.389829
97 58.757924 31.000858 19.388291 -37.810486 0.404245
98 58.757924 30.96516 18.846761 6.987599 0.403184
99 55.997901 31.036751 19.830317 -18.397531 0.405398

gen best mean std gain diversity
0 34.156312 -4.22568 5.789038 -30.861142 0.575219
0 34.156312 5.740994 10.690564 -21.715729 0.563426
1 37.044823 8.274736 11.076195 -33.905243 0.556375
2 40.726438 15.471196 11.966283 -38.619288 0.52058
3 45.578525 16.682593 14.347528 -9.669935 0.510601
4 45.578525 21.731203 15.226745 -43.670068 0.461879
5 47.499565 24.462742 15.485457 -31.952621 0.451773
6 52.111599 22.324391 16.962879 -3.670068 0.500566
7 52.111599 22.311912 16.39022 -20.419974 0.516662
8 45.578525 22.368286 16.101948 -14.658916 0.505065
9 52.01352 23.193274 16.47672 -4.222353 0.500002
10 52.01352 26.387842 16.182239 -37.238576 0.474916
11 52.01352 28.633431 16.977833 -8.611299 0.401292
12 56.789602 27.661853 17.692123 -30.0 0.398185
13 56.789602 29.106765 17.533464 -20.861142 0.384332
14 56.827774 27.304686 20.342973 -30.0 0.402519
15 56.827774 26.147313 21.738421 -100.0 0.407965
16 56.827774 28.884822 21.231674 -100.0 0.407123
17 56.827774 23.762705 23.922435 -41.952621 0.410461
18 56.827774 27.40009 20.791462 -100.0 0.428591
19 56.827774 26.7966 22.266869 -30.0 0.429842
20 56.827774 23.356901 23.391022 -31.835034 0.44003
21 56.827774 28.669907 21.539229 -8.296006 0.42267
22 56.827774 26.291982 21.137127 -41.952621 0.435681
23 56.798216 27.416475 21.355204 -30.0 0.420946
