

gen best mean std sigma_prime mutation_r crossover_r
0 39.286267 -0.604256 10.220313 0.05 0.1 0.5
0 56.981407 29.375719 10.847739 0.049202 0.1 0.5
1 39.219256 21.365495 10.045255 0.07942 0.12 0.53
2 39.150675 20.340317 7.533626 0.111808 0.14 0.56
3 39.150675 21.848096 6.443123 0.13976 0.16 0.59
4 39.150675 23.934795 8.90187 0.155211 0.18 0.62
5 30.443172 22.103812 6.788764 0.201371 0.2 0.65
6 39.127882 19.953512 7.203047 0.229074 0.22 0.68
7 39.127882 26.598398 10.505662 0.246982 0.24 0.71
8 30.553263 22.26236 5.85671 0.287139 0.26 0.74
9 39.194865 22.850512 8.142107 0.336557 0.28 0.77
10 47.319145 26.162775 9.803224 0.394389 0.31 0.82
11 47.319145 24.691416 12.268079 0.427547 0.34 0.87
12 30.706695 19.291626 8.381349 0.492393 0.37 0.92
13 47.01251 24.302742 9.355694 0.606418 0.4 0.97
14 48.091917 27.315092 13.022038 0.665228 0.43 1.02
15 48.091917 25.158908 13.360353 0.72245 0.46 1.07
16 39.116678 23.241526 8.890228 0.70697 0.49 1.12
17 47.509276 24.708844 12.015582 0.799919 0.52 1.17
18 47.509276 27.184921 13.034655 0.852708 0.55 1.22
19 46.959464 27.843783 11.768424 0.879097 0.58 1.27
20 39.383229 24.754179 10.54425 0.05 0.1 0.5
21 47.619877 25.514969 9.705729 0.081516 0.12 0.53
22 65.364053 34.350005 14.929739 0.081786 0.1 0.5
23 47.915501 23.430418 9.475047 0.11575 0.12 0.53
24 56.109391 30.760004 14.733897 0.1414 0.14 0.56
25 56.433328 25.593801 10.640985 0.180574 0.16 0.59
26 39.379599 23.071912 6.411747 0.200006 0.18 0.62
27 74.727123 26.29995 8.757793 0.196647 0.1 0.5
28 84.00307 34.950625 19.897428 0.202488 0.1 0.5
29 65.750025 30.686071 9.019465 0.231456 0.12 0.53
30 83.328064 36.633443 15.222913 0.276372 0.14 0.56
31 88.16065 28.654578 14.624066 0.270236 0.1 0.5
32 88.16065 51.355844 26.837235 0.322061 0.12 0.53
33 84.52186 31.263437 12.841257 0.334373 0.14 0.56
34 87.934966 49.189295 22.338056 0.368874 0.16 0.59
35 87.934966 41.338999 18.504672 0.442713 0.18 0.62
36 87.934966 46.676894 20.27407 0.504279 0.2 0.65
37 87.934966 38.315836 22.850322 0.532957 0.22 0.68
38 88.050247 48.619423 25.37849 0.579034 0.24 0.71
39 88.050247 53.870605 24.827062 0.540401 0.26 0.74
40 88.666211 51.956226 26.494038 0.610962 0.1 0.5
41 88.666211 55.244622 24.132262 0.638916 0.12 0.53
42 86.438385 62.466091 24.248459 0.705079 0.14 0.56
43 87.952657 60.292119 23.695909 0.701846 0.16 0.59
44 87.952657 68.410939 26.321704 0.728185 0.18 0.62
45 86.773171 62.86025 23.593796 0.81504 0.2 0.65
46 85.14149 59.456245 27.061408 0.781854 0.22 0.68
47 84.780746 54.885288 26.239048 0.879624 0.24 0.71
48 84.205269 58.475431 28.17709 0.933952 0.26 0.74
49 84.205269 51.574435 26.767949 0.93805 0.28 0.77
50 65.415209 50.141377 19.940755 1.002293 0.31 0.82
51 83.287872 42.337931 23.71558 1.010507 0.34 0.87
52 89.228899 57.329486 27.423045 1.06266 0.1 0.5
53 89.228899 48.203915 28.249681 1.086838 0.12 0.53
54 83.468909 48.619524 22.821483 1.176034 0.14 0.56
55 83.491995 49.449154 24.796991 1.173352 0.16 0.59
56 88.328909 57.052525 24.923339 1.20846 0.18 0.62
57 88.328909 61.58665 26.929861 1.170713 0.2 0.65
58 85.148909 56.858071 25.252019 1.193409 0.22 0.68
59 86.429249 53.225821 28.222545 1.284835 0.24 0.71
60 86.429249 66.127971 29.102169 1.288551 0.26 0.74
61 73.938666 42.34719 22.351875 1.487483 0.28 0.77
62 74.354909 47.092553 20.369626 1.380691 0.31 0.82
63 74.354909 41.418667 22.001658 1.470592 0.34 0.87
64 86.67681 38.848247 17.448571 1.517786 0.37 0.92
65 86.67681 41.76222 26.101472 1.603315 0.4 0.97
66 48.057201 33.25019 15.052788 1.782315 0.43 1.02
67 85.998717 29.104708 14.243808 1.743587 0.46 1.07
68 85.998717 45.875736 25.741503 1.91025 0.49 1.12
69 74.86678 37.50073 22.613921 1.820876 0.52 1.17
70 74.26422 34.413766 18.711184 1.770855 0.55 1.22
71 84.004053 34.333652 21.789127 1.724262 0.58 1.27
72 84.004053 36.718904 25.978629 0.05 0.1 0.5
73 85.445438 43.490013 23.04367 0.086751 0.12 0.53
74 84.004053 39.775228 23.319185 0.121174 0.14 0.56
75 85.842502 45.627034 20.787318 0.146183 0.16 0.59
76 85.03621 39.767954 15.837421 0.174087 0.18 0.62
77 84.438065 37.926105 15.028953 0.196217 0.2 0.65
78 84.523306 40.965901 20.702145 0.221639 0.22 0.68
79 84.523306 42.640501 14.99397 0.252407 0.24 0.71
80 84.523306 42.321809 19.644668 0.297433 0.26 0.74
81 86.510591 52.026456 20.475653 0.352152 0.28 0.77
82 86.510591 48.366001 24.321253 0.432729 0.31 0.82
83 86.089391 52.696831 20.068188 0.475771 0.34 0.87
84 87.744294 61.462889 25.804647 0.527511 0.37 0.92
85 87.744294 61.243329 28.832595 0.60519 0.4 0.97
86 86.92186 61.362374 27.789503 0.642246 0.43 1.02
87 87.127872 58.773872 25.079349 0.707401 0.46 1.07
88 87.127872 64.232042 26.252894 0.75625 0.49 1.12
