

gen best mean std gain diversity
0 21.90625 -3.040815 6.308691 0.0 0.577324
0 57.216175 16.97772 10.490313 0.0 0.559856
1 57.216175 28.661424 17.355573 0.0 0.540497
2 57.244258 26.453058 16.568802 0.0 0.540315
3 84.303942 32.939876 15.629264 1.0 0.498251
4 84.303942 39.41083 19.793103 0.0 0.492159
5 85.182547 47.007101 17.00964 7.0 0.361963
6 85.242547 52.04447 19.271031 7.6 0.321533
7 85.242547 66.822247 19.580122 0.0 0.182743
8 85.482547 71.492084 20.260564 10.0 0.218765
9 85.482547 72.517852 18.565879 0.0 0.102163
10 85.422547 75.883415 17.734019 4.6 0.057793
11 85.422547 76.764789 17.386032 9.4 0.054361
12 85.422547 78.275504 17.314076 7.0 0.058394
13 85.422547 75.757728 18.075384 9.4 0.06226
14 85.422547 77.054244 19.811394 7.6 0.064934
15 85.422547 76.438557 17.888755 7.6 0.069767
16 85.467729 77.927354 16.91993 9.4 0.069865
17 85.467729 78.195361 17.992926 9.4 0.072154
18 85.467729 76.778585 19.322038 7.0 0.073429
19 85.467729 76.582164 19.545261 5.8 0.077051
20 85.422547 67.90351 19.318774 9.4 0.08233
21 85.422547 71.032752 19.507081 9.4 0.085026
22 85.422547 73.336442 18.175678 9.4 0.086357
23 85.422547 72.647313 19.704823 0.0 0.091476
24 85.422547 76.157693 18.057412 0.0 0.088232
25 85.482547 75.336346 21.462689 10.0 0.08792
26 85.482547 75.719422 21.648026 0.0 0.092294
27 85.482547 74.791946 21.335382 10.0 0.092122
28 85.482547 76.250878 17.368478 0.0 0.092257
29 85.482547 75.240067 22.473547 0.0 0.092018
30 85.482547 74.379617 20.637208 0.0 0.091568
31 85.467729 72.002116 21.461339 4.6 0.095039
32 85.467729 73.1107 23.03224 0.0 0.099135
33 85.482547 72.850009 20.660756 10.0 0.093378
34 85.422547 75.661152 20.316661 7.0 0.094494
35 85.467729 73.974259 17.837802 9.4 0.092929
36 85.467729 71.405215 20.021841 0.0 0.09774
37 85.482547 71.400653 18.456445 10.0 0.097101
38 85.482547 75.725433 22.457163 0.0 0.096034
39 85.722547 74.698364 20.419053 12.4 0.094031
40 85.482547 73.968533 21.875386 10.0 0.092978
41 85.482547 74.246723 20.949195 5.8 0.088622
42 85.602547 77.9832 18.140726 11.2 0.066498
43 85.602547 80.550814 13.803945 7.0 0.078839
44 85.422547 79.034524 17.40563 9.4 0.072175
45 85.422547 77.885473 18.582252 5.8 0.073086
46 85.422547 79.340365 15.767428 0.0 0.076312
47 85.422547 78.87719 18.2425 0.0 0.080369
48 85.422547 78.055982 18.985073 9.4 0.081535
49 85.422547 76.558845 21.036389 9.4 0.083148
50 85.422547 76.198926 20.870084 0.0 0.083704
51 85.422547 76.988186 19.888188 0.0 0.086183
52 85.422547 77.946772 19.055546 9.4 0.088802
53 85.422547 78.238201 18.194835 7.0 0.090601
54 85.422547 77.185933 19.897382 9.4 0.090968
55 85.422547 74.82613 20.977821 0.0 0.092938
56 85.482547 78.368101 16.532082 10.0 0.094595
57 85.422547 78.065198 18.490443 9.4 0.097088
58 85.467729 78.068035 16.998914 9.4 0.097807
59 85.467729 77.971224 18.625494 7.0 0.096926
60 85.467729 75.213848 19.971493 7.0 0.09508
61 85.422547 75.746993 17.523186 0.0 0.097281
62 85.707729 76.114129 19.639427 11.8 0.100307
63 85.707729 77.054691 19.065293 0.0 0.099036
64 85.602547 77.319886 19.129445 9.4 0.101184
65 85.482547 74.897116 19.191084 10.0 0.100854
66 85.482547 76.351635 20.262625 10.0 0.101318
67 85.467729 78.036007 16.43577 9.4 0.103859
68 85.467729 74.206762 22.743259 9.4 0.10341
69 85.707729 76.249199 18.514092 11.8 0.105409
70 85.602547 77.845056 17.370284 7.0 0.104697
71 85.602547 76.823843 18.665911 11.2 0.108289
72 85.602547 78.378564 15.740614 11.2 0.109307
73 85.602547 73.854472 17.869345 11.2 0.109098
74 85.602547 75.80305 20.813029 11.2 0.109078
75 85.602547 76.128079 19.105934 11.2 0.112981
76 85.482547 76.710629 20.525224 9.4 0.113822
77 85.482547 73.920665 20.30201 0.0 0.111605
78 85.422547 76.033856 19.472413 0.0 0.110651
79 85.482547 73.911205 18.359117 10.0 0.112275
80 85.707729 75.436397 19.785401 11.8 0.111651
81 85.602547 74.070942 18.320538 11.2 0.112215
82 85.602547 75.286482 17.091132 9.4 0.110553
83 85.482547 75.093468 18.834595 0.0 0.10502
84 85.482547 77.277638 18.235474 7.0 0.109565
85 85.482547 75.89194 19.90445 10.0 0.108857
86 85.482547 74.731018 19.491336 4.6 0.109782
87 85.602547 75.06947 19.052192 11.2 0.112077
88 85.602547 73.605422 17.6615 11.2 0.110782
89 85.602547 77.114709 17.156714 11.2 0.109258
90 85.422547 76.528747 17.482752 9.4 0.113116
91 85.422547 74.528807 22.36168 0.0 0.117356
92 85.467729 75.285451 21.658842 9.4 0.115019
93 85.482547 78.288993 17.158953 10.0 0.113091
94 85.422547 76.578926 20.205032 9.4 0.112212
95 85.827729 75.832411 20.261607 13.0 0.11469
96 85.827729 78.288252 17.957908 9.4 0.111418
97 85.827729 77.091831 18.230638 13.0 0.110185
98 85.587729 75.974336 19.31102 0.0 0.11188
99 85.587729 73.30315 19.669043 10.6 0.118176
