

gen best mean std gain diversity
0 30.721885 -3.249264 6.331186 -20.0 0.577346
0 57.405289 17.914658 11.399341 0.0 0.555559
1 65.873131 28.089709 16.063568 0.0 0.529995
2 74.358818 34.595479 20.95412 -10.0 0.486332
3 74.358818 39.525406 23.448201 -20.0 0.471321
4 74.358818 33.614646 21.555092 0.0 0.489048
5 74.358818 41.47185 24.17902 -20.0 0.482288
6 74.358818 38.448391 25.026721 -10.0 0.467402
7 75.133532 34.268709 21.752677 0.0 0.470988
8 75.133532 43.013921 23.426526 0.0 0.462975
9 84.482547 45.685265 25.909035 0.0 0.442327
10 84.482547 53.312516 26.287599 0.0 0.405009
11 84.482547 57.229007 28.009497 -10.0 0.37761
12 84.373424 57.962466 26.249936 5.8 0.353043
13 84.373424 59.201593 24.877806 0.0 0.342169
14 84.373424 59.599008 24.856332 0.0 0.339953
15 88.522332 51.915659 24.969231 47.8 0.326946
16 88.522332 65.912515 23.703615 8.8 0.250049
17 88.522332 69.072013 25.715278 -10.0 0.252391
18 88.522332 65.889558 23.428214 0.0 0.277018
19 88.81004 66.241713 25.988602 46.0 0.306307
20 88.81004 72.286467 25.88418 -10.0 0.292625
21 88.81004 71.944617 26.638859 47.8 0.291256
22 88.81004 77.183826 22.566404 0.0 0.256769
23 88.81004 74.594204 24.965964 46.0 0.263555
24 88.81004 73.270184 27.940429 47.8 0.275218
25 88.81004 77.138468 22.856781 -10.0 0.260098
26 88.81004 76.123824 25.152961 -10.0 0.273736
27 88.81004 75.434744 25.226917 46.0 0.295814
28 88.81004 75.537684 24.784733 -10.0 0.296792
29 88.81004 74.191546 25.944224 46.0 0.306292
30 88.81004 72.846107 28.743837 47.8 0.300316
31 88.81004 76.84475 25.41696 -10.0 0.263634
32 88.81004 74.949583 25.041094 -10.0 0.298311
33 88.81004 73.52638 29.249155 46.0 0.278334
34 89.053573 75.500283 28.110772 47.2 0.271525
35 89.053573 76.066736 27.729374 46.0 0.251921
36 89.053573 71.673973 31.632852 47.2 0.296914
37 89.053573 76.226239 27.151283 -20.0 0.220743
38 90.271054 75.355536 28.447591 61.0 0.17452
39 90.271054 75.28958 29.118537 47.2 0.147433
40 90.271054 75.156433 29.173426 61.0 0.15652
41 90.271054 75.588561 28.298748 47.2 0.152541
42 90.271054 77.45438 25.567548 46.0 0.150033
43 90.271054 78.916555 23.580133 61.0 0.117943
44 90.271054 79.447954 23.544895 46.0 0.100525
45 90.271054 76.154055 28.828647 46.0 0.10461
46 90.271054 76.312999 27.865295 46.0 0.13377
47 90.271054 77.82072 25.196987 47.8 0.125121
48 90.271054 78.102728 25.526356 -20.0 0.132553
49 90.271054 76.543685 26.922996 46.0 0.145295
50 90.271054 76.81124 25.78034 -20.0 0.132817
51 90.271054 78.412412 24.6252 61.0 0.120429
52 90.271054 76.984233 27.030226 47.8 0.114051
53 90.271054 78.113653 24.575196 46.0 0.135967
54 90.271054 78.211246 24.088768 46.0 0.126059
55 90.271054 77.722174 26.051466 61.0 0.10038
56 90.271054 78.906549 25.363822 47.8 0.094702
57 90.271054 78.650544 26.594786 61.0 0.096495
58 90.271054 77.057284 27.611399 61.0 0.095373
59 90.271054 78.896207 25.418937 46.0 0.096924
60 90.271054 77.2906 27.902416 46.0 0.095249
61 90.271054 77.693759 25.763141 -20.0 0.112197
62 90.271054 78.592222 24.822991 47.8 0.130476
63 90.271054 78.623027 25.900226 61.0 0.120169
64 90.271054 78.988129 25.614379 61.0 0.089812
65 90.271054 80.559594 24.86972 61.0 0.078879
66 90.271054 77.933238 27.504266 61.0 0.062284
67 90.271054 79.11673 24.642567 61.0 0.069967
68 90.271054 80.727246 22.092529 61.0 0.070642
69 90.271054 79.405945 24.70687 47.8 0.07277
70 90.271054 79.547462 24.78234 47.8 0.104985
71 90.271054 77.801733 27.851447 -20.0 0.102641
72 90.271054 78.712617 26.743255 61.0 0.107013
