

gen best mean std sigma_prime mutation_r crossover_r
0 30.634024 -3.466596 4.923236 0.05 0.05 0.05
0 48.846708 12.152208 12.16728 0.044877 0.05 0.05
1 30.610928 7.306828 6.714615 0.04049 0.05 0.05
2 66.344008 19.735957 14.624401 0.040258 0.05 0.05
3 85.693561 17.782918 12.073049 0.038187 0.05 0.05
4 85.693561 20.817447 24.239311 0.034205 0.05 0.05
5 85.693561 36.578149 30.242234 0.034641 0.05 0.05
6 66.188859 8.28188 12.334616 0.031794 0.05 0.05
7 66.200907 46.585032 21.332599 0.028557 0.05 0.05
8 57.5839 15.152887 10.73526 0.026402 0.05 0.05
9 57.588354 23.799431 17.536649 0.024782 0.05 0.05
10 57.588354 22.408683 16.929249 0.025911 0.05 0.05
11 57.588354 24.812558 18.454234 0.024898 0.05 0.05
12 48.490612 19.590167 6.755739 0.022292 0.05 0.05
13 21.90625 18.693744 7.296906 0.022107 0.05 0.05
14 21.918596 13.475281 7.659407 0.02461 0.05 0.05
15 21.90625 10.685548 8.99863 0.023972 0.05 0.05
16 21.90625 17.53902 8.659274 0.025001 0.05 0.05
17 57.351026 20.715362 7.149722 0.025009 0.05 0.05
18 85.15704 22.174899 13.348124 0.025575 0.05 0.05
19 85.15704 50.415966 27.954668 0.027202 0.05 0.05

gen best mean std sigma_prime mutation_r crossover_r
0 66.351026 -2.7302 9.128665 0.05 0.05 0.05
0 86.207846 35.401534 22.813984 0.047425 0.05 0.05
1 74.729012 6.817424 11.319795 0.047701 0.05 0.05
2 74.729012 24.625992 16.643876 0.043236 0.05 0.05
3 74.729012 10.789516 15.532635 0.043983 0.05 0.05
4 74.729012 35.02182 22.389198 0.042938 0.05 0.05
5 74.729012 22.092204 22.25403 0.045876 0.05 0.05
6 74.729012 40.743689 28.581992 0.046782 0.05 0.05
7 65.773463 21.120204 16.518063 0.04557 0.05 0.05
8 65.773463 32.95325 19.766552 0.047517 0.05 0.05
9 65.773463 11.752682 9.442995 0.046164 0.05 0.05
10 65.773463 24.449151 19.117471 0.046417 0.05 0.05
11 65.773463 13.980361 13.479664 0.044015 0.05 0.05
12 65.773463 21.821318 17.987637 0.038748 0.05 0.05
13 65.773463 22.381637 15.205873 0.033625 0.05 0.05
14 65.773463 28.501484 16.647795 0.033072 0.05 0.05
15 39.122264 19.65256 8.441612 0.034708 0.05 0.05
16 57.168118 19.950481 10.114273 0.040178 0.05 0.05
17 84.402464 24.869999 13.243208 0.036684 0.05 0.05
18 84.822464 27.299936 20.556573 0.036695 0.05 0.05
19 84.822464 24.101518 13.999346 0.034448 0.05 0.05

gen best mean std sigma_prime mutation_r crossover_r
0 21.90625 -2.163311 6.890502 0.05 0.05 0.25
0 57.90625 18.973053 8.892185 0.050666 0.05 0.25
1 57.90625 15.945434 14.677068 0.050358 0.05 0.25
