

gen best mean std gain diversity
0 21.620103 -1.072236 8.815296 -50.0 0.575697
0 39.200907 19.275991 7.612287 -10.0 0.553096
1 39.225448 22.276563 10.002951 -10.0 0.551419
2 30.716796 25.033849 7.498475 0.0 0.534065
3 30.667281 20.452538 4.660062 0.0 0.518344
4 30.667281 20.811091 4.44926 0.0 0.510003
5 30.716796 22.715986 6.003072 0.0 0.500595
6 39.416504 21.532259 4.780732 0.0 0.493873
7 39.416504 25.673258 6.7292 0.0 0.480052
8 39.244258 22.385882 5.214408 0.0 0.462418
9 39.289573 25.951876 5.665155 0.0 0.455988
10 30.68188 25.241872 6.243463 0.0 0.454552
11 30.716796 24.15226 5.680747 0.0 0.436081
12 38.799491 27.701922 6.829593 -50.0 0.419015
13 56.742332 28.404546 7.081619 -30.0 0.425841
14 56.998585 32.223704 12.216149 0.0 0.41312
15 75.812614 29.309823 8.704924 0.0 0.402
16 74.719604 33.406422 12.028529 0.0 0.398048
17 84.444975 31.5584 8.387153 8.2 0.379997
18 84.864975 40.751064 21.556484 12.4 0.369908
19 56.996113 32.470198 10.48369 0.0 0.368484
20 48.176954 33.299981 8.10411 0.0 0.362188
21 57.023649 31.284707 8.270573 0.0 0.364364
22 74.738508 35.14321 12.72869 0.0 0.349273
23 84.564975 37.416632 17.243632 9.4 0.342542
24 57.023649 33.4819 10.239842 0.0 0.341419
25 85.524975 32.990909 11.657942 19.0 0.345548
26 65.767552 34.763469 12.016531 0.0 0.336187
27 85.68307 50.473372 16.568107 20.8 0.334402
28 84.984975 36.734704 16.587591 -20.0 0.333633
29 65.838793 35.690277 13.815819 0.0 0.332224
30 56.877507 32.601265 7.506704 0.0 0.334
31 65.736602 36.092324 10.699317 0.0 0.327021
32 48.057201 33.091743 8.952072 -20.0 0.331657
33 56.971721 34.158745 8.636146 0.0 0.3378
34 56.998585 32.374642 8.707986 0.0 0.330698
35 65.857963 33.184457 9.698116 0.0 0.331683
36 65.875317 33.900007 8.973764 0.0 0.326402
37 65.875317 39.820652 13.481316 0.0 0.32042
38 65.860115 35.913109 11.071271 0.0 0.315508
39 65.849397 34.546387 10.40213 0.0 0.32106
40 65.849397 33.904809 11.778977 0.0 0.311728
41 39.231679 29.004711 4.594305 0.0 0.312269
42 56.976552 30.340149 6.260215 0.0 0.315176
43 56.976552 33.329253 10.397629 0.0 0.31125
44 65.860115 34.353972 9.271022 0.0 0.298231
45 65.860115 37.040696 14.105043 -20.0 0.306157
46 39.351026 29.663918 5.003688 0.0 0.315341
47 57.003548 30.572123 5.444826 0.0 0.3108
48 57.003548 33.054185 8.550071 0.0 0.313045
49 65.817915 34.149217 7.059078 0.0 0.311761
50 48.197882 31.599433 6.951792 0.0 0.30567
51 74.684642 36.776215 9.898029 0.0 0.302975
52 74.684642 42.393074 14.731546 0.0 0.295216
53 65.813791 41.266032 13.738405 0.0 0.290212
54 65.736602 37.392876 10.618734 0.0 0.283677
55 65.736602 38.552093 11.897578 0.0 0.284889
56 57.02619 35.239776 9.477226 0.0 0.280225
57 65.751957 35.225451 9.649904 0.0 0.276255
58 65.751957 41.904614 14.685757 0.0 0.274004
59 74.701051 34.392843 10.500098 0.0 0.2779
60 74.706581 47.176562 15.906002 0.0 0.271908
61 74.706581 42.675627 16.729655 0.0 0.271859
62 83.664975 47.413378 16.955922 0.4 0.276328
63 83.664975 41.225789 17.165232 0.0 0.269694
64 74.704734 33.093711 8.96486 0.0 0.27329
65 57.028738 37.715171 12.105926 0.0 0.268297
66 65.843021 37.776951 7.499907 0.0 0.263654
67 65.843021 38.528837 12.467536 -40.0 0.264231
68 74.734699 40.49484 13.656096 0.0 0.269691
69 65.857963 45.148761 14.886358 0.0 0.26831
70 65.838793 36.037364 10.33505 0.0 0.265576
71 65.838793 42.327731 14.900211 0.0 0.262092
72 65.822056 37.183026 11.094757 0.0 0.264106
73 65.860115 42.266234 12.826517 0.0 0.266781
74 74.742332 51.671561 15.904117 0.0 0.260925
75 74.742332 49.347277 15.508111 0.0 0.265316
76 74.740419 47.686001 14.647028 0.0 0.263229
77 74.740419 46.784097 16.062873 0.0 0.267341
78 65.838793 38.466017 11.742941 0.0 0.270523
79 65.809685 42.436507 13.364009 0.0 0.263037
80 57.028738 37.273628 10.98066 0.0 0.268601
81 74.682835 39.974989 12.535715 0.0 0.269857
82 74.682835 39.297047 10.748146 0.0 0.265876
83 74.682835 43.107939 15.166894 0.0 0.268185
84 65.860115 33.33133 7.757272 0.0 0.267211
85 74.732799 42.009451 12.335312 0.0 0.268523
