

gen best mean std sigma_prime mutation_r crossover_r
0 91.790514 11.877219 32.044168 0.05 0.1 0.5
0 92.131096 84.023416 22.816442 0.051165 0.1 0.5
1 91.894668 85.525015 17.23516 0.047342 0.1 0.5
2 92.690612 86.372179 18.338055 0.050274 0.1 0.5
3 92.690612 87.093102 15.650468 0.051351 0.1 0.5
4 93.336168 88.215865 13.471507 0.05805 0.1 0.5
5 93.336168 90.764806 3.604264 0.059439 0.1 0.5
6 92.33194 89.992135 10.428793 0.062464 0.1 0.5
7 91.572379 90.46858 5.043426 0.061602 0.1 0.5
8 91.890612 89.148358 12.190828 0.059448 0.1 0.5
9 92.64704 91.032865 2.668923 0.054959 0.1 0.5
10 92.73194 91.286766 7.250039 0.055604 0.1 0.5
11 92.64704 90.853212 7.006916 0.049859 0.1 0.5
12 92.690612 91.104097 5.437418 0.054401 0.1 0.5
13 92.13194 88.93602 11.871332 0.056196 0.1 0.5
14 91.543754 88.785058 10.891599 0.05131 0.1 0.5
15 91.490612 89.339916 10.442417 0.050116 0.1 0.5
16 92.690612 89.751597 7.360087 0.048192 0.1 0.5
17 92.835214 90.079264 8.171206 0.048798 0.1 0.5
18 92.690612 91.5008 2.687822 0.046856 0.1 0.5
19 92.690612 89.57087 8.631045 0.049816 0.1 0.5
