

gen best mean std gain diversity
0 74.783394 -2.143773 11.872794 0.0 0.574948
0 74.783394 34.397697 25.837888 0.0 0.552661
1 74.751957 30.246258 24.32378 0.0 0.543572
2 87.666602 48.708783 22.062823 38.0 0.523195
3 91.023394 57.525269 23.863832 72.4 0.526687
4 86.993424 58.182671 17.282437 32.0 0.492972
5 87.783246 62.532627 18.962434 34.6 0.483684
6 87.783246 60.703915 19.537047 0.0 0.476697
7 87.211736 57.088084 13.17225 33.4 0.465841
8 87.211736 59.200037 16.746851 0.0 0.454774
9 74.879703 58.479379 11.690733 0.0 0.455315
10 85.99141 62.939645 14.329053 22.0 0.441879
11 86.79141 63.943149 14.271469 30.0 0.435478
12 87.193424 60.646725 13.451889 33.4 0.437649
13 88.638793 65.153134 17.919703 48.0 0.431018
14 88.638793 73.087972 22.133078 0.0 0.411098
15 87.733892 63.920747 20.793414 14.0 0.413609
16 90.144435 69.572863 18.33007 62.8 0.397895
17 88.411736 68.256914 18.16495 46.0 0.394447
18 87.567552 73.85153 15.44074 38.0 0.38763
19 87.567552 74.067656 24.167768 0.0 0.372236
20 91.223649 76.151941 18.241788 72.0 0.369388
21 88.754995 80.414863 15.816776 48.0 0.367457
22 88.754995 73.151397 21.386758 0.0 0.372911
23 87.663246 78.06356 16.376682 33.4 0.361976
24 87.663246 78.997476 20.043867 0.0 0.346657
25 87.011736 78.292129 19.253284 32.0 0.332877
26 90.699681 81.063043 13.435998 68.0 0.331027
27 90.699681 81.971354 17.197483 26.0 0.324035
28 87.663246 79.747834 16.832442 0.0 0.319345
29 88.143246 79.756593 18.195172 38.2 0.322854
30 87.59141 81.730034 14.373923 22.6 0.314508
31 87.663246 82.264791 15.459679 33.4 0.307594
32 87.663246 79.740646 18.484354 26.0 0.310865
33 87.663246 84.535137 9.125599 33.4 0.306748
34 87.663246 81.704246 16.553287 26.0 0.296809
35 87.663246 81.577346 15.413022 26.0 0.307173
36 87.663246 81.060891 18.972885 26.0 0.300843
37 87.611736 81.968003 16.910792 33.4 0.30158
38 87.193424 81.325286 17.298398 30.0 0.303648
39 87.193424 81.200757 17.375851 32.2 0.302258
40 87.593424 82.570694 13.844667 33.4 0.304581
41 87.59141 82.52645 14.159767 38.0 0.296088
42 87.611736 79.246286 20.564182 38.0 0.306342
43 87.567552 81.30174 15.44993 30.0 0.304467
44 86.953103 81.638646 13.430914 27.4 0.299118
45 86.813791 81.791922 17.003237 26.0 0.29568
46 89.021114 81.257623 16.188181 50.0 0.296527
47 87.59141 83.393863 13.228065 33.4 0.298994
48 87.59141 83.405117 13.047955 22.0 0.297328
49 88.621114 83.082425 14.456864 46.0 0.296225
50 88.593424 82.314838 15.82729 48.0 0.282835
51 87.593424 80.046581 17.819249 33.4 0.291708
52 87.663246 83.036961 16.212861 33.4 0.288889
53 87.663246 84.57294 8.245674 26.0 0.284693
54 87.567552 81.408916 17.029993 26.0 0.286625
55 87.59141 82.090594 16.034056 33.4 0.281211
56 86.811736 82.407022 14.386548 30.0 0.279167
57 87.567552 83.019579 14.389855 38.0 0.278493
58 86.811736 83.0103 14.321444 30.0 0.276484
59 86.993424 82.11282 13.541344 32.0 0.276051
60 86.993424 81.614726 17.364802 26.0 0.278439
61 86.993424 83.922763 11.298922 32.0 0.282698
62 87.793424 84.078364 9.711772 40.0 0.27016
63 87.793424 82.303593 13.937266 14.0 0.266879
64 87.793424 81.680677 17.483857 26.0 0.275896
65 87.611736 82.939444 15.170402 26.0 0.271808
66 87.663246 82.282777 14.983429 33.4 0.272887
67 87.663246 84.111546 11.120258 33.4 0.27313
68 87.663246 83.570461 13.640347 33.4 0.270852
69 87.663246 82.719076 13.781675 33.4 0.276307
70 87.663246 83.675238 13.012124 26.0 0.272288
71 87.663246 82.435667 17.003365 33.4 0.26142
72 87.611736 81.080114 19.392225 33.4 0.261775
73 87.611736 83.365025 12.811408 33.4 0.26583
74 87.611736 83.441826 13.519009 33.4 0.269056
75 87.59141 84.156868 13.03122 30.0 0.269894
76 87.593424 81.522779 17.411749 33.4 0.278389
77 87.663246 83.631796 14.066572 33.4 0.267113
78 88.215851 83.126181 13.702781 44.0 0.276165
79 88.215851 83.940319 15.073804 33.4 0.27325
80 87.663246 85.107048 10.292903 26.0 0.279586
81 87.611736 84.360816 12.396187 33.4 0.274762
82 87.663246 83.176902 15.047112 33.4 0.276575
83 87.663246 82.032628 17.820847 33.4 0.273864
84 89.393424 84.180624 11.851476 56.0 0.273563
85 89.393424 83.472748 14.863964 26.0 0.272731
86 87.663246 83.355849 12.837838 33.4 0.265302
87 87.663246 84.174754 12.408442 33.4 0.26544
88 87.663246 84.340847 10.33383 33.4 0.269937
89 87.663246 84.452521 10.422163 26.0 0.270517
90 87.663246 84.163511 9.936373 26.0 0.269584
91 87.611736 83.20733 15.611413 33.4 0.259489
92 88.543216 81.60746 18.448064 46.0 0.255624
93 88.543216 82.786975 14.64055 30.0 0.264266
94 87.663246 83.59638 11.820831 33.4 0.258596
95 87.663246 81.63583 17.662046 33.4 0.25572
96 87.663246 81.966955 15.182996 33.4 0.251362
97 87.663246 80.51084 19.308402 0.0 0.255028
98 87.663246 84.086084 9.654563 33.4 0.253669
99 87.663246 83.909742 12.112855 33.4 0.254095
