

gen best mean std gain diversity
0 -81.97 -188.396667 26.419615 -40.0 0.573811
0 -42.41 -112.995133 28.369048 -20.0 0.548153
1 -2.11 -82.3746 41.802549 0.0 0.291542
2 -1.96 -40.346467 47.825694 0.0 0.046879
3 -1.96 -38.530733 39.074455 -40.0 0.041737
4 -1.96 -48.096 46.936053 -40.0 0.03937
5 -1.97 -59.903733 47.790539 0.0 0.03709
6 -1.97 -48.585533 46.326093 -40.0 0.039375
7 -1.93 -71.435 33.326019 0.0 0.02955
8 -1.93 -67.3084 35.918597 -40.0 0.035635
9 -2.24 -74.190533 30.850209 -40.0 0.035842
10 -2.24 -66.103133 42.41293 -20.0 0.037188
11 -1.94 -65.62 33.726587 0.0 0.036386
12 -1.94 -45.658067 43.491292 -40.0 0.04355
13 -1.94 -71.402533 42.277934 -40.0 0.032696
14 -2.05 -63.7106 41.090095 -40.0 0.031871
15 -1.97 -72.771867 36.28946 0.0 0.028671
16 -1.97 -62.266867 42.999554 -40.0 0.03493
17 -1.95 -71.587467 42.440751 0.0 0.027443
18 -1.95 -61.863733 43.315371 -40.0 0.027529
19 -1.95 -60.6568 45.440213 -40.0 0.02698
20 -1.95 -62.645533 40.468882 -40.0 0.023887
21 -1.94 -68.096467 32.907693 0.0 0.022134
22 -1.94 -55.850733 38.63289 -40.0 0.025307
23 -1.94 -70.243733 37.985238 -40.0 0.020514
24 -1.94 -61.436333 36.706528 -40.0 0.024453
25 -1.98 -70.235933 31.994363 -40.0 0.022774
26 -2.17 -66.0062 31.89513 0.0 0.025016
27 -2.17 -59.383 36.572451 -10.0 0.027039
28 -2.04 -68.7746 37.456812 0.0 0.024861
29 -1.95 -63.850467 38.617935 0.0 0.024893
30 -1.95 -76.101133 35.488622 -40.0 0.022898
31 -1.99 -69.202333 36.730075 0.0 0.025623
32 -1.97 -55.485267 39.768298 0.0 0.029537
33 -1.97 -63.857067 35.905288 -40.0 0.024726
34 -1.97 -59.858067 40.873613 0.0 0.025783
35 -1.97 -58.528467 37.890438 -40.0 0.02488
36 -1.97 -63.593867 36.510587 0.0 0.023187
37 -1.94 -56.6854 37.419248 0.0 0.024721
38 -1.94 -74.107933 30.451468 -40.0 0.021013
39 -1.94 -55.801667 40.073848 -40.0 0.025341
40 -1.94 -60.052933 37.024105 0.0 0.025917
41 -1.94 -67.849867 35.254378 -40.0 0.022791
42 -1.95 -64.2666 38.819973 -40.0 0.025063
43 -1.95 -65.2182 36.344399 -40.0 0.022075
44 -1.95 -62.1632 35.473729 0.0 0.022514
45 -1.95 -55.224 39.4156 -40.0 0.02294
46 -1.95 -73.686267 32.817126 -40.0 0.020702
47 -2.07 -66.627267 37.486106 0.0 0.024607
48 -2.03 -55.076467 35.48335 0.0 0.02369
49 -2.03 -66.6272 38.745383 -10.0 0.023306
50 -2.05 -65.711667 37.114209 -40.0 0.023067
51 -2.05 -72.0866 40.637572 -40.0 0.022207
52 -2.05 -69.186333 31.443657 -40.0 0.021721
53 -1.97 -59.0714 41.839401 0.0 0.024705
54 -1.97 -65.8258 39.32445 -40.0 0.02078
55 -1.94 -67.0372 32.762046 0.0 0.019836
56 -1.94 -58.265133 35.583036 0.0 0.020257
57 -1.94 -68.367733 33.868118 -40.0 0.017896
58 -1.94 -55.0544 36.414855 -40.0 0.021519
59 -1.94 -62.289667 34.452538 -10.0 0.01998
60 -2.03 -66.1626 32.556871 0.0 0.018497
61 -1.95 -56.649933 37.460169 0.0 0.020159
62 -1.95 -45.064333 33.245951 -40.0 0.019549
63 -1.94 -55.0578 30.72765 0.0 0.019051
64 -1.94 -45.733667 44.353594 -40.0 0.021517
65 -1.91 -63.968867 40.447941 0.0 0.018759
66 -1.91 -42.533867 42.581587 0.0 0.022615
67 -1.91 -68.642733 38.520874 -10.0 0.017768
68 -2.01 -59.756467 37.908325 -40.0 0.020337
69 -1.98 -60.8218 37.63395 0.0 0.018862
70 -1.94 -72.112667 31.979018 0.0 0.021147
71 -1.81 -64.501333 39.962487 0.0 0.021939
72 -1.81 -74.865467 38.183206 -20.0 0.022648
73 -1.81 -48.107333 36.186209 -40.0 0.024501
74 -1.81 -61.803 43.727187 0.0 0.022627
75 -1.81 -67.2834 38.888079 -40.0 0.020421
76 -1.81 -56.764467 42.644268 -40.0 0.02335
77 -1.81 -64.232067 38.276742 -40.0 0.021827
78 -1.81 -71.6862 33.848959 -40.0 0.019857
79 -1.69 -66.243333 33.987868 0.0 0.020353
80 -1.69 -48.641133 37.462952 -40.0 0.024325
81 -1.69 -58.2538 38.272645 -40.0 0.01964
82 -1.69 -64.764733 37.976212 -40.0 0.019316
83 -1.69 -72.0934 32.635579 -40.0 0.020127
84 -1.69 -70.3774 34.091895 -40.0 0.020185
85 -1.97 -62.787733 40.722831 -10.0 0.019989
86 -1.97 -53.510267 37.632986 -10.0 0.019995
87 -1.97 -48.1842 39.744748 0.0 0.021082
88 -2.01 -45.026733 38.784119 0.0 0.019999
89 -2.01 -46.477933 40.346042 -40.0 0.02008
90 -2.01 -64.5384 36.199519 -40.0 0.017764
91 -1.97 -62.561267 33.358246 0.0 0.017729
92 -1.91 -44.9924 38.036414 0.0 0.020914
93 -1.87 -56.216133 43.978127 0.0 0.019391
94 -1.87 -61.440333 35.330975 -40.0 0.017289
95 -1.94 -60.493133 38.231574 -40.0 0.017602
96 -1.94 -71.700267 28.837379 -40.0 0.01618
97 -2.06 -54.420067 35.45037 -40.0 0.018697
98 -2.05 -69.719667 29.920954 0.0 0.013795
99 -1.95 -57.850333 33.423347 0.0 0.015592
