

gen best mean std sigma_prime mutation_r crossover_r
0 91.490612 10.530053 30.685066 0.05 0.1 0.5
0 91.972379 87.329912 8.86037 0.043187 0.1 0.5
1 92.418216 81.493779 24.81793 0.043125 0.1 0.5
2 93.132142 88.732645 14.610175 0.044411 0.1 0.5
3 92.250924 87.309065 14.089302 0.044697 0.1 0.5
4 93.337405 85.504893 18.794245 0.043909 0.1 0.5
5 93.409567 86.465071 17.698591 0.045719 0.1 0.5
6 93.409567 87.02759 13.185675 0.044057 0.1 0.5
7 92.690612 87.311549 15.021541 0.04265 0.1 0.5
8 92.93194 83.936992 18.34805 0.041109 0.1 0.5
9 92.04704 85.949222 16.813329 0.042768 0.1 0.5
10 93.132142 83.035179 19.121606 0.043148 0.1 0.5
11 93.37505 85.136263 16.044134 0.047997 0.1 0.5
12 92.64704 83.808668 16.841262 0.04733 0.1 0.5
13 92.53704 85.621347 17.048957 0.05117 0.1 0.5
14 92.690612 83.993176 19.041651 0.050686 0.1 0.5
15 93.132142 85.287139 16.432682 0.051267 0.1 0.5
16 92.93194 84.340614 16.732235 0.054516 0.1 0.5
17 93.409567 84.303613 17.814371 0.048433 0.1 0.5
18 93.409567 86.244458 16.355811 0.045727 0.1 0.5
19 92.33704 85.450029 14.576708 0.045814 0.1 0.5
