

gen best mean std sigma_prime mutation_r crossover_r
0 39.013548 -2.557536 8.300176 0.05 0.1 0.8
0 39.179917 19.096214 15.092246 0.048178 0.1 0.8
1 39.241098 25.713939 17.847151 0.054932 0.1 0.8
2 57.2699 23.045954 18.295851 0.05222 0.1 0.8
3 57.2699 23.045954 18.295851 0.081629 0.12 0.83
4 66.176954 34.238271 16.442918 0.100313 0.1 0.8
5 94.785064 38.872318 13.269427 0.105397 0.1 0.8
6 94.785064 38.872318 13.269427 0.136956 0.12 0.83
7 94.785064 38.872318 13.269427 0.162063 0.14 0.86
8 94.785064 38.872318 13.269427 0.184055 0.16 0.89
9 94.785064 38.872318 13.269427 0.215136 0.18 0.92
10 94.785064 38.872318 13.269427 0.249484 0.2 0.95
11 94.785064 38.872318 13.269427 0.29106 0.22 0.98
12 94.785064 38.872318 13.269427 0.335753 0.24 1.01
13 94.785064 38.872318 13.269427 0.3802 0.26 1.04
14 94.785064 38.872318 13.269427 0.399526 0.28 1.07
15 94.785064 38.872318 13.269427 0.489604 0.31 1.12
16 94.785064 38.872318 13.269427 0.563941 0.34 1.17
17 94.785064 38.872318 13.269427 0.608442 0.37 1.22
18 94.785064 38.872318 13.269427 0.663125 0.4 1.27
19 94.785064 38.872318 13.269427 0.714443 0.43 1.32
20 94.785064 38.872318 13.269427 0.786231 0.46 1.37
21 94.785064 38.872318 13.269427 0.916592 0.49 1.42
22 94.785064 38.872318 13.269427 0.893875 0.52 1.47
23 94.785064 38.872318 13.269427 0.989112 0.55 1.52
24 94.785064 38.872318 13.269427 1.057836 0.58 1.57
25 94.785064 38.872318 13.269427 0.05 0.1 0.8
26 94.785064 38.872318 13.269427 0.076002 0.12 0.83
27 94.785064 38.872318 13.269427 0.106688 0.14 0.86
28 94.785064 38.872318 13.269427 0.131575 0.16 0.89
29 94.785064 38.872318 13.269427 0.172065 0.18 0.92
30 94.785064 38.872318 13.269427 0.207602 0.2 0.95
31 94.785064 38.872318 13.269427 0.233601 0.22 0.98
32 94.785064 38.872318 13.269427 0.237434 0.24 1.01
33 94.785064 38.872318 13.269427 0.24346 0.26 1.04
34 94.785064 38.872318 13.269427 0.310496 0.28 1.07
35 94.785064 38.872318 13.269427 0.393687 0.31 1.12
36 94.785064 38.872318 13.269427 0.474588 0.34 1.17
37 94.785064 38.872318 13.269427 0.443157 0.37 1.22
38 94.785064 38.872318 13.269427 0.464272 0.4 1.27
39 94.785064 38.872318 13.269427 0.505063 0.43 1.32
40 94.785064 38.872318 13.269427 0.537073 0.46 1.37
41 94.785064 38.872318 13.269427 0.590261 0.49 1.42
42 94.785064 38.872318 13.269427 0.601558 0.52 1.47
43 94.785064 38.872318 13.269427 0.671315 0.55 1.52
44 94.785064 38.872318 13.269427 0.698287 0.58 1.57
45 94.785064 38.872318 13.269427 0.05 0.1 0.8
46 94.785064 38.872318 13.269427 0.082239 0.12 0.83
47 94.785064 38.872318 13.269427 0.110326 0.14 0.86
48 94.785064 38.872318 13.269427 0.138729 0.16 0.89
49 94.785064 38.872318 13.269427 0.176339 0.18 0.92
50 94.785064 38.872318 13.269427 0.190755 0.2 0.95
51 94.785064 38.872318 13.269427 0.209171 0.22 0.98
52 94.785064 38.872318 13.269427 0.234669 0.24 1.01
53 94.918596 43.446339 21.384424 0.216121 0.1 0.8
54 94.918596 43.446339 21.384424 0.23245 0.12 0.83
55 94.918596 43.446339 21.384424 0.299717 0.14 0.86
56 94.918596 43.446339 21.384424 0.33436 0.16 0.89
57 94.918596 43.446339 21.384424 0.333605 0.18 0.92
