

gen best mean std gain diversity
0 77.910624 1.102121 17.171237 5.11193 0.57408
0 87.214253 55.855807 23.464762 27.633467 0.562763
1 87.214253 62.628547 29.295362 7.22987 0.558196
2 87.523279 68.997429 20.357105 29.061373 0.537209
3 87.135812 68.81668 18.128038 28.351472 0.522465
4 88.865294 75.916751 19.830044 43.625049 0.464834
5 89.063603 80.803593 19.407981 45.679948 0.447718
6 88.757481 79.030179 14.040259 42.279501 0.458791
7 88.690583 80.588951 20.082211 41.919813 0.420158
8 88.118291 83.356266 14.69375 32.990526 0.412829
9 88.118291 83.856502 13.353169 28.380196 0.390909
10 88.796093 83.608677 14.295789 42.543665 0.391246
11 88.93577 83.941632 13.634697 43.184312 0.375824
12 88.824912 85.874517 10.047359 42.585365 0.379096
13 89.004098 86.70583 4.942263 44.587524 0.365628
14 89.004098 84.545622 13.167105 40.330637 0.36655
15 89.120759 85.558781 8.610796 46.451593 0.351602
16 89.149014 86.448103 9.534719 46.990928 0.337517
17 89.149014 86.853079 8.760028 38.942549 0.326919
18 89.292055 85.42289 12.336934 48.225198 0.33226
19 89.64458 87.305217 6.881254 48.901352 0.320982
20 89.64458 85.684293 12.206764 48.901352 0.315006
21 89.413198 86.162541 11.278313 48.790995 0.311703
22 89.489143 87.031842 8.877867 48.903337 0.311915
23 89.573946 86.050812 11.968994 48.602566 0.300371
24 89.573946 85.635807 13.123735 32.297929 0.292112
25 89.51845 87.019639 9.55159 42.594052 0.290575
26 89.46405 86.313353 11.832852 48.790995 0.29463
27 89.307745 86.713721 9.726597 48.503337 0.290667
28 89.584065 86.909894 11.064905 49.160392 0.284211
29 89.615956 87.965307 7.751642 49.134234 0.286016
30 89.447639 87.441767 9.793051 48.183391 0.283108
31 89.46599 88.07244 6.153741 48.214322 0.279157
32 89.477245 87.526373 7.335854 48.903337 0.281054
33 89.531078 88.133405 5.253703 49.102944 0.281495
34 89.345691 87.679673 7.39745 48.139644 0.280061
35 89.530494 87.629254 8.608705 49.025198 0.279455
36 89.373533 87.948205 5.086026 47.986797 0.282561
37 89.373533 87.708849 8.256313 44.777295 0.283562
38 89.386412 86.950913 9.757587 48.903852 0.279367
39 89.492583 86.15316 13.021306 48.903337 0.284806
40 89.492583 87.860033 5.811057 48.903337 0.289812
41 89.492583 87.098207 10.291222 47.545276 0.286876
42 89.531254 87.303456 7.773906 49.155006 0.282064
43 89.632792 87.621072 8.333307 49.590928 0.284276
44 89.581619 86.335478 12.023955 47.833648 0.277386
45 89.563921 87.175937 9.062813 49.060612 0.279351
46 89.563921 87.76137 9.095524 47.833648 0.279845
47 89.57572 87.434602 8.797143 49.134234 0.274936
48 89.568218 88.042981 7.312528 48.602566 0.27833
49 89.621736 87.897756 9.662442 49.016026 0.278635
50 89.566606 87.811987 7.695957 49.503852 0.280454
51 89.324052 87.962071 6.671149 47.902944 0.275282
52 89.300715 88.058137 6.223344 27.658927 0.275727
53 89.282203 87.451553 9.434021 32.712143 0.277099
54 89.462508 87.351875 10.265213 48.730306 0.275158
55 89.462508 88.103212 5.37629 47.220101 0.272951
56 89.653087 87.039129 9.989101 49.55051 0.275183
57 89.653087 86.408342 12.437972 30.845943 0.281469
58 89.531314 88.130036 7.311071 48.686039 0.275522
59 89.620658 88.462222 6.015643 49.060612 0.26618
60 89.620658 88.177185 6.854164 32.969898 0.263239
61 89.602835 88.124014 6.575201 49.447035 0.263988
62 89.620755 87.901898 8.709338 49.625198 0.271328
63 89.615819 86.727977 11.096407 47.545276 0.267986
64 89.619632 88.719257 5.039068 49.101852 0.26988
65 89.619632 88.383289 6.190125 48.137258 0.265093
66 89.57897 88.772631 3.761309 49.155006 0.267595
67 89.560857 87.602345 8.854979 47.545276 0.263878
68 89.72979 88.141114 7.977684 50.567117 0.267829
69 89.663876 88.403966 6.220667 49.501852 0.271281
70 89.663876 87.639588 9.417306 48.225198 0.268738
71 89.615702 87.282993 9.607009 49.980196 0.265477
72 89.615702 86.058302 13.637174 46.864584 0.266674
73 89.618623 87.927359 8.324718 49.590928 0.26147
74 89.61729 86.22521 13.024838 49.625198 0.264351
75 89.63577 87.36868 10.124229 48.825988 0.264629
76 89.63577 86.893043 11.513459 46.086039 0.266479
77 89.626682 85.933331 13.075995 47.190928 0.262614
78 89.567057 88.33833 6.290257 49.820204 0.273505
79 89.576755 86.245867 12.320084 49.155006 0.264187
80 89.67771 88.154016 6.078645 49.934234 0.267696
81 89.67771 87.567573 9.848424 47.045943 0.258894
82 89.67771 87.295333 11.134906 46.318915 0.260105
83 89.698972 86.816436 11.700197 51.269155 0.256427
84 89.703233 86.154395 13.537621 49.923877 0.253861
85 89.703233 87.274654 9.830093 48.612525 0.261418
86 89.656077 87.696635 9.48368 49.501852 0.256739
87 89.617909 86.686801 11.743759 49.155006 0.258355
88 89.67122 86.068661 13.192189 50.385365 0.25207
89 89.67122 86.825045 11.779067 50.385365 0.252778
90 89.618196 86.766628 11.187261 49.585786 0.251965
91 89.618196 87.026667 10.936833 32.276291 0.25168
92 89.66784 87.824732 9.436222 50.103337 0.256034
93 89.855289 86.546923 12.022097 52.194257 0.254574
94 89.788355 87.83409 10.041034 47.545276 0.251412
95 89.665994 87.58081 9.410355 49.447035 0.260908
96 89.695751 87.099065 11.843124 49.292862 0.257171
97 89.711367 86.883403 11.90654 49.520784 0.254677
98 89.653666 86.419048 12.499333 50.2091 0.254211
99 89.653666 86.983188 11.792286 46.067333 0.25306
