

gen best mean std gain diversity
0 26.867181 -4.16743 6.205427 -26.972244 0.575222
0 26.867181 14.406073 8.774901 -33.65613 0.549721
1 36.768529 15.630658 8.955625 -12.39765 0.539095
2 36.768529 20.263989 8.515734 -12.39765 0.530295
3 43.216163 22.177439 10.685263 -1.875756 0.524326
4 43.216163 22.421624 10.765159 -4.153394 0.500991
5 47.616933 20.117531 9.165161 -14.509619 0.515462
6 30.170691 21.544597 6.730808 -50.0 0.491698
7 33.237481 21.117959 7.615423 -33.81966 0.492648
8 34.294538 22.936518 8.547777 -14.001489 0.4637
9 38.107522 23.660765 7.403258 -34.208438 0.450893
10 38.145108 26.141086 9.167452 -24.509619 0.43395
11 31.077307 23.55975 7.246559 -26.106404 0.424178
12 32.984211 22.080129 6.549349 -18.297136 0.403844
13 33.922116 23.411772 6.489613 -14.384472 0.392414
14 32.613626 22.971281 7.146272 -27.709801 0.380229
15 38.797706 23.419109 6.754167 -9.518849 0.372244
16 40.648447 26.357445 7.162733 -7.036618 0.363436
17 43.291385 25.893123 8.258799 -6.678399 0.364682
18 43.291385 29.07015 10.722749 -12.309342 0.351108
19 46.995399 26.57112 7.776165 6.249863 0.357932
20 44.253011 28.884721 8.154097 2.485944 0.349045
21 44.253011 28.055934 9.332257 -9.154759 0.351116
22 40.81479 28.01608 8.134737 -7.036618 0.34719
23 56.879493 25.718486 8.389521 -4.026279 0.353373
24 41.840577 26.615851 6.611368 -32.928932 0.338184
25 44.382793 27.623643 9.149848 -0.849365 0.345054
26 44.215208 27.734338 9.629265 -11.510985 0.345092
27 41.631734 30.645855 8.675482 -5.454225 0.332751
28 42.766426 29.140467 9.26527 20.237241 0.336103
29 43.171708 31.274215 9.103873 -25.29282 0.337402
30 44.067313 29.588742 10.242202 -15.857864 0.325008
31 46.943383 32.094234 9.900646 6.071147 0.326821
32 49.245728 32.02181 10.261529 -4.477163 0.330044
33 47.003367 32.343686 10.135338 -17.823343 0.323572
34 47.003367 33.314301 9.868501 -3.018145 0.323191
35 48.020404 32.937536 8.70027 -10.0 0.317706
36 49.210168 34.634857 9.657584 -5.098377 0.31469
37 51.196944 36.756732 9.968535 -13.81966 0.294575
38 55.579041 35.236102 10.488888 0.279585 0.312586
39 55.579041 38.940615 12.086016 -17.950573 0.299368
40 49.31462 36.359873 10.791571 -4.878762 0.30975
41 48.616155 35.393405 9.778724 10.656404 0.307368
42 50.860207 34.525139 9.786511 -11.108025 0.306275
43 49.123159 35.327077 10.210202 -10.588758 0.303156
44 49.186842 33.23111 10.020272 -7.404337 0.301971
45 49.084304 35.080092 8.626899 -6.106404 0.299375
46 46.64828 33.599727 9.426652 -8.416876 0.296771
47 46.30172 37.491993 9.5096 -11.436729 0.295502
48 55.232687 36.796966 9.767286 26.524219 0.286898
49 55.232687 39.21487 9.474127 -2.649697 0.296854
50 49.036866 39.389731 8.941646 -6.106404 0.284186
51 47.552866 36.163976 8.591065 -14.509619 0.287744
52 51.227876 38.762958 9.771982 -13.81966 0.280251
53 58.340902 34.703935 11.634216 -2.481213 0.289057
54 58.340902 40.203087 10.968676 -4.906632 0.281822
55 50.457449 37.180713 9.632486 -2.679492 0.276685
56 78.420683 36.057437 9.783477 0.384343 0.282407
57 78.420683 40.524744 16.111692 -0.849365 0.283181
58 53.603623 35.665073 9.005303 -11.602753 0.283568
59 53.603623 37.996524 12.351077 -16.375446 0.290306
60 50.093261 37.103412 10.179006 -1.3182 0.290784
61 50.093261 38.51319 12.657746 2.888625 0.284446
62 49.028016 37.072005 11.164645 -0.092013 0.285229
63 49.80013 36.058783 9.814464 34.845873 0.288276
64 51.124516 38.850646 9.43756 -2.762646 0.295285
65 49.80013 33.924237 9.352225 -10.885065 0.297111
66 49.80013 36.976311 9.651349 1.563973 0.295648
67 49.80013 38.502181 11.122541 -22.739142 0.296699
68 50.92079 36.225134 8.910565 -16.999501 0.295794
69 50.92079 38.596665 9.943299 -34.646429 0.290078
70 49.323863 35.307844 9.257849 -3.994308 0.290687
71 47.833503 38.183874 8.383547 -5.707903 0.286372
72 50.132188 35.142699 8.748767 2.364055 0.290266
73 49.396795 37.654911 7.388653 26.974096 0.293494
74 49.396795 39.937956 9.161465 -8.416876 0.281606
75 49.240839 37.823831 9.968954 -1.474726 0.279832
76 49.240839 35.621873 11.665254 -29.35881 0.287239
77 46.772296 35.573055 9.381259 0.999877 0.285262
78 48.021916 37.333528 8.062918 -10.0 0.286539
79 48.148015 39.090302 9.083905 -10.0 0.286336
80 49.572022 40.707643 9.030256 -12.768066 0.273911
81 52.479249 40.062266 10.168259 0.321141 0.279524
82 49.119013 37.238995 8.686105 -6.106404 0.277871
83 49.340436 39.538947 10.04715 -4.110109 0.2765
84 51.08288 39.895471 9.91919 0.641391 0.2722
85 51.119807 39.772017 10.771492 -2.213607 0.275428
86 51.119807 42.08229 10.391331 -2.213607 0.27344
87 51.133367 41.099671 9.930561 -0.895916 0.273674
88 52.387462 40.826113 9.137874 -1.836391 0.270787
89 50.481742 38.317178 9.799265 -5.078838 0.274749
90 50.137184 40.478142 8.857088 -5.015325 0.272847
91 50.137184 40.785077 8.842831 1.712564 0.278072
92 49.137421 40.752919 7.566166 -6.106404 0.277979
93 50.447932 42.095478 8.474261 -2.679492 0.276457
94 50.447932 39.996987 10.501777 -2.572802 0.280951
95 51.039786 40.049138 9.854526 -3.055466 0.282101
96 51.039786 41.57733 10.642787 -19.800266 0.286245
97 51.064475 38.602683 8.757649 -2.68944 0.279199
98 63.994408 41.849726 9.368069 -18.117403 0.284498
99 50.475419 38.927252 10.111091 -2.679492 0.286977
