

gen best mean std sigma_prime mutation_r crossover_r
0 39.289573 -0.785715 9.533809 0.05 0.15 0.75
0 48.031292 21.524587 13.157766 0.050353 0.15 0.75
1 56.877507 15.904261 14.156157 0.044292 0.15 0.75
2 56.877507 15.904261 14.156157 0.078206 0.17 0.78
3 64.994211 21.232661 10.800041 0.07978 0.15 0.75
4 87.715513 22.498855 11.777578 0.079906 0.15 0.75
5 87.715513 22.498855 11.777578 0.10611 0.17 0.78
6 87.715513 22.498855 11.777578 0.12961 0.19 0.81
7 87.715513 22.498855 11.777578 0.162984 0.21 0.84
8 87.715513 22.498855 11.777578 0.18701 0.23 0.87
9 87.715513 22.498855 11.777578 0.227469 0.25 0.9
10 87.715513 22.498855 11.777578 0.270703 0.27 0.93
11 87.715513 22.498855 11.777578 0.3155 0.29 0.96
12 87.715513 22.498855 11.777578 0.335749 0.31 0.99
13 87.715513 22.498855 11.777578 0.382697 0.33 1.02
14 87.715513 22.498855 11.777578 0.422206 0.36 1.07
15 87.715513 22.498855 11.777578 0.476035 0.39 1.12
16 87.715513 22.498855 11.777578 0.520422 0.42 1.17
17 87.715513 22.498855 11.777578 0.534902 0.45 1.22
18 87.715513 22.498855 11.777578 0.532507 0.48 1.27
19 87.715513 22.498855 11.777578 0.668615 0.51 1.32
20 87.715513 22.498855 11.777578 0.679256 0.54 1.37
21 87.715513 22.498855 11.777578 0.708139 0.57 1.42
22 87.715513 22.498855 11.777578 0.737719 0.6 1.47
23 87.715513 22.498855 11.777578 0.860823 0.63 1.52
24 87.715513 22.498855 11.777578 0.05 0.15 0.75
25 87.715513 22.498855 11.777578 0.078631 0.17 0.78
26 87.715513 22.498855 11.777578 0.11447 0.19 0.81
27 87.715513 22.498855 11.777578 0.129649 0.21 0.84
28 87.715513 22.498855 11.777578 0.163573 0.23 0.87
29 87.715513 22.498855 11.777578 0.194814 0.25 0.9
30 87.715513 22.498855 11.777578 0.208085 0.27 0.93
31 87.715513 22.498855 11.777578 0.239611 0.29 0.96
32 89.995913 28.074382 13.249011 0.244 0.15 0.75
33 89.995913 28.074382 13.249011 0.249441 0.17 0.78
34 89.995913 28.074382 13.249011 0.310523 0.19 0.81
35 89.995913 28.074382 13.249011 0.322081 0.21 0.84
36 89.995913 28.074382 13.249011 0.339675 0.23 0.87
37 89.995913 28.074382 13.249011 0.382533 0.25 0.9
38 89.995913 28.074382 13.249011 0.419986 0.27 0.93
39 89.995913 28.074382 13.249011 0.420365 0.29 0.96
40 89.995913 28.074382 13.249011 0.419145 0.31 0.99
41 89.995913 28.074382 13.249011 0.41272 0.33 1.02
42 89.995913 28.074382 13.249011 0.476955 0.36 1.07
43 89.995913 28.074382 13.249011 0.51517 0.39 1.12
44 89.995913 28.074382 13.249011 0.563189 0.42 1.17
45 89.995913 28.074382 13.249011 0.580431 0.45 1.22
