

gen best mean std sigma_prime mutation_r crossover_r
0 39.011039 -1.141174 9.030699 0.05 0.1 0.5
0 47.978977 26.210187 9.42271 0.051477 0.1 0.5
1 21.629362 26.210187 9.42271 0.081796 0.12 0.53
2 30.43548 26.210187 9.42271 0.118583 0.14 0.56
3 30.711733 26.210187 9.42271 0.14135 0.16 0.59
4 39.450924 26.210187 9.42271 0.178843 0.18 0.62
5 39.450924 26.210187 9.42271 0.209802 0.2 0.65
6 30.620103 26.210187 9.42271 0.264855 0.22 0.68
7 30.643414 26.210187 9.42271 0.286875 0.24 0.71
8 30.711733 26.210187 9.42271 0.326146 0.26 0.74
9 39.142067 26.210187 9.42271 0.329719 0.28 0.77
10 39.142067 26.210187 9.42271 0.422199 0.31 0.82
11 74.145645 24.059251 8.552373 0.438392 0.1 0.5
12 65.755833 24.059251 8.552373 0.477765 0.12 0.53
13 30.643414 24.059251 8.552373 0.496781 0.14 0.56
14 30.711733 24.059251 8.552373 0.532603 0.16 0.59
15 30.515203 24.059251 8.552373 0.588789 0.18 0.62
16 30.606372 24.059251 8.552373 0.639996 0.2 0.65
17 30.606372 24.059251 8.552373 0.658884 0.22 0.68
18 30.527729 24.059251 8.552373 0.664836 0.24 0.71
19 30.527729 24.059251 8.552373 0.600132 0.26 0.74
20 47.974134 24.059251 8.552373 0.643439 0.28 0.77
21 47.974134 24.059251 8.552373 0.707861 0.31 0.82
22 46.920816 24.059251 8.552373 0.760232 0.34 0.87
23 38.881903 24.059251 8.552373 0.839458 0.37 0.92
24 30.544679 24.059251 8.552373 0.862473 0.4 0.97
25 65.067552 24.059251 8.552373 0.984183 0.43 1.02
26 65.067552 24.059251 8.552373 1.050373 0.46 1.07
27 39.054579 24.059251 8.552373 1.178432 0.49 1.12
28 55.710389 24.059251 8.552373 1.308962 0.52 1.17
29 56.41245 24.059251 8.552373 1.378813 0.55 1.22
30 74.483807 31.536636 18.825167 1.287726 0.1 0.5
31 74.483807 31.536636 18.825167 1.400666 0.12 0.53
