

gen best mean std gain diversity
0 39.070411 -3.067129 7.156126 -30.0 0.573882
0 56.576753 21.6236 10.669923 -10.0 0.552914
1 39.059829 15.584465 10.554812 -50.0 0.54811
2 39.390528 13.604992 10.743222 -50.0 0.544142
3 39.390528 11.100701 10.50202 -70.0 0.54474
4 39.390528 22.175406 10.036697 -70.0 0.525593
5 30.368788 17.952056 7.156752 -70.0 0.540189
6 30.486571 19.17449 7.555588 -50.0 0.486497
7 30.486571 19.930915 5.967085 -70.0 0.501549
8 22.023266 19.153618 6.549523 -70.0 0.502393
9 30.494668 19.176861 6.557858 -60.0 0.472135
10 30.648142 20.840341 6.502694 -30.0 0.473272
11 30.648142 20.730988 8.614297 -70.0 0.455924
12 39.176954 21.163544 5.479423 -30.0 0.408538
13 39.326677 21.998324 7.845855 -10.0 0.399323
14 30.68188 20.006423 5.241851 -60.0 0.392171
15 30.68188 19.22742 6.15031 -40.0 0.381495
16 39.33704 20.139907 8.871534 -50.0 0.378984
17 30.686794 22.033685 8.212825 -40.0 0.37655
18 48.165189 20.026613 7.574142 -40.0 0.370149
19 48.165189 21.847815 8.710895 -70.0 0.357553
20 56.738508 21.133192 8.724161 -20.0 0.366088
21 48.165189 20.893931 8.188326 -70.0 0.353142
22 30.53194 21.97735 4.774007 -40.0 0.342483
23 39.354553 21.379726 6.863498 -20.0 0.350991
24 30.53194 20.91023 3.380308 -50.0 0.344768
25 30.638708 20.695876 4.725433 -40.0 0.333675
26 30.592828 21.772121 5.344627 -70.0 0.320682
27 30.638708 23.211237 4.849961 -40.0 0.321062
28 65.797464 24.875873 6.427464 -20.0 0.295879
29 65.797464 27.139542 9.56117 -70.0 0.301064
30 56.904175 26.690213 12.046434 -20.0 0.285214
31 65.815851 30.067953 11.673166 -20.0 0.294602
32 56.853671 22.800032 8.464075 -90.0 0.278001
33 56.853671 26.263682 8.800398 -40.0 0.287186
34 48.067755 29.428089 3.637444 -40.0 0.278092
35 48.067755 25.801062 6.152407 -70.0 0.281897
36 30.624722 28.669024 4.459583 -20.0 0.263352
37 39.638708 26.227097 6.666893 -30.0 0.263126
38 39.431655 29.286352 5.738866 -30.0 0.267304
39 57.028738 28.545196 6.099451 -20.0 0.266903
40 57.028738 32.67577 9.692891 -60.0 0.271285
41 56.954995 29.127418 8.552386 -70.0 0.262054
42 56.954995 30.176205 11.061118 -70.0 0.267696
43 48.390528 29.891391 6.332116 -60.0 0.263457
44 39.606372 28.545428 4.619554 -20.0 0.250753
45 56.976552 28.087801 6.074876 -10.0 0.236475
46 56.976552 30.433895 6.864367 -70.0 0.24306
47 39.615505 28.998108 4.141731 -40.0 0.248821
48 39.397881 26.387311 4.922651 -60.0 0.245429
49 30.696695 28.402146 4.714668 -30.0 0.253128
50 30.701683 28.903855 4.064732 -50.0 0.248338
51 30.691732 29.11283 4.800124 -40.0 0.243902
52 39.144928 29.398279 3.663652 -50.0 0.233637
53 47.981407 29.033987 4.604385 -30.0 0.230744
54 48.051965 29.257704 4.032328 -30.0 0.231685
55 48.051965 29.644123 5.870969 -70.0 0.222365
56 48.051965 29.891008 6.715048 -60.0 0.219433
57 48.165189 30.752366 5.565797 -40.0 0.220383
58 48.386872 32.970114 8.930327 -30.0 0.22718
59 48.386872 30.22164 6.629527 -50.0 0.228363
60 48.401578 32.208332 6.179782 -30.0 0.229531
61 48.386872 30.965455 6.260711 -60.0 0.231564
62 48.386872 30.81464 6.390828 -20.0 0.22605
63 48.386872 31.486572 7.003069 -30.0 0.225494
64 48.386872 31.155825 7.028219 -60.0 0.225554
65 48.368788 29.211218 5.844744 -30.0 0.227196
66 30.652892 29.508402 3.414589 -30.0 0.222459
67 48.386872 28.417446 6.233059 -20.0 0.231382
68 48.386872 30.260621 7.253593 -70.0 0.229869
69 48.133532 28.768755 6.344752 -30.0 0.236272
70 48.133532 28.563241 5.696605 -30.0 0.242653
71 57.001063 29.491314 4.989858 -30.0 0.244391
72 57.001063 31.495455 8.410403 -30.0 0.238932
73 48.306268 28.897875 5.92684 -30.0 0.240646
74 48.113896 30.696797 7.20452 -50.0 0.241274
75 65.857963 29.092363 7.234835 -20.0 0.244862
76 48.386872 29.890824 6.790627 -30.0 0.245294
77 48.386872 29.746274 5.904064 -60.0 0.239122
78 48.386872 30.326886 6.453566 -20.0 0.243921
79 48.062464 28.612529 4.914411 -50.0 0.244043
80 39.256997 28.88056 5.339976 -40.0 0.239306
81 39.299556 28.349776 5.75519 -50.0 0.246275
82 48.051965 29.534581 5.171716 -30.0 0.241306
83 39.299556 30.205446 2.699781 -50.0 0.2315
84 39.299556 30.978598 4.216827 -60.0 0.233497
85 30.643414 29.870241 2.435419 -30.0 0.232781
86 39.386872 29.924051 2.573053 -30.0 0.241569
87 30.643414 29.268393 5.13273 -60.0 0.24746
88 30.643414 29.196807 3.878847 -50.0 0.238686
89 30.652892 30.219669 1.772833 -50.0 0.237957
90 30.638708 29.454577 3.330465 -40.0 0.240679
91 48.386872 29.749044 4.038286 -30.0 0.229679
92 48.386872 29.675552 6.797835 -50.0 0.222077
93 57.02619 31.614006 6.914881 -30.0 0.226887
94 57.02619 30.86843 7.109088 -40.0 0.220707
95 48.386872 31.26497 7.02383 -60.0 0.206228
96 48.386872 29.385593 4.786296 -50.0 0.223451
97 48.386872 31.294597 5.946273 -70.0 0.217742
98 48.386872 31.051884 4.757022 -30.0 0.233304
99 30.706695 29.598624 3.356933 -20.0 0.234239
