

gen best mean std gain diversity
0 -106.3 -289.037667 41.748404 -30.0 0.576696
0 -42.15 -170.296667 50.326011 -10.0 0.552085
1 -16.3 -118.483333 57.473098 0.0 0.459029
2 -12.9 -81.712667 65.888775 0.0 0.293906
3 -6.95 -86.163333 67.316178 0.0 0.036546
4 -6.95 -88.747667 66.913925 -40.0 0.036444
5 -5.85 -105.778 67.427584 0.0 0.031538
6 -5.85 -114.258 62.218581 -40.0 0.029538
7 -5.85 -119.625667 58.731407 -40.0 0.029265
8 -5.85 -118.208667 58.57415 -40.0 0.028142
9 -5.85 -114.067333 56.619652 -40.0 0.028079
10 -5.85 -108.612333 62.973467 -40.0 0.029656
11 -9.75 -108.942 52.135409 0.0 0.0249
12 -9.75 -110.134667 59.52173 -40.0 0.023434
13 -9.75 -134.606667 42.525715 -40.0 0.018052
14 -10.6 -130.596333 47.492167 0.0 0.019796
15 -9.9 -95.712 68.457891 0.0 0.029634
16 -9.85 -118.752667 54.14749 0.0 0.023233
17 -9.65 -94.945 61.047308 0.0 0.028705
18 -9.65 -126.773667 54.285233 -40.0 0.020363
19 -9.65 -111.877333 57.937487 -40.0 0.023496
20 -9.65 -113.956667 56.712281 -40.0 0.022176
21 -9.6 -130.557333 52.026127 0.0 0.017531
22 -9.6 -132.935667 44.473545 -40.0 0.019054
23 -9.75 -124.789 47.309047 0.0 0.023647
24 -9.75 -108.062667 64.082404 -40.0 0.028178
25 -9.75 -114.441333 63.505407 -40.0 0.024395
26 -8.7 -131.959667 44.554078 0.0 0.019708
27 -8.7 -108.184333 57.947979 -40.0 0.028552
28 -8.7 -106.797667 60.171934 -40.0 0.027763
29 -8.7 -80.61 58.477352 -40.0 0.029976
30 -8.7 -116.589 61.748081 -40.0 0.022206
31 -8.7 -123.369333 55.117457 -40.0 0.022562
32 -8.7 -126.490333 54.403679 -40.0 0.025499
33 -8.7 -116.764667 57.736598 -40.0 0.02586
34 -8.7 -85.614667 62.224632 -40.0 0.033906
35 -11.85 -118.433 56.462625 -40.0 0.026619
36 -13.8 -123.076333 58.192715 -40.0 0.028634
37 -13.8 -123.113667 50.574521 -40.0 0.026652
38 -9.85 -109.245333 60.603948 0.0 0.028623
39 -9.75 -87.843 69.218119 0.0 0.029795
40 -9.75 -87.854333 68.494575 -40.0 0.027412
41 -8.85 -128.971667 53.319317 0.0 0.019921
42 -8.85 -114.338667 54.074197 -20.0 0.023443
43 -15.75 -97.091667 64.684161 0.0 0.02504
44 -12.1 -102.555667 53.439301 0.0 0.021502
45 -9.85 -94.353 58.631077 0.0 0.025993
46 -9.85 -108.671 60.120614 -40.0 0.024631
47 -9.85 -112.506667 61.571952 -40.0 0.023947
48 -9.6 -117.475667 57.754248 0.0 0.022561
49 -9.6 -92.726667 69.941801 -40.0 0.028197
50 -9.6 -110.843667 66.977127 -40.0 0.024799
51 -9.6 -125.907 55.378647 -40.0 0.019936
52 -9.75 -108.624333 56.734244 0.0 0.024205
53 -9.75 -101.417333 69.854904 -30.0 0.026273
54 -9.5 -126.709333 53.31317 0.0 0.020918
55 -9.5 -82.430333 64.773231 -30.0 0.028355
56 -9.5 -136.115333 40.230676 -40.0 0.017315
57 -9.75 -117.470333 49.390634 0.0 0.024334
58 -9.75 -86.981333 69.941999 -30.0 0.027384
59 -8.85 -99.257667 66.394173 0.0 0.021603
60 -8.1 -102.478333 66.133806 0.0 0.022027
61 -8.1 -113.852667 63.223091 -40.0 0.021778
62 -8.85 -136.729667 35.282854 -40.0 0.014733
63 -8.85 -113.999333 52.42488 -20.0 0.023362
64 -7.9 -118.880333 50.22719 0.0 0.025017
65 -7.9 -101.709667 61.206232 -20.0 0.029325
66 -7.9 -106.917 56.404867 -40.0 0.028163
67 -7.9 -129.228333 54.07671 -40.0 0.024228
68 -8.85 -121.231333 52.973929 -40.0 0.026035
69 -8.85 -124.305667 47.040814 -40.0 0.026566
70 -6.0 -93.574 68.236645 0.0 0.031602
71 -6.0 -91.444 70.260735 0.0 0.034081
72 -6.0 -116.293333 56.500325 -20.0 0.029163
73 -6.0 -121.135667 52.782961 -40.0 0.022263
74 -9.75 -124.219667 56.474149 -40.0 0.022412
75 -9.75 -109.089667 57.148102 -40.0 0.023628
76 -9.75 -126.464 53.634061 -40.0 0.022888
77 -9.75 -130.634333 48.817499 -40.0 0.021116
78 -15.9 -125.357 53.694453 0.0 0.024172
79 -14.9 -125.222667 54.870469 0.0 0.025216
80 -14.9 -117.055667 56.60849 -40.0 0.024929
81 -23.25 -125.525 58.328963 -40.0 0.022302
82 -15.9 -139.313667 46.863256 0.0 0.018558
83 -13.35 -107.978333 53.038495 0.0 0.029299
84 -13.35 -92.375333 59.607814 0.0 0.025957
85 -12.2 -93.996667 60.540389 0.0 0.026038
86 -12.2 -95.848 66.760242 -40.0 0.022974
87 -12.2 -129.865333 45.62157 -40.0 0.014463
88 -9.75 -134.496333 40.846642 0.0 0.014522
89 -9.75 -126.266667 53.972472 -40.0 0.015371
90 -9.75 -122.446333 50.01157 -40.0 0.015259
91 -12.1 -120.476333 48.286895 -40.0 0.016724
92 -16.7 -117.873 55.387388 -40.0 0.017963
93 -15.55 -117.330667 61.913859 0.0 0.021425
94 -15.55 -118.821 53.050403 -40.0 0.020173
95 -11.8 -126.335667 57.26716 0.0 0.018316
96 -11.8 -119.255333 49.779208 -40.0 0.019149
97 -15.55 -126.699333 49.56303 0.0 0.019976
98 -9.8 -112.700333 63.843202 0.0 0.024165
99 -9.8 -112.810333 65.034446 0.0 0.019804

gen best mean std gain diversity
0 -123.12 -288.488933 35.538573 -40.0 0.574289
0 -65.26 -188.187733 45.706642 -20.0 0.553466
1 -65.26 -138.173067 41.401181 -50.0 0.431478
2 -35.24 -142.0888 51.532257 -10.0 0.352561
3 -152.04 -178.098 20.257202 -60.0 0.026557
4 -152.04 -170.557333 26.080775 -50.0 0.036744
5 -152.04 -178.179867 13.126721 -60.0 0.023424
6 -152.04 -163.332667 21.953873 -50.0 0.041224
7 -152.04 -180.848933 19.453401 -60.0 0.022819
8 -152.04 -173.274667 23.986944 -60.0 0.032601
9 -152.04 -181.100133 25.159663 -50.0 0.028525
10 -152.04 -168.5696 29.121667 -50.0 0.043302
11 -152.04 -179.159733 17.320901 -50.0 0.024717
12 -152.04 -160.071467 19.217444 -50.0 0.039262
13 -152.04 -178.349733 17.773707 -60.0 0.025041
14 -152.04 -164.325867 18.225097 -60.0 0.035122
15 -152.04 -178.892667 14.532452 -50.0 0.021352
16 -152.04 -163.577067 24.785481 -50.0 0.036579
17 -152.04 -178.2528 13.915938 -50.0 0.021708
18 -152.04 -159.7376 21.301536 -50.0 0.036849
19 -152.04 -175.367867 21.214703 -50.0 0.022751
20 -152.04 -176.917467 15.483631 -60.0 0.024185
21 -152.04 -173.134933 19.308348 -60.0 0.026978
22 -152.04 -179.804267 12.896203 -50.0 0.020034
23 -152.04 -163.6416 25.677103 -50.0 0.037372
24 -152.04 -179.957733 21.230466 -60.0 0.025575
25 -152.04 -165.640267 23.546648 -50.0 0.040306
26 -152.04 -177.870133 18.760919 -60.0 0.030317
27 -152.04 -164.241867 28.060845 -60.0 0.050013
28 -152.04 -177.627467 21.920812 -50.0 0.033738
29 -152.04 -174.848933 27.191028 -50.0 0.037753
30 -152.04 -177.4832 18.433429 -50.0 0.027589
31 -152.04 -162.428267 20.894202 -60.0 0.041253
32 -152.04 -179.588933 16.411254 -50.0 0.021661
33 -152.04 -165.670267 24.883866 -60.0 0.035099
34 -152.04 -180.206933 16.353423 -50.0 0.021659
35 -152.04 -163.276133 25.508068 -50.0 0.037234
36 -152.04 -178.9064 13.742177 -60.0 0.021427
37 -152.04 -160.0492 16.73792 -50.0 0.037268
38 -152.04 -179.7184 14.379066 -50.0 0.018806
39 -152.04 -160.935333 18.967263 -60.0 0.031649
40 -152.04 -180.240133 15.584432 -50.0 0.017805
41 -152.04 -162.0888 20.592306 -50.0 0.030887
42 -152.04 -178.862133 11.41507 -50.0 0.018338
43 -152.04 -159.674267 15.227739 -50.0 0.034861
44 -123.28 -175.387067 17.48724 -40.0 0.01991
45 -123.28 -173.143067 24.184413 -60.0 0.023055
46 -123.28 -171.187733 23.195535 -60.0 0.023558
47 -123.28 -175.366 15.952493 -60.0 0.018611
48 -152.04 -167.2288 18.886997 -50.0 0.027202
49 -152.04 -179.9736 12.2117 -50.0 0.017877
50 -152.04 -159.734133 18.561698 -60.0 0.035974
51 -152.04 -169.279467 17.457167 -50.0 0.027034
52 -152.04 -179.4012 12.701403 -50.0 0.019265
53 -152.04 -161.635067 26.58371 -50.0 0.036232
54 -152.04 -171.3164 21.358902 -50.0 0.025757
55 -152.04 -178.2284 19.978456 -50.0 0.024614
56 -152.04 -164.427333 26.095964 -60.0 0.038815
57 -152.04 -180.391733 19.345304 -60.0 0.025289
58 -152.04 -163.273467 21.972934 -50.0 0.040985
59 -152.04 -178.068667 17.337666 -50.0 0.026467
60 -152.04 -161.733467 23.540918 -50.0 0.044008
61 -152.04 -175.95 18.822314 -50.0 0.028609
62 -152.04 -174.597067 19.103681 -50.0 0.030555
63 -152.04 -179.626133 24.234469 -50.0 0.026039
64 -152.04 -162.1212 22.077458 -50.0 0.042739
65 -152.04 -179.820533 16.129774 -50.0 0.025723
66 -152.04 -162.9348 26.248835 -50.0 0.047013
67 -152.04 -177.025333 27.201343 -50.0 0.030671
68 -152.04 -176.954267 19.529328 -60.0 0.031807
69 -152.04 -167.504133 19.234129 -60.0 0.040744
70 -152.04 -178.180933 20.423198 -50.0 0.033662
71 -152.04 -167.368133 27.858947 -50.0 0.046901
72 -152.04 -180.567867 23.311717 -60.0 0.030783
73 -152.04 -166.134933 33.295152 -50.0 0.045709
74 -152.04 -181.4436 20.635231 -50.0 0.028329
75 -152.04 -161.881333 24.656538 -50.0 0.049155
76 -152.04 -178.575733 20.888259 -50.0 0.029612
77 -152.04 -172.360933 23.068211 -50.0 0.03796
78 -152.04 -181.476933 20.601429 -50.0 0.028922
79 -152.04 -167.508267 27.44957 -50.0 0.046333
80 -152.04 -181.843867 21.208011 -60.0 0.032955
81 -152.04 -174.7144 29.173564 -60.0 0.040556
82 -152.04 -182.561467 25.204455 -50.0 0.036971
83 -152.04 -182.094533 25.262431 -50.0 0.038258
84 -124.48 -169.5996 27.853156 -40.0 0.049642
85 -152.04 -183.633467 27.201896 -50.0 0.036684
86 -152.04 -181.591867 23.785117 -50.0 0.039026

gen best mean std gain diversity
0 -185.295 -286.4976 30.044476 -60.0 0.575829
0 -8.55 -211.4136 32.534591 0.0 0.554762
1 -5.985 -115.8534 73.46808 0.0 0.282114
2 -5.655 -70.3375 80.140155 0.0 0.046284
3 -5.115 -56.964 74.519089 0.0 0.045178
4 -5.115 -65.1283 77.705152 0.0 0.040936
5 -5.115 -70.9887 82.905242 0.0 0.041589
6 -5.505 -55.3208 71.883317 0.0 0.039557
7 -6.015 -64.8876 79.550026 0.0 0.040241
8 -4.935 -70.1585 79.716969 0.0 0.04043
9 -4.935 -90.5359 80.629326 -60.0 0.041075
10 -4.935 -102.4438 86.209559 0.0 0.039076
11 -4.935 -107.9034 79.485892 -60.0 0.037496
12 -5.55 -106.6731 85.941044 0.0 0.036095
13 -5.55 -105.078 79.700842 -60.0 0.037209
14 -5.55 -107.9807 84.379539 -60.0 0.037874
15 -5.595 -95.8328 80.879216 0.0 0.040157
16 -5.595 -90.1951 84.116144 -60.0 0.03932
17 -5.595 -126.643 81.539654 -60.0 0.037713
18 -4.725 -112.8346 81.86692 0.0 0.038009
19 -3.72 -74.7754 82.664663 0.0 0.04412
20 -3.72 -83.9811 82.058029 -60.0 0.041686
21 -3.72 -99.33 82.009813 -60.0 0.039019
22 -3.72 -109.0533 75.063412 0.0 0.033283
23 -4.095 -106.6631 83.314616 -60.0 0.033197
24 -4.41 -88.1355 78.534744 0.0 0.034997
25 -4.41 -140.9909 81.983244 -60.0 0.027903
26 -5.445 -95.6446 81.856522 0.0 0.034128
27 -5.445 -82.8547 78.976414 0.0 0.034386
28 -4.77 -108.9818 82.284036 0.0 0.032758
29 -4.77 -84.4919 82.985414 -60.0 0.033548
30 -4.77 -136.1654 74.414511 -60.0 0.027515
31 -4.875 -62.7251 79.743333 0.0 0.034501
32 -4.875 -70.1189 86.478195 0.0 0.032902
33 -4.875 -117.2349 85.364546 -60.0 0.026676
34 -4.875 -140.0438 71.750625 0.0 0.024245
35 -4.065 -70.0073 78.472437 0.0 0.02861
36 -4.065 -53.79 73.120371 -60.0 0.029773
37 -4.065 -91.5087 85.886161 -60.0 0.028264
38 -4.065 -126.0933 81.119424 -60.0 0.026876
39 -4.065 -102.1124 83.41983 -60.0 0.029844
40 -3.945 -116.2716 83.286108 0.0 0.028931
41 -3.945 -114.9984 80.52067 -60.0 0.030854
42 -3.945 -107.66 81.194883 -60.0 0.031016
43 -4.845 -131.173 79.977536 -60.0 0.025883
44 -3.825 -94.4603 81.38474 0.0 0.032447
45 -3.825 -65.6112 77.386747 0.0 0.031644
46 -5.43 -120.5054 82.244932 0.0 0.027504
47 -5.43 -101.4568 82.892202 -60.0 0.030346
48 -6.555 -130.7416 77.422775 -60.0 0.025768
49 -5.31 -96.014 80.129304 0.0 0.031122
50 -3.945 -65.2314 78.394175 0.0 0.034012
51 -3.945 -101.1961 83.847002 -60.0 0.031179
52 -3.945 -124.1404 78.445197 -60.0 0.024684
53 -3.945 -109.8149 77.559103 -60.0 0.026973
54 -4.53 -89.4969 76.20336 0.0 0.029631
55 -4.53 -71.2546 81.740363 0.0 0.031586
56 -3.3 -69.9114 84.584845 0.0 0.030329
57 -3.3 -55.0195 77.995736 -60.0 0.028111
58 -4.44 -51.3787 81.326337 0.0 0.027709
59 -4.44 -76.5128 82.568743 -60.0 0.030256
60 -4.44 -107.945 78.016769 0.0 0.028334
61 -4.56 -88.229 82.798417 0.0 0.030068
62 -4.56 -103.5138 79.933869 -60.0 0.028451
63 -5.235 -118.6619 82.406749 -60.0 0.02737
64 -5.325 -99.2905 80.113205 0.0 0.030602
65 -5.325 -100.0467 83.837215 -60.0 0.031978
66 -5.325 -109.9038 87.112829 0.0 0.033679
67 -5.325 -122.453 71.738848 -60.0 0.031307
68 -5.055 -82.1785 80.691805 0.0 0.036485
69 -4.995 -115.0056 83.888451 0.0 0.033142
70 -3.375 -69.5318 75.877797 0.0 0.035785
71 -3.375 -134.1114 79.086706 -60.0 0.031877
72 -3.375 -92.447 82.944341 -60.0 0.036052
73 -4.77 -111.7727 74.668746 0.0 0.031867
74 -4.77 -90.6903 83.521104 -60.0 0.033451
75 -4.77 -104.8199 80.382942 -60.0 0.030619
76 -5.73 -101.7479 83.332729 0.0 0.032301
77 -5.22 -86.8904 83.373888 0.0 0.034491
78 -4.62 -87.1666 82.302288 0.0 0.033034
79 -4.62 -125.2087 76.827104 -60.0 0.032587
80 -4.62 -125.3777 80.571688 -60.0 0.037531
81 -5.94 -85.3642 81.741016 -60.0 0.039326
82 -6.825 -90.8312 83.424751 -60.0 0.038816
83 -5.52 -86.4173 89.046462 0.0 0.039616
84 -3.39 -70.9697 79.426743 0.0 0.039367
85 -3.39 -107.4316 88.776685 0.0 0.041895
86 -3.39 -106.5853 84.964984 0.0 0.040748
87 -3.39 -123.5241 81.159364 0.0 0.04329
88 -4.74 -108.7581 79.907169 0.0 0.039187
89 -4.74 -73.3903 77.066377 -60.0 0.045475
90 -4.74 -109.6812 81.098346 -60.0 0.043149
91 -4.74 -120.3129 81.548655 -60.0 0.042938
92 -5.94 -110.8587 88.501927 -60.0 0.04742
93 -4.935 -140.8611 76.032699 0.0 0.037104
94 -2.31 -111.6945 80.980603 0.0 0.043066
