

gen best mean std gain diversity
0 -6.46 -283.413867 39.729644 0.0 0.575159
0 -3.49 -160.125067 79.954254 0.0 0.558453
1 -3.49 -66.405867 82.89031 -60.0 0.489435
2 -3.49 -38.417467 74.203262 -40.0 0.349945
3 17.14 -30.506467 64.578543 24.4 0.027872
4 17.14 -28.922667 70.545872 0.0 0.038626
5 36.73 -34.709 75.337558 47.2 0.03977
6 39.75 -23.620133 62.958714 46.6 0.031762
7 39.75 -29.6796 74.288347 0.0 0.032921
8 32.15 -21.7642 61.159276 0.0 0.036817
9 30.73 -16.016867 62.787003 0.0 0.05032
10 30.73 -12.768133 67.987821 0.0 0.050682
11 43.73 -3.3572 71.171987 50.8 0.049834
12 43.73 -9.8894 70.504712 0.0 0.053919
13 43.73 -9.133533 73.354681 29.8 0.052216
14 43.73 -9.949867 70.419085 0.0 0.055585
15 43.94 5.8388 61.202616 51.4 0.054237
16 43.94 -5.6646 61.473599 29.8 0.052763
