

gen best mean std gain diversity
0 94.852506 -2.895561 12.330674 100 0.57274
0 94.852506 27.899312 26.959718 -90.0 0.537211
1 94.852506 23.306897 27.361316 -100 0.529685
2 94.785064 38.535431 24.809763 -40.0 0.512746
3 48.033853 32.934542 17.543874 -40.0 0.488273
4 57.013548 36.922089 14.673321 -30.0 0.491127
5 48.081106 30.548216 16.303875 -40.0 0.477846
6 66.011039 34.198208 12.430754 -20.0 0.461001
7 66.044163 38.116406 12.988369 -20.0 0.422987
8 66.044163 34.057037 12.253136 -50.0 0.412666
9 66.2699 46.597553 13.906008 -20.0 0.376222
10 57.2699 41.509895 9.139788 -30.0 0.380472
11 48.081106 35.869959 12.704907 -40.0 0.369233
12 66.028738 37.701588 7.731345 -20.0 0.387362
13 66.176954 35.509574 10.299439 -20.0 0.351253
14 39.2699 33.960736 9.549447 -50.0 0.36165
15 39.2699 34.09152 9.649532 -70.0 0.332153
16 57.197882 37.454605 7.360406 -30.0 0.3217
17 57.046757 36.38864 7.179912 -30.0 0.331022
18 48.065106 37.013707 8.631315 -50.0 0.342829
19 39.105597 34.233376 7.886453 -50.0 0.3203
20 48.038995 36.730492 7.106078 -40.0 0.319698
21 66.102846 38.83996 7.418056 -20.0 0.318566
22 66.176954 36.70851 7.027787 -20.0 0.296656
23 66.176954 39.073286 15.430774 -20.0 0.30474
24 39.179917 34.605967 7.712144 -50.0 0.308486
25 39.147798 34.340012 7.804984 -50.0 0.287737
26 39.203942 35.142615 7.368495 -50.0 0.298936
27 66.139214 38.93872 5.948386 -20.0 0.294692
28 66.2699 42.128473 11.270868 -20.0 0.293108
29 57.059829 42.444194 8.589607 -30.0 0.287781
30 39.150675 38.483525 3.027301 -50.0 0.278129
31 48.241098 38.470112 3.627847 -40.0 0.281668
32 39.203942 37.790832 5.120273 -50.0 0.272597
33 39.179917 38.191368 3.882782 -50.0 0.287589
34 39.179917 38.900265 1.773265 -50.0 0.287249
35 48.013548 38.776787 2.656065 -40.0 0.279979
36 48.013548 40.33599 5.782835 -50.0 0.268743
37 39.203942 38.393899 3.496331 -50.0 0.269382
38 66.203942 38.64526 4.971287 -20.0 0.271771
39 39.179917 37.90507 4.295199 -50.0 0.266219
40 39.241098 38.339004 2.998976 -50.0 0.265117
41 39.2699 38.57927 3.045433 -50.0 0.263921
42 39.2699 38.76647 2.50097 -50.0 0.258865
43 39.241098 37.540474 4.878509 -50.0 0.252415
44 39.241098 37.848249 4.549824 -50.0 0.250072
45 94.785064 38.112352 8.224528 100 0.246481
46 94.785064 40.548975 9.75888 -50.0 0.252542
47 94.852506 41.054882 11.071197 100 0.247479
48 39.070411 36.182462 8.15236 -50.0 0.248726
49 39.081106 38.408465 2.888805 -50.0 0.237617
