

gen best mean std sigma_prime mutation_r crossover_r
0 47.584903 -2.123276 8.655413 0.05 0.1 0.5
0 83.193245 25.010939 13.939357 0.056415 0.1 0.5
1 88.697119 24.712963 18.697116 0.049071 0.1 0.5
2 88.697119 29.010252 20.486763 0.045166 0.1 0.5
3 88.504231 26.305215 15.710419 0.042998 0.1 0.5
4 86.003285 31.525054 18.986178 0.048378 0.1 0.5
5 86.439955 33.30302 19.802672 0.045552 0.1 0.5
6 86.973767 33.599924 18.861572 0.045295 0.1 0.5
7 65.309158 28.099716 14.519793 0.045052 0.1 0.5
8 30.588354 22.050546 6.705563 0.04228 0.1 0.5
9 56.066577 25.637406 6.766555 0.038906 0.1 0.5
10 30.648142 22.43549 5.910139 0.040511 0.1 0.5
11 30.711733 21.894086 6.349625 0.038652 0.1 0.5
12 84.868669 26.004462 8.99671 0.037953 0.1 0.5
13 89.446968 35.860238 22.838455 0.040647 0.1 0.5
14 89.446968 31.144548 16.924323 0.03858 0.1 0.5
15 84.777907 30.988312 14.180745 0.037508 0.1 0.5
16 65.280987 27.817983 8.421357 0.037971 0.1 0.5
17 74.92678 30.312331 13.542314 0.038127 0.1 0.5
18 74.92678 30.907372 16.829734 0.037043 0.1 0.5
19 83.306457 30.051095 11.672414 0.035693 0.1 0.5
20 85.975513 45.46615 22.230308 0.038585 0.1 0.5
21 86.422752 42.698152 23.947811 0.038063 0.1 0.5
22 84.007673 37.224965 19.200797 0.04191 0.1 0.5
23 73.802565 37.265202 16.206833 0.039445 0.1 0.5
24 86.343657 35.33589 17.6337 0.038459 0.1 0.5
25 86.343657 35.761191 17.807793 0.035219 0.1 0.5
26 84.050591 35.859249 16.939154 0.03781 0.1 0.5
27 84.759132 37.304759 17.584321 0.034047 0.1 0.5
28 86.213533 41.462618 20.597026 0.031583 0.1 0.5
29 65.309158 32.590963 14.616106 0.029256 0.1 0.5
30 83.810591 40.843633 18.990984 0.032184 0.1 0.5
31 85.600816 51.444648 20.513441 0.032743 0.1 0.5
32 86.917173 59.779009 21.007501 0.03533 0.1 0.5
33 85.962502 58.215886 23.120788 0.032647 0.1 0.5
34 85.962502 66.63541 22.709669 0.033149 0.1 0.5
35 85.926044 65.31618 22.231041 0.034349 0.1 0.5
36 86.857173 68.8393 20.113052 0.031019 0.1 0.5
37 85.540816 64.95595 22.74755 0.028332 0.1 0.5
38 86.742502 68.276229 19.63887 0.028644 0.1 0.5
39 88.028909 72.487347 20.204779 0.027917 0.1 0.5
40 88.130409 70.959659 22.46109 0.030475 0.1 0.5
41 88.130409 66.382321 21.424999 0.03317 0.1 0.5
42 89.58307 70.952197 23.082501 0.033058 0.1 0.5
43 86.202502 68.021616 18.903563 0.034449 0.1 0.5
44 86.857173 68.996427 21.968295 0.035132 0.1 0.5
45 86.562502 71.044849 19.684355 0.037052 0.1 0.5
46 86.322502 67.376383 18.379817 0.038252 0.1 0.5
47 86.857173 70.366116 19.976415 0.042523 0.1 0.5
48 86.262502 71.847883 18.33864 0.045934 0.1 0.5
49 86.557173 70.891122 17.758884 0.044125 0.1 0.5
