# gen best mean std diversity
0.000000 75.225448 21.331267 0.402509 0.404540
1.000000 75.225448 35.505768 0.387847 0.146130
2.000000 75.225448 43.354757 0.531003 0.037365
3.000000 75.225448 48.139152 0.642536 0.505461
4.000000 75.299556 47.174775 1.230711 0.355474
5.000000 84.977040 57.796431 3.205712 0.036386
6.000000 85.023229 58.605874 2.462486 0.392163
7.000000 84.977040 59.426976 3.444064 0.322940
8.000000 84.857040 59.495173 4.066105 0.204935
9.000000 84.973573 66.745328 2.276790 0.045823
10.000000 84.857040 72.145468 2.476673 0.331507
11.000000 84.857040 69.817108 2.882804 0.309691
12.000000 87.871940 72.910543 1.152326 0.331512
13.000000 88.232828 74.529892 4.494883 0.294447
14.000000 87.751940 71.933626 1.148146 0.019380
15.000000 88.228354 72.583988 2.224641 0.031644
16.000000 87.932892 68.947138 1.861730 0.357772
17.000000 87.932892 70.295421 1.529027 0.205797
18.000000 87.932892 72.579655 0.364911 0.262996
19.000000 87.932892 72.377147 1.693701 0.324242
20.000000 87.932892 77.819404 2.336582 0.327853
21.000000 87.932892 77.755359 4.606990 0.186092
22.000000 87.932892 77.937070 3.360821 0.022590
23.000000 87.932892 78.439097 0.522481 0.314277
24.000000 88.112828 77.877594 3.319703 0.017644
25.000000 88.112828 76.284252 1.040212 0.024445
26.000000 88.112828 77.797561 0.752224 0.141170
27.000000 88.412892 76.410975 3.136051 0.020395
28.000000 88.112828 76.614982 2.326068 0.023791
29.000000 88.112828 76.341894 1.388576 0.030801
30.000000 88.112828 77.386848 3.412392 0.330497
31.000000 88.112828 78.729743 5.804210 0.331888
32.000000 88.112828 77.834115 3.312609 0.325273
33.000000 88.112828 79.216551 0.437888 0.207093
34.000000 88.112828 78.011732 3.696265 0.015097
35.000000 88.112828 77.596354 1.278902 0.015868
36.000000 88.112828 79.128323 2.230704 0.048074
37.000000 88.112828 78.156829 1.496872 0.022638
38.000000 88.302547 78.928770 2.963409 0.025063
39.000000 88.472892 80.098669 3.691172 0.017398
40.000000 88.422547 77.316895 2.980413 0.044692
41.000000 88.351940 77.307852 1.616826 0.044678
42.000000 89.713573 78.572502 3.001155 0.043084
43.000000 88.187846 75.269606 1.293083 0.038373
44.000000 88.112828 78.079566 1.201407 0.013566
45.000000 88.112828 77.303968 2.053358 0.014414
46.000000 88.112828 79.828492 2.922828 0.022084
47.000000 88.112828 80.880701 2.920895 0.016659
48.000000 88.122547 80.186438 1.280797 0.018725
49.000000 88.112828 79.245696 4.174436 0.015868
50.000000 88.422547 81.508597 2.051249 0.014887
51.000000 88.231940 79.838328 1.777643 0.014895
52.000000 88.231940 78.908580 1.110050 0.015635
53.000000 90.211940 81.248686 2.343869 0.045964
54.000000 90.402547 78.691775 2.054851 0.050710
55.000000 90.451940 79.440208 3.430957 0.047089
56.000000 90.402547 77.566265 3.559237 0.047785
57.000000 89.971940 81.508249 3.848311 0.018868
58.000000 89.022547 79.527739 6.089037 0.033040
59.000000 90.282547 79.201490 3.779947 0.031767
60.000000 89.022547 79.605032 1.246706 0.049045
61.000000 89.022547 79.332756 1.233046 0.048636
62.000000 89.022547 79.167566 2.095353 0.046706
63.000000 89.022547 81.567039 3.001755 0.033170
64.000000 89.022547 78.901209 2.760792 0.014927
65.000000 89.022547 79.866004 2.596710 0.016436
66.000000 89.022547 79.723572 0.539969 0.027567
67.000000 89.022547 77.981866 3.576109 0.015935
68.000000 89.022547 78.713821 2.603870 0.023046
69.000000 89.251054 76.957245 1.361704 0.020792
70.000000 90.402547 79.532670 1.429169 0.015848
71.000000 90.391940 79.984964 1.373411 0.024597
72.000000 90.282547 77.615019 5.125202 0.024677
73.000000 90.451940 75.984830 2.060713 0.051979
74.000000 90.451940 77.384924 0.155942 0.017722
75.000000 89.971940 76.372131 1.537751 0.024230
76.000000 90.391940 78.142683 2.194472 0.031816
77.000000 90.282547 77.324911 1.486806 0.027859
78.000000 89.971940 78.830038 2.692839 0.027255
79.000000 90.276168 78.691404 2.416459 0.025744
80.000000 89.570607 78.050847 3.643027 0.023685
81.000000 89.931655 78.022658 1.837909 0.026684
82.000000 90.332890 78.516055 1.471617 0.024493
83.000000 89.931655 78.261334 3.447397 0.036338
84.000000 89.931655 79.043126 1.608791 0.020048
85.000000 89.931655 78.784190 3.494623 0.022293
86.000000 89.931655 79.223142 4.774239 0.029093
87.000000 89.931655 78.640031 0.525348 0.015662
88.000000 89.931655 78.278022 3.293032 0.015518
89.000000 89.931655 77.920956 2.281841 0.013381
90.000000 89.931655 80.242117 1.928963 0.015929
91.000000 89.931655 82.120351 2.090110 0.013467
92.000000 89.931655 80.326787 2.163060 0.021008
93.000000 89.931655 80.942147 1.648769 0.042405
94.000000 89.931655 82.336049 2.230379 0.035641
95.000000 89.931655 81.844211 3.655819 0.010568
96.000000 89.931655 81.893458 5.604066 0.021451
97.000000 89.931655 80.090956 2.355182 0.016722
98.000000 89.931655 79.361114 0.841738 0.015200
99.000000 89.931655 80.855651 2.920018 0.015504
