# gen best mean std diversity
0.000000 21.500000 15.310000 6.206180 0.476135
1.000000 25.700000 16.325000 2.797647 0.336319
2.000000 26.200000 15.967500 2.148100 0.331986
3.000000 26.300000 18.840833 0.547740 0.495491
4.000000 28.000000 21.190000 0.458182 0.290362
5.000000 29.300000 20.287500 1.778988 0.114795
6.000000 28.500000 19.191667 0.808601 0.410360
7.000000 25.000000 19.759167 1.113685 0.387396
8.000000 26.200000 18.977500 2.491209 0.237482
9.000000 25.000000 18.927500 1.050887 0.023687
10.000000 25.000000 22.827500 1.282889 0.015034
11.000000 26.100000 23.207500 1.482362 0.015932
12.000000 28.800000 23.688333 1.249153 0.021447
13.000000 28.800000 23.706667 1.696614 0.326228
14.000000 28.800000 22.746667 2.664571 0.058167
15.000000 28.800000 23.186667 0.938629 0.047052
16.000000 28.800000 22.234167 3.474060 0.310928
17.000000 28.800000 24.865000 1.266017 0.027119
18.000000 28.800000 24.349167 2.114204 0.030204
19.000000 28.800000 24.781667 1.949255 0.030123
20.000000 28.800000 25.718333 1.389703 0.184769
21.000000 28.800000 25.877500 1.457264 0.255996
22.000000 28.800000 25.508333 2.237062 0.265658
23.000000 28.800000 25.935833 1.460446 0.307405
24.000000 28.800000 26.215000 0.579651 0.019191
25.000000 28.800000 25.821667 1.722754 0.020883
26.000000 28.800000 25.618333 1.747226 0.313268
27.000000 29.200000 26.037500 0.535564 0.023951
28.000000 29.800000 25.917500 1.101533 0.022208
29.000000 31.000000 25.673333 1.851202 0.023875
30.000000 29.800000 26.222500 2.113333 0.034096
31.000000 29.800000 27.032500 1.379570 0.030010
32.000000 29.800000 26.600833 2.170012 0.030515
33.000000 29.800000 26.373333 1.156864 0.304333
34.000000 30.400000 26.450833 2.067464 0.021018
35.000000 30.400000 26.491667 1.177921 0.023486
36.000000 31.300000 26.092500 1.070538 0.361732
37.000000 31.300000 26.197500 0.139022 0.320251
38.000000 31.300000 25.955833 1.675315 0.262764
39.000000 31.300000 26.050000 1.025084 0.087798
40.000000 32.300000 26.394167 2.525271 0.018481
41.000000 34.500000 26.495833 2.696125 0.019904
42.000000 38.800000 27.045000 1.264673 0.016659
43.000000 38.800000 26.856667 0.048771 0.305719
44.000000 38.600000 26.752500 1.554396 0.027508
45.000000 37.400000 26.768333 1.127225 0.019857
46.000000 34.500000 26.442500 1.100886 0.347362
47.000000 32.300000 26.347500 3.003354 0.281870
48.000000 30.400000 25.820000 3.544593 0.217345
49.000000 34.600000 26.555000 1.781069 0.282902
50.000000 32.000000 26.245000 3.605033 0.143468
51.000000 32.000000 26.538333 1.357272 0.042487
52.000000 33.200000 26.458333 1.221752 0.032523
53.000000 33.200000 26.907500 2.460542 0.320455
54.000000 34.600000 27.571667 1.180269 0.118704
55.000000 32.000000 27.495833 1.388743 0.018266
56.000000 32.000000 27.098333 2.404431 0.018726
57.000000 30.800000 27.450000 0.956329 0.014234
58.000000 30.800000 26.413333 2.190378 0.014220
59.000000 30.800000 27.558333 1.499280 0.015290
60.000000 30.900000 27.425000 1.526213 0.244429
61.000000 33.100000 27.462500 1.968691 0.034957
62.000000 34.600000 27.256667 2.817495 0.028448
63.000000 35.600000 27.569167 2.822153 0.306140
64.000000 34.600000 26.490833 2.936793 0.020930
65.000000 34.600000 26.099167 3.128949 0.020387
66.000000 30.800000 27.097500 2.714506 0.019334
67.000000 33.800000 27.845833 3.110237 0.017235
68.000000 38.500000 26.432500 2.136066 0.016532
69.000000 38.800000 29.174167 1.191732 0.013935
70.000000 38.800000 30.481667 1.003024 0.015078
71.000000 38.800000 30.650000 2.879099 0.014080
72.000000 38.800000 31.575833 1.516965 0.014389
73.000000 38.800000 30.450000 1.348490 0.301641
74.000000 38.800000 30.215000 1.565346 0.309525
75.000000 38.800000 30.387500 1.831071 0.311435
76.000000 38.800000 29.975833 0.644081 0.196870
77.000000 38.800000 31.485000 1.605630 0.039785
78.000000 38.800000 32.191667 1.597053 0.040653
79.000000 38.800000 31.185000 1.459070 0.038218
80.000000 38.800000 33.826667 0.512980 0.015478
81.000000 38.800000 33.002500 2.141074 0.015675
82.000000 38.800000 32.547500 0.917433 0.016718
83.000000 38.800000 32.481667 2.153370 0.312299
84.000000 38.800000 31.474167 1.080169 0.019118
85.000000 38.800000 32.111667 0.719297 0.021532
86.000000 38.800000 32.435000 1.483629 0.304777
87.000000 38.800000 32.614167 0.940358 0.014738
88.000000 38.800000 32.305000 0.748514 0.016307
89.000000 38.800000 32.987500 0.125301 0.014114
90.000000 38.800000 33.596667 0.400478 0.015280
91.000000 38.800000 33.955833 0.824077 0.016373
92.000000 38.800000 35.238333 0.274267 0.013940
93.000000 38.800000 34.751667 0.968344 0.033772
94.000000 38.800000 34.334167 0.277104 0.015985
95.000000 38.800000 34.847500 0.765744 0.013941
96.000000 38.800000 35.018333 0.769732 0.233413
97.000000 38.800000 34.870833 1.048562 0.217249
98.000000 38.800000 35.646667 1.557042 0.111288
99.000000 38.800000 34.843333 0.953282 0.012798
