# gen best mean std diversity
0.000000 84.209262 18.800126 3.486002 0.427523
1.000000 74.307916 19.344935 2.878697 0.064700
2.000000 86.551733 26.919754 3.508144 0.451808
3.000000 86.551733 31.153741 6.589709 0.389732
4.000000 66.361645 38.998211 4.880149 0.465694
5.000000 84.950607 32.103036 4.972312 0.311982
6.000000 84.950607 34.373857 4.137047 0.463482
7.000000 86.846267 46.417620 7.330641 0.282004
8.000000 86.223229 34.826565 7.259765 0.435183
9.000000 86.590119 37.996204 7.098494 0.326277
10.000000 85.250607 39.689687 4.842247 0.386662
11.000000 85.250607 43.036056 4.429324 0.233313
12.000000 75.470571 33.262226 4.226135 0.356996
13.000000 75.470571 41.578900 6.320846 0.190076
14.000000 86.695982 37.867189 4.339846 0.225025
15.000000 85.757040 50.562880 4.408614 0.167844
16.000000 88.048354 41.875024 8.509480 0.299276
17.000000 88.168354 43.392295 6.053369 0.132162
18.000000 86.742547 48.261145 5.347676 0.297196
19.000000 85.004258 46.373429 6.340908 0.104535
20.000000 85.157040 53.642532 4.648260 0.265037
21.000000 84.812892 49.202277 2.979308 0.178556
22.000000 75.515203 38.811583 3.526559 0.266951
23.000000 75.620103 45.872413 1.256130 0.071283
24.000000 84.670040 43.075465 0.960900 0.284548
25.000000 86.322547 58.539515 2.875691 0.180315
26.000000 84.711655 48.876122 1.494148 0.282999
27.000000 84.884258 57.621806 1.953298 0.149506
28.000000 84.711655 56.787305 1.278595 0.262326
29.000000 87.336796 60.813263 3.448478 0.163536
30.000000 84.711655 56.070839 4.057302 0.298831
31.000000 84.865189 50.158097 3.359669 0.161628
32.000000 75.228559 48.632691 3.321508 0.197045
33.000000 84.211054 43.567738 2.917735 0.052912
34.000000 84.363942 54.913475 2.242806 0.091245
35.000000 84.884258 52.334193 3.432823 0.059994
36.000000 87.272828 58.332808 4.072492 0.297051
37.000000 87.272828 60.975268 4.230545 0.231361
38.000000 84.745189 60.329461 4.804745 0.335388
39.000000 75.213103 55.241453 2.652115 0.176420
40.000000 85.057949 55.974381 3.389653 0.223411
41.000000 85.057949 54.523705 3.070173 0.129713
42.000000 85.806190 56.403781 3.277372 0.038659
43.000000 86.194547 52.499483 3.332609 0.030799
44.000000 86.376168 60.108932 4.285883 0.232444
45.000000 75.213103 54.916677 3.555875 0.186835
46.000000 75.213103 49.598634 2.611056 0.266918
47.000000 86.177040 54.368120 2.397552 0.143013
48.000000 86.177040 59.492998 6.965638 0.261315
49.000000 75.216175 52.271054 4.074241 0.217535
50.000000 75.237949 53.234648 2.279209 0.308212
51.000000 85.211917 51.643731 4.332062 0.216600
52.000000 85.331917 56.686299 3.226001 0.230833
53.000000 85.619681 46.736596 3.459875 0.114016
54.000000 86.627427 51.786457 3.308509 0.280573
55.000000 75.203942 55.322454 3.105559 0.180561
56.000000 75.210040 58.718774 2.221523 0.242392
57.000000 84.944258 60.456550 2.644961 0.198120
58.000000 84.944258 59.681668 2.415468 0.166971
59.000000 84.944258 59.794061 3.334058 0.079125
60.000000 75.225448 58.095075 3.340730 0.265537
61.000000 85.394638 65.594814 1.913184 0.183118
62.000000 75.222348 61.770041 4.468906 0.256922
63.000000 75.216175 61.807924 4.913560 0.156439
64.000000 75.213103 57.153407 2.887300 0.174397
65.000000 75.213103 49.984895 1.815189 0.109886
66.000000 75.213103 56.236614 2.730829 0.291645
67.000000 84.944258 61.863601 1.345891 0.170409
68.000000 84.944258 59.367702 1.786430 0.177040
69.000000 84.944258 63.059180 2.116089 0.065525
70.000000 84.824258 59.873724 2.779382 0.217522
71.000000 84.884258 57.154103 3.585946 0.159519
72.000000 75.191858 57.148207 5.065055 0.245929
73.000000 75.203942 54.641216 3.195856 0.191801
74.000000 75.203942 49.438520 1.326253 0.228840
75.000000 75.213103 55.511868 2.258531 0.132061
76.000000 75.213103 64.132093 3.717063 0.256194
77.000000 75.203942 63.174497 4.485553 0.176543
78.000000 75.273152 63.951787 4.630823 0.258562
79.000000 85.064258 62.164307 1.968540 0.179821
80.000000 85.064258 62.759667 3.524680 0.172802
81.000000 75.225448 62.044060 3.828657 0.032559
82.000000 84.814809 59.925456 7.490318 0.099910
83.000000 84.884258 56.843195 3.277282 0.025827
84.000000 84.884258 63.796221 4.195906 0.259303
85.000000 85.124258 53.788511 5.096870 0.168319
86.000000 85.124258 62.548211 5.655331 0.248561
87.000000 84.764258 65.936248 4.030436 0.188146
88.000000 75.213103 61.209535 2.681254 0.246021
89.000000 84.644258 66.831846 3.936585 0.186562
90.000000 84.210040 63.541241 4.307281 0.141610
91.000000 75.210040 59.079896 2.160706 0.093329
92.000000 75.213103 59.074202 2.378670 0.235758
93.000000 75.228559 63.358468 1.621007 0.186621
94.000000 75.222348 59.734409 2.034475 0.138808
95.000000 84.293532 62.083840 2.722087 0.088586
96.000000 75.234809 65.029532 1.720101 0.125028
97.000000 75.225448 61.265097 2.799376 0.084926
98.000000 84.944258 61.097994 3.880176 0.198630
99.000000 75.194865 58.290948 2.651766 0.160561
