,gen,best,mean,sd,med,worst
0,0,-70.0,-97.6,6.8,-100.0,-100.0
1,1,-60.0,-95.69948186528498,8.91251956030861,-100.0,-100.0
2,2,-60.0,-95.43147208121827,9.475676816590425,-100.0,-100.0
3,3,-60.0,-94.89795918367346,10.276275228396843,-100.0,-100.0
4,4,-60.0,-94.14507772020725,10.841280210389233,-100.0,-100.0
5,5,-60.0,-94.08376963350786,10.83301616323933,-100.0,-100.0
6,6,-60.0,-93.95833333333333,11.224894827520163,-100.0,-100.0
7,7,-60.0,-94.09326424870466,11.305077323154594,-100.0,-100.0
8,8,-60.0,-93.38541666666667,11.614349773436404,-100.0,-100.0
9,9,-60.0,-93.52331606217616,11.60760539445449,-100.0,-100.0
10,10,-60.0,-93.8265306122449,11.300646098744217,-100.0,-100.0
11,11,-40.0,-93.55670103092784,11.850850656461397,-100.0,-100.0
12,12,-40.0,-93.96907216494846,11.586477728344857,-100.0,-100.0
13,13,-40.0,-93.78238341968913,11.945224749635756,-100.0,-100.0
14,14,-40.0,-93.24742268041237,12.529166737282237,-100.0,-100.0
15,15,-40.0,-92.53807106598985,13.04637656427556,-100.0,-100.0
16,16,-40.0,-92.07070707070707,13.679412035663855,-100.0,-100.0
17,17,-40.0,-92.84263959390863,13.368673479294637,-100.0,-100.0
18,18,-40.0,-92.32323232323232,13.508566891090869,-100.0,-100.0
19,19,-30.0,-93.06122448979592,13.80684267394518,-100.0,-100.0
20,20,-30.0,-92.70408163265306,14.009260190865788,-100.0,-100.0
21,21,-30.0,-83.15436241610739,17.72599987513688,-90.0,-100.0
22,22,-30.0,-83.4,18.43294152687881,-90.0,-100.0
23,23,-30.0,-83.35526315789474,19.56581601951974,-90.0,-100.0
24,24,-30.0,-82.68456375838926,19.68308893213574,-90.0,-100.0
25,25,-30.0,-83.53333333333333,19.153299686709047,-90.0,-100.0
26,26,-20.0,-80.0,20.396078054371138,-85.0,-100.0
27,27,-20.0,-79.0728476821192,21.231957463185562,-90.0,-100.0
28,28,-20.0,-78.67549668874172,21.765623807283532,-80.0,-100.0
29,29,-20.0,-79.67105263157895,21.380566777662185,-90.0,-100.0
30,30,-10.0,-79.46666666666667,22.443608345262923,-90.0,-100.0
31,31,-10.0,-80.13513513513513,23.480483168934224,-90.0,-100.0
32,32,-10.0,-76.64429530201342,23.732591309741395,-80.0,-100.0
33,33,-10.0,-78.85906040268456,23.786810437614566,-90.0,-100.0
34,34,-10.0,-79.12751677852349,24.547799855103687,-90.0,-100.0
35,35,-10.0,-76.2,25.236745696173532,-90.0,-100.0
36,36,-10.0,-80.73333333333333,23.751397619695748,-90.0,-100.0
37,37,-10.0,-78.4,24.98212694441101,-90.0,-100.0
38,38,-10.0,-79.13333333333334,24.60180661839469,-90.0,-100.0
39,39,-10.0,-79.32885906040268,24.92039485855532,-90.0,-100.0
40,40,-10.0,-77.9054054054054,24.611944429878562,-85.0,-100.0
41,41,-10.0,-79.93333333333334,24.34465490045448,-90.0,-100.0
42,42,-10.0,-78.66666666666667,25.024432505497945,-90.0,-100.0
43,43,-10.0,-76.71140939597315,24.995112354973802,-80.0,-100.0
44,44,-10.0,-74.53333333333333,25.835032202203443,-80.0,-100.0
45,45,-10.0,-75.73333333333333,24.504330683008302,-80.0,-100.0
46,46,-10.0,-77.73333333333333,25.77199168779075,-90.0,-100.0
47,47,-10.0,-76.75496688741723,25.25498229971996,-80.0,-100.0
48,48,-10.0,-75.03355704697987,24.319577030547475,-80.0,-100.0
49,49,-10.0,-74.02684563758389,25.034726568215195,-80.0,-100.0
50,50,-10.0,-76.0,25.45584412271571,-80.0,-100.0
51,51,-10.0,-73.75838926174497,23.58695208828216,-70.0,-100.0
52,52,-10.0,-75.63758389261746,25.312069637432067,-80.0,-100.0
53,53,-10.0,-71.6,24.333242008961047,-70.0,-100.0
54,54,-10.0,-75.50335570469798,24.45201413893455,-80.0,-100.0
55,55,-10.0,-71.06666666666666,23.470454239793106,-70.0,-100.0
56,56,-10.0,-72.33333333333333,25.778975067980408,-70.0,-100.0
57,57,-10.0,-75.33333333333333,22.939534045447004,-70.0,-100.0
58,58,-10.0,-73.0,22.9128784747792,-70.0,-100.0
59,59,-10.0,-71.73333333333333,21.96198736200549,-70.0,-100.0
60,60,8.200000000000232,-72.07866666666666,25.082146603156247,-70.0,-100.0
61,61,8.200000000000232,-67.27866666666667,25.311972362676308,-70.0,-100.0
62,62,8.200000000000232,-70.812,25.115246153150352,-70.0,-100.0
63,63,8.200000000000232,-72.612,25.71534670192102,-70.0,-100.0
64,64,8.200000000000232,-72.27866666666667,23.51402301228402,-70.0,-100.0
65,65,8.200000000000232,-68.612,24.539255408426726,-70.0,-100.0
66,66,8.200000000000232,-70.07866666666666,23.750692864747247,-70.0,-100.0
67,67,8.200000000000232,-68.424,25.411009897286657,-70.0,-100.0
68,68,8.200000000000232,-69.75733333333334,27.400930268068564,-70.0,-100.0
69,69,8.200000000000232,-70.89066666666668,25.273370298047364,-70.0,-100.0
70,70,8.200000000000232,-72.62400000000001,26.038135314700767,-70.0,-100.0
71,71,8.200000000000232,-70.89066666666668,24.928094850768066,-70.0,-100.0
72,72,8.200000000000232,-68.49066666666667,25.164626884224266,-70.0,-100.0
73,73,8.200000000000232,-67.35733333333333,27.517621861070943,-70.0,-100.0
74,74,8.200000000000232,-71.43599999999999,24.9447931240169,-70.0,-100.0
75,75,8.200000000000232,-71.75733333333334,24.544822527141836,-70.0,-100.0
76,76,8.200000000000232,-68.224,26.186173654557994,-70.0,-100.0
77,77,8.200000000000232,-67.40133333333333,26.230399632656944,-70.0,-100.0
78,78,8.200000000000232,-65.89066666666668,26.570345240930212,-70.0,-100.0
79,79,8.200000000000232,-69.29066666666667,25.671645439191387,-70.0,-100.0
80,80,8.200000000000232,-66.024,24.63861381382214,-70.0,-100.0
81,81,8.200000000000232,-70.29066666666667,27.13150775185355,-70.0,-100.0
82,82,8.200000000000232,-70.55733333333333,25.79197380754116,-70.0,-100.0
83,83,8.200000000000232,-64.89066666666668,23.8627585627107,-70.0,-100.0
84,84,8.200000000000232,-69.29066666666667,25.82698936298143,-70.0,-100.0
85,85,8.200000000000232,-76.09066666666666,26.021279360468732,-85.0,-100.0
86,86,8.200000000000232,-69.49066666666667,25.99891881512683,-70.0,-100.0
87,87,8.200000000000232,-69.024,24.924899678835228,-70.0,-100.0
88,88,8.200000000000232,-71.224,24.846965421690175,-70.0,-100.0
89,89,8.200000000000232,-70.35733333333333,24.887925711521696,-70.0,-100.0
90,90,8.200000000000232,-72.62400000000001,24.93961689093614,-70.0,-100.0
91,91,8.200000000000232,-71.49066666666667,24.151903573470612,-70.0,-100.0
92,92,8.200000000000232,-70.20133333333332,25.273432656096066,-70.0,-100.0
93,93,8.200000000000232,-74.89066666666668,23.88063189188167,-70.0,-100.0
94,94,8.200000000000232,-71.49066666666667,26.91928267163811,-70.0,-100.0
95,95,8.200000000000232,-70.49066666666667,25.57268946009048,-70.0,-100.0
96,96,8.200000000000232,-67.09066666666666,25.293061885733724,-70.0,-100.0
97,97,8.200000000000232,-71.95733333333334,25.891543913452182,-70.0,-100.0
98,98,8.200000000000232,-72.824,25.407903442301844,-70.0,-100.0
99,99,8.200000000000232,-70.62400000000001,26.31502404837714,-70.0,-100.0
