,gen,best,mean,sd,med,worst
0,0,21.90624979919324,-3.3902038907850747,6.164376819919668,-5.372958217905914,-6.842683282238422
1,1,48.067754812551996,-3.1886543856745817,7.484358685129838,-5.3706380281276624,-6.903747257584598
2,2,48.067754812551996,-3.201121829670496,7.474612563275493,-5.3706380281276624,-6.903747257584598
3,3,48.067754812551996,-3.1886543856745817,7.484358685129843,-5.3706380281276624,-6.903747257584598
4,4,48.067754812551996,-3.1952595378716078,7.472428300545691,-5.3706380281276624,-6.903747257584598
5,5,48.067754812551996,-3.195339846736489,7.472449155008214,-5.3706380281276624,-6.903747257584598
6,6,48.067754812551996,-3.166059471401839,7.481545303244951,-5.3706380281276624,-6.903747257584598
7,7,48.067754812551996,-3.1663586089685927,7.481283245862462,-5.3706380281276624,-6.903747257584598
8,8,48.067754812551996,-3.197822564327064,7.473218150593458,-5.3706380281276624,-6.903747257584598
9,9,48.067754812551996,-3.1886543856745817,7.484358685129843,-5.3706380281276624,-6.903747257584598
