gen,best,mean,sd
0,-30.09999999999987,-91.434,16.463000253092794
1,-30.09999999999987,-91.36699999999999,16.106665628449196
2,-30.09999999999987,-91.36699999999999,16.106665628449196
3,-30.09999999999987,-91.36699999999999,16.106665628449196
4,-30.09999999999987,-91.36699999999999,16.106665628449196
5,-30.09999999999987,-91.36699999999999,16.106665628449196
6,-30.09999999999987,-91.36699999999999,16.106665628449196
7,-30.09999999999987,-91.36699999999999,16.106665628449196
8,-30.09999999999987,-91.36699999999999,16.106665628449196
9,-30.09999999999987,-91.36699999999999,16.106665628449196
10,-30.09999999999987,-91.36699999999999,16.106665628449196
11,-30.09999999999987,-91.36699999999999,16.106665628449196
12,-30.09999999999987,-91.36699999999999,16.106665628449196
13,-30.09999999999987,-91.36699999999999,16.106665628449196
14,-30.09999999999987,-91.36699999999999,16.106665628449196
15,-30.09999999999987,-91.36699999999999,16.106665628449196
16,-30.09999999999987,-91.36699999999999,16.106665628449196
17,-30.09999999999987,-91.36699999999999,16.106665628449196
18,-30.09999999999987,-91.36699999999999,16.106665628449196
19,-30.09999999999987,-91.36699999999999,16.106665628449196
20,-30.09999999999987,-91.36699999999999,16.106665628449196
21,-29.399999999999856,-82.28399999999999,19.86816575999574
22,-19.099999999999856,-71.19933774834436,22.448686141848
23,-13.499999999999854,-68.77350993377482,24.243493568287512
24,-13.499999999999854,-63.43666666666664,24.923829070902347
25,-13.499999999999854,-65.6173333333333,26.79077141272514
26,-13.499999999999854,-61.57333333333331,24.79462755428194
27,-13.499999999999854,-63.16107382550332,27.925199010687436
28,-13.499999999999854,-60.9053333333333,24.594478476998802
29,-13.499999999999854,-58.80799999999997,26.943339362447304
30,-13.499999999999854,-56.12715231788075,27.238531662380353
31,5.400000000000091,-54.008609271523135,25.752271012559007
32,5.400000000000091,-52.213999999999956,25.663811174492427
33,5.400000000000091,-54.45333333333329,26.320368960602064
34,5.400000000000091,-59.37799999999997,28.479271690125824
35,5.400000000000091,-53.13642384105956,26.704164130582264
36,5.400000000000091,-53.94933333333329,24.71479920119841
37,5.400000000000091,-55.07718120805365,25.888835978004593
38,5.400000000000091,-51.948322147650956,26.368034349185905
39,15.0,-52.8192052980132,28.161675416820618
40,15.0,-53.90529801324499,28.27656411043115
41,15.0,-53.48486842105259,27.815316113770937
42,15.0,-53.17549668874168,28.20306912726009
43,15.0,-54.14701986754963,27.252660865159488
44,15.0,-53.19934210526312,29.04457666721454
45,15.0,-51.59133333333329,29.13668234755331
46,15.0,-54.4631578947368,28.37825725382983
47,15.0,-54.12133333333329,28.790735979169146
48,15.0,-57.32317880794698,31.315086273324855
49,15.0,-50.71066666666662,28.200444787666466
50,15.0,-53.646308724832174,29.15109337166879
51,15.0,-55.86148648648645,30.63798102966552
52,15.0,-54.1513333333333,29.474327216899983
53,15.0,-60.389999999999965,31.353349103405247
54,15.0,-54.23087248322144,31.249689178220954
55,15.0,-50.634899328859014,30.87771057291598
56,15.0,-48.63599999999995,27.912313364057372
57,15.0,-53.82185430463573,29.270177608340678
58,15.0,-53.442666666666625,31.003090914007664
59,15.0,-55.555999999999976,28.744146024306733
60,15.0,-50.78666666666663,26.52615229458576
61,15.0,-55.70266666666664,30.906432872282284
62,15.0,-53.99865771812077,29.488348254217968
63,15.0,-52.44999999999996,30.426391504744736
64,15.0,-52.69932432432428,27.322207818622662
65,15.0,-51.22980132450327,27.529480392644665
66,15.0,-53.31125827814566,28.925223400137536
67,15.0,-54.9533333333333,29.118868262501053
68,15.0,-52.89866666666663,28.998565451108515
69,15.0,-53.163087248322114,29.56439530353244
70,15.0,-56.644370860927125,28.250742557811865
71,15.0,-52.253642384105916,30.460524393642494
72,15.0,-52.05302013422814,28.74935320438945
73,15.0,-51.70599999999995,28.60254121577316
74,15.0,-53.13422818791942,30.00640596440955
75,15.0,-53.89333333333329,30.228564122182377
76,15.0,-51.13866666666662,27.55890125208595
77,15.0,-54.10733333333331,28.31146786884938
78,15.0,-51.09933333333331,24.11141499142865
79,15.0,-53.462913907284744,26.98344014095074
80,15.0,-55.36026490066222,27.679193609464612
81,15.0,-54.930666666666646,27.695099317789488
82,15.0,-58.13999999999998,27.91926216790124
83,15.0,-54.94266666666664,28.58549829701925
84,15.0,-56.274496644295276,27.832630539228806
85,15.0,-56.18066666666663,28.861708650428586
86,15.0,-54.57947019867547,28.033022905659784
87,15.0,-57.6573333333333,29.357121445324942
88,15.0,-52.16466666666663,26.95320917606827
89,15.0,-52.16821192052977,26.729212064658316
90,15.0,-50.37399999999997,26.004859622770546
