,gen,best,mean,sd,med,worst
0,0,-60.0,-94.76533333333333,9.977060266208468,-100.0,-100.0
1,1,-8.999999999999766,-91.59186046511627,13.738138351897582,-100.0,-100.0
2,2,-8.999999999999766,-90.42171428571429,14.593031112871133,-100.0,-100.0
3,3,-8.999999999999766,-89.77931034482758,15.025435430269692,-100.0,-100.0
4,4,-8.999999999999766,-88.97471264367815,15.703511712029274,-100.0,-100.0
5,5,-8.999999999999766,-90.06628571428571,15.74630860790905,-100.0,-100.0
6,6,-8.999999999999766,-89.37701149425287,16.73385790139967,-100.0,-100.0
7,7,-8.999999999999766,-88.12342857142856,19.504591978426475,-100.0,-100.0
8,8,-8.999999999999766,-88.57241379310344,18.5752194934831,-100.0,-100.0
9,9,-8.999999999999766,-88.57045454545454,18.517412929768852,-100.0,-100.0
10,10,-8.999999999999766,-87.47909604519774,19.017305923989202,-100.0,-100.0
11,11,4.600000000000234,-87.32471910112359,20.701776403714998,-100.0,-100.0
12,12,4.600000000000234,-87.00454545454545,21.566503431199383,-100.0,-100.0
13,13,4.600000000000234,-87.40444444444444,20.65949290068808,-100.0,-100.0
14,14,4.600000000000234,-87.12666666666667,20.663063126694905,-100.0,-100.0
15,15,4.600000000000234,-86.11011235955056,21.680644528666285,-100.0,-100.0
16,16,4.600000000000234,-86.79333333333332,21.04075304947258,-100.0,-100.0
17,17,4.600000000000234,-86.86629834254143,21.678444168029024,-100.0,-100.0
18,18,4.600000000000234,-86.07111111111111,22.883857699476227,-100.0,-100.0
19,19,24.400000000000247,-85.7054945054945,23.20122847560972,-100.0,-100.0
20,20,24.400000000000247,-86.4685082872928,22.00892216081632,-100.0,-100.0
21,21,24.400000000000247,-75.264,23.592476993030385,-80.0,-100.0
22,22,24.400000000000247,-75.99602649006621,24.990079835236315,-80.0,-100.0
23,23,24.400000000000247,-74.996,24.73895141943843,-80.0,-100.0
24,24,29.80000000000026,-68.83355704697986,27.571509492038448,-70.0,-100.0
25,25,29.80000000000026,-73.49054054054052,29.88829956787721,-80.0,-100.0
26,26,29.80000000000026,-73.29798657718119,30.316829157652986,-80.0,-100.0
27,27,29.80000000000026,-68.9135135135135,31.84851952231584,-80.0,-100.0
28,28,32.80000000000027,-70.63466666666665,30.63851821192117,-80.0,-100.0
29,29,32.80000000000027,-69.37466666666664,33.3183136561395,-80.0,-100.0
30,30,32.80000000000027,-72.01199999999997,33.43839095012404,-80.0,-100.0
31,31,35.800000000000274,-71.3456953642384,33.260185882129754,-80.0,-100.0
32,32,35.800000000000274,-72.43841059602647,33.401540316084876,-80.0,-100.0
33,33,35.800000000000274,-73.36688741721852,34.090649942332284,-90.0,-100.0
34,34,35.800000000000274,-70.30860927152315,32.845492076105465,-80.0,-100.0
35,35,35.800000000000274,-72.05921052631577,33.59139801242822,-80.0,-100.0
36,36,35.800000000000274,-67.88933333333331,35.483183146699595,-80.0,-100.0
37,37,35.800000000000274,-71.14078947368418,34.44103915859833,-80.0,-100.0
38,38,35.800000000000274,-67.61059602649004,33.72338421171745,-80.0,-100.0
39,39,35.800000000000274,-68.92399999999998,35.06734602637241,-80.0,-100.0
40,40,35.800000000000274,-67.47066666666663,35.47310069459524,-80.0,-100.0
41,41,35.800000000000274,-66.27785234899326,36.668247598771075,-80.0,-100.0
42,42,35.800000000000274,-69.93066666666664,37.05268311772073,-80.0,-100.0
43,43,35.800000000000274,-67.04666666666662,38.144570022772925,-80.0,-100.0
44,44,41.20000000000029,-71.91599999999997,36.43441794054999,-80.0,-100.0
45,45,47.2000000000003,-66.43466666666663,38.66912461153249,-80.0,-100.0
46,46,47.2000000000003,-64.78815789473681,37.38477197408084,-80.0,-100.0
47,47,47.2000000000003,-68.85960264900659,36.247609062612995,-80.0,-100.0
48,48,47.2000000000003,-69.38389261744965,37.738368254851835,-80.0,-100.0
49,49,47.2000000000003,-70.09599999999998,38.164330432137,-90.0,-100.0
