,gen,best,mean,sd,med,worst
0,0,30.0,1.3333333333333333,5.497474167490214,0.0,0.0
1,1,30.0,2.824858757062147,7.1258147007582195,0.0,0.0
2,2,30.0,3.9226519337016574,8.248528121529775,0.0,0.0
3,3,30.0,4.891304347826087,9.382519038939812,0.0,0.0
4,4,40.0,6.0,10.714980672442243,0.0,0.0
5,5,40.0,5.10752688172043,10.119673552462903,0.0,0.0
6,6,40.0,5.513513513513513,10.339171438447144,0.0,0.0
7,7,40.0,5.828877005347594,10.931611440469656,0.0,0.0
8,8,40.0,6.470588235294118,11.298238998481732,0.0,0.0
9,9,40.0,6.935483870967742,11.721046644531718,0.0,0.0
10,10,40.0,7.336956521739131,11.931668834325846,0.0,0.0
11,11,40.0,7.663043478260869,12.356812215476305,0.0,0.0
12,12,40.0,7.292817679558011,12.071033009524722,0.0,0.0
13,13,40.0,7.135135135135135,12.342329190497365,0.0,0.0
14,14,40.0,7.1891891891891895,12.11172725834031,0.0,0.0
15,15,40.0,6.521739130434782,11.509427384303521,0.0,0.0
16,16,40.0,7.554347826086956,12.467230202514722,0.0,0.0
17,17,40.0,8.333333333333334,13.154036408461298,0.0,0.0
18,18,40.0,7.595628415300546,12.791321448017596,0.0,0.0
19,19,40.0,8.054054054054054,13.375948455274461,0.0,0.0
20,20,50.0,8.306010928961749,13.82459663301083,0.0,0.0
21,21,50.0,17.94701986754967,15.063568647247363,20.0,0.0
22,22,50.0,17.181208053691275,15.020368136077453,10.0,0.0
23,23,50.0,17.2972972972973,14.639570339406315,20.0,0.0
24,24,50.0,17.315436241610737,14.637951615381745,10.0,0.0
25,25,50.0,16.688741721854306,15.081318398664678,10.0,0.0
26,26,50.0,14.733333333333333,14.953111902060906,10.0,0.0
27,27,50.0,15.202702702702704,14.998630324610211,10.0,0.0
28,28,50.0,13.154362416107382,15.020668012658655,10.0,0.0
29,29,50.0,16.026490066225165,16.481154005385637,10.0,0.0
30,30,80.0,15.76158940397351,16.774195180808565,10.0,0.0
31,31,80.0,16.266666666666666,15.89744913150814,10.0,0.0
32,32,80.0,15.066666666666666,17.46412195203514,10.0,0.0
33,33,80.0,16.8,16.706086715126716,10.0,0.0
34,34,80.0,15.771812080536913,16.635903924972876,10.0,0.0
35,35,80.0,15.2,16.880758276807352,10.0,0.0
36,36,80.0,16.4,17.97331355092878,10.0,0.0
37,37,80.0,15.436241610738255,17.31985792355006,10.0,0.0
38,38,80.0,18.933333333333334,17.210332813619715,20.0,0.0
39,39,80.0,16.466666666666665,17.325767579597223,10.0,0.0
40,40,80.0,19.86577181208054,16.343074274851087,20.0,0.0
41,41,80.0,18.543046357615893,17.769583022286437,10.0,0.0
42,42,80.0,19.0,17.654083569153816,20.0,0.0
43,43,80.0,16.333333333333332,17.336538165261125,10.0,0.0
44,44,80.0,19.266666666666666,17.704864366106346,20.0,0.0
45,45,80.0,18.866666666666667,18.13051448678596,10.0,0.0
46,46,80.0,23.288590604026847,19.642542277951694,30.0,0.0
47,47,80.0,20.333333333333332,18.49023766447822,20.0,0.0
48,48,80.0,20.266666666666666,19.423239230937313,20.0,0.0
49,49,80.0,18.543046357615893,18.99450429384015,10.0,0.0
