,gen,best,mean,sd,med,worst
0,0,53.158584779146736,3.69129049986355,15.620354509642233,-5.210208616267112,-5.956240681873067
1,1,53.158584779146736,6.854724173844769,17.65406697751225,-5.145799740771093,-5.956240681873067
2,2,53.158584779146736,7.65247270742123,17.95049556908351,-5.078826359259205,-5.82788877791383
3,3,53.158584779146736,9.048956691312293,18.749018626370372,-5.014874141479249,-5.82788877791383
4,4,53.158584779146736,8.37931553913219,18.521900794859114,-5.019981268312851,-5.82788877791383
5,5,53.158584779146736,8.964374448425016,19.048564088459035,-5.029136030941144,-5.82788877791383
6,6,53.158584779146736,9.472413679358379,19.284998152308717,-5.000612252017353,-5.82788877791383
7,7,53.158584779146736,9.621841205584216,19.781894007578643,-5.029136030941144,-5.82788877791383
8,8,53.158584779146736,9.742626027508077,20.092665812272998,-5.031338688361683,-5.82788877791383
9,9,53.158584779146736,9.429003293210377,19.897357197019456,-5.0747039048083495,-5.82788877791383
10,10,53.158584779146736,10.22176881971552,20.241755739876268,-5.000612252017353,-5.82788877791383
11,11,53.158584779146736,9.688813307787711,19.769050955422486,-5.029136030941144,-5.82788877791383
12,12,53.158584779146736,10.073854638289074,20.334066593245453,-5.029136030941144,-5.82788877791383
13,13,53.158584779146736,9.20414885112206,19.8487630852381,-5.0747039048083495,-5.82788877791383
14,14,60.17625065610084,10.071517726065345,20.342734149545294,-5.019981268312851,-5.82788877791383
15,15,60.17625065610084,8.961023619701836,19.79022956770957,-5.0747039048083495,-5.82788877791383
16,16,60.17625065610084,9.98267058015041,20.414485756988512,-5.029136030941144,-5.82788877791383
17,17,60.17625065610084,10.248309587051985,20.53888789547476,-5.019981268312851,-5.82788877791383
18,18,60.17625065610084,10.606336731459304,20.775807641150024,-5.000612252017353,-5.82788877791383
19,19,60.17625065610084,10.175002477489922,20.387277343433553,-5.019981268312851,-5.82788877791383
20,20,60.17625065610084,11.284790441461544,21.23972625978576,-4.999886365756042,-5.82788877791383
21,21,60.17625065610084,22.667029311476803,22.279723036991754,30.494185576958465,-5.856565813887359
22,22,60.17625065610084,23.910086082458683,22.108732064510747,30.814751629464993,-5.859103122760381
23,23,60.17625065610084,28.3307659759516,21.098569953665418,35.85271989780174,-5.850893897691302
24,24,63.90814628926275,33.83661194538262,18.326515257116473,42.180439478488566,-6.012554374257342
25,25,63.90814628926275,31.805712027996275,19.822684269268123,39.99085552095514,-5.9257699899795355
26,26,63.90814628926275,29.123741820744055,21.970196287070884,37.12785589441131,-5.692102206435555
27,27,63.90814628926275,34.63853724553952,18.938659757640963,42.40625058777035,-5.86682278555358
28,28,63.90814628926275,32.363233410290356,21.37989909159277,42.32674465387014,-5.902490729536813
29,29,67.05286197201947,33.162331558490905,19.70869844332472,42.36428913730133,-5.893954244966896
30,30,67.05286197201947,35.95423783601298,18.57953447432175,43.93815578954408,-5.873716155089599
31,31,67.05286197201947,34.48350642032063,19.98832144753301,42.88534726209855,-5.744982040893463
32,32,67.05286197201947,33.37214540293595,20.424524361893393,42.476559031262035,-5.891673735143806
33,33,67.05286197201947,33.3890977442856,19.877016547740794,39.0009053832527,-5.847256601195409
34,34,67.05286197201947,33.892623661654795,21.499631467214165,42.48235948564078,-5.940347907781597
35,35,67.05286197201947,34.19004714004547,20.401132794567125,42.46306859427911,-5.892042004254736
36,36,73.49183008488995,34.10850393571823,20.41750639282866,42.18706759722884,-5.967019992885929
37,37,73.49183008488995,34.760487963741454,20.820520264206866,42.794027852475054,-5.898076995727134
38,38,73.49183008488995,32.174228906678074,20.95134717580099,37.85696381359932,-5.928630138095431
39,39,73.49183008488995,31.36291244687036,21.504267500385296,35.225590631347,-5.778349862598176
40,40,73.49183008488995,34.50930772029864,20.754954393352488,42.505325319637635,-5.947418557582416
41,41,73.49183008488995,35.40581305230343,18.825750658750266,42.39487839863796,-5.8299436748773275
42,42,73.49183008488995,33.265414590242315,19.857616820001535,39.927015571804006,-5.8594020986958935
43,43,73.49183008488995,33.94401850887744,20.377300194056964,42.67539832755286,-5.901051048642776
44,44,73.49183008488995,35.54482607912363,19.944967600773886,44.675030000465156,-5.899852005576903
45,45,78.42419845850374,33.42738802635225,20.648592771582198,39.11354950787772,-5.768714974114157
46,46,78.42419845850374,36.482000917021026,18.56613223584123,43.608177898346035,-5.692076145164494
47,47,78.42419845850374,35.83812667393706,19.93351712070691,42.25426858723978,-5.774685294713952
48,48,78.42419845850374,35.89472514634142,19.66720427757795,42.476319030312084,-5.91246802453765
49,49,78.42419845850374,35.23408300052239,20.82147854696535,43.735584239739666,-5.898712320084302
50,50,78.42419845850374,35.49482395585409,19.91360443691681,42.44911021678602,-5.982204522296508
51,51,78.42419845850374,36.692046625502925,18.69016107980873,42.496176469775705,-5.957345403879649
52,52,78.42419845850374,35.43410315948761,21.020107683038507,44.56481914015709,-6.007321969689898
53,53,78.42419845850374,35.60555853237574,20.156685718716226,43.498489789720814,-5.92966127204884
54,54,78.42419845850374,36.414300436023815,18.35118760272191,42.48235948564078,-5.907170500524061
55,55,78.42419845850374,34.09350703998666,20.156515565192745,41.11352809894112,-5.722928494957895
56,56,78.42419845850374,35.71707708688752,19.923103360919384,43.88019804935453,-5.741109384125115
57,57,79.51310062818104,35.93372799046059,20.702026727012218,44.478262352822746,-5.903301687177095
58,58,79.51310062818104,35.168032117058964,20.07792613313203,42.4648190409678,-5.981494281524028
59,59,79.51310062818104,35.68845005714465,20.66232527978843,43.10472536543049,-5.835380715733695
60,60,79.51310062818104,32.11658397609702,20.93713929840251,37.06753834845617,-5.828018119786805
61,61,79.51310062818104,34.030920127301904,20.249348090770415,39.693926678146596,-5.889636855884318
62,62,79.51310062818104,35.548638961263,19.44625159718654,42.25719259718058,-5.735474687607721
63,63,79.51310062818104,32.190084508259936,22.357772056598264,41.598880185135684,-5.95581957282165
64,64,79.51310062818104,34.232730693451536,21.221120088958486,42.36301351013027,-5.907170500524061
65,65,79.51310062818104,32.95762840878351,21.219066739711813,39.019939748898096,-5.731557851634597
66,66,79.51310062818104,38.311734729940014,17.669700293723654,42.42942832335649,-5.970319374208751
67,67,79.51310062818104,32.293738718925766,20.98581250741459,37.184578525780736,-5.879890721881929
68,68,79.51310062818104,33.35734384983334,20.193089677015298,35.181329623150745,-5.933515738935029
69,69,79.51310062818104,33.500322191290586,20.16411387700916,34.87429168036613,-5.9520738115567475
70,70,79.51310062818104,33.982901789065494,20.339648238912037,41.09046944238767,-5.859203499333511
71,71,79.51310062818104,30.551428125821573,21.837419101692635,34.83007303930364,-6.00228789144209
72,72,79.51310062818104,35.97879815159786,20.244435907879637,41.81577508941248,-5.916072106723847
73,73,79.51310062818104,32.56978313496415,20.715533012113468,36.837460379623735,-5.796124878752142
74,74,79.51310062818104,35.39859796886958,20.05148346189221,41.31979098681268,-5.6975445696823765
75,75,79.51310062818104,32.72873916296559,22.09508234987133,38.231187210247526,-5.97939149459694
76,76,79.51310062818104,31.459415470583625,21.60349316030356,34.83007303930364,-5.927284354923361
77,77,79.51310062818104,31.62497159105799,22.05058824428597,35.157835606667625,-5.961704169335174
78,78,79.51310062818104,32.52155291499529,21.17798542146203,34.83007303930364,-5.928468325166625
79,79,79.51310062818104,32.58355950145137,19.994692288134566,34.83007303930364,-5.957829553715149
80,80,79.51310062818104,35.00511963601753,20.421275157523738,39.162291040516564,-6.1144348207271095
81,81,79.51310062818104,34.8026568277746,21.447291637866353,39.355098795725766,-5.904912129249644
82,82,79.51310062818104,32.362181323313116,21.63790171017078,36.94452923913734,-6.022955166205239
83,83,79.51310062818104,33.46562025367759,20.224097476191297,34.83007303930364,-5.927137596348805
84,84,79.51310062818104,34.986879506237784,18.39116676670475,34.83007303930364,-6.0119078428516355
85,85,79.51310062818104,32.75117800004072,20.741668375538282,34.83007303930364,-5.99347174201711
86,86,79.51310062818104,30.310051241722242,22.79331490401047,34.83007303930364,-5.929997381920984
87,87,79.51310062818104,36.84570272237832,18.75924268417947,42.485391557142464,-5.889683496196396
88,88,79.51310062818104,35.448820977667225,20.546008732799542,41.55768486112004,-5.9976812149515295
89,89,79.51310062818104,34.266378925584455,20.002712103260887,34.83007303930364,-5.8986760319892575
90,90,79.51310062818104,36.211547324434704,20.193577021591828,42.458317473252364,-5.81754822567068
91,91,79.51310062818104,32.87742597654743,21.106740918231193,34.83007303930364,-5.985561247319036
92,92,79.51310062818104,30.994786786529023,22.12436602811846,34.83007303930364,-5.897019981118843
93,93,79.51310062818104,32.76229602508503,21.594806296423258,34.83007303930364,-5.96046654304521
94,94,79.51310062818104,32.81577744787937,21.452531173542038,34.83007303930364,-5.986367254883775
95,95,79.51310062818104,32.097129998796554,23.27745059098674,34.83007303930364,-6.03659355836438
96,96,79.51310062818104,31.782066960649423,22.468191696126596,34.83007303930364,-5.970026922232338
97,97,79.51310062818104,35.346737739546306,20.73656147743903,39.03257981410013,-5.985375121516341
98,98,79.51310062818104,33.38648955358963,19.75208507610781,34.832658130656796,-5.991128728027217
99,99,79.51310062818104,32.196758533941804,19.39966949917894,34.83771337667879,-5.891022100971295
100,100,79.51310062818104,31.57250012561017,19.716501966081434,34.83007303930364,-5.986905902510433
101,101,79.51310062818104,30.470997222051597,20.984204218736778,34.83007303930364,-5.901680721926716
102,102,79.51310062818104,31.818115087159217,20.219163549477468,34.83257390073964,-5.675897831416438
103,103,79.51310062818104,29.364002128370625,21.916943171532754,34.82798865733883,-5.920986509479738
104,104,79.51310062818104,28.53099206580165,20.229745414880085,34.82281668552566,-5.900855725175462
105,105,79.51310062818104,32.67997559346772,20.110240831461134,34.83007303930364,-5.892042004254736
106,106,79.51310062818104,30.236884318999014,20.743816164345336,34.83007303930364,-5.677599199405965
107,107,79.51310062818104,31.02552781648459,19.66696463756411,34.83007303930364,-5.904052583294498
108,108,79.51310062818104,31.792058027343767,19.28124984696897,34.83007303930364,-5.93050499630858
109,109,79.51310062818104,29.46026745387995,20.762214836769754,34.83007303930364,-6.004794290044683
110,110,79.51310062818104,33.208361373687175,19.618533436562256,35.56678143327996,-5.829676315665653
111,111,79.51310062818104,33.43948134492958,19.202336071089423,37.109202099760594,-6.022955166205239
112,112,79.51310062818104,33.41111656031499,19.42955765039698,37.59602844612578,-5.912027802645157
113,113,79.51310062818104,31.460661231864893,20.456020764403647,34.83007303930364,-5.936650124445613
114,114,79.51310062818104,31.590813876504562,21.02792708200575,34.90523495028272,-5.940772597072603
115,115,79.51310062818104,34.73268826400819,19.9551491367841,42.824309115128706,-5.954219781264301
116,116,79.51310062818104,32.15800717879344,19.901710057390734,34.83007303930364,-5.99721856661726
117,117,79.51310062818104,31.929312339477054,21.418792322947443,34.96497690708692,-5.9045896845880215
118,118,79.51310062818104,32.443384548905996,20.567035847947214,35.74788977863519,-5.986144799192752
119,119,79.51310062818104,30.234874052523665,20.931136687883686,34.83007303930364,-5.990746780763192
120,120,79.51310062818104,32.21786300698852,20.82924286346178,39.682658322044105,-5.898638836323007
121,121,79.51310062818104,32.550278966546585,18.673850214456813,34.83007303930364,-5.819031023073028
122,122,79.51310062818104,33.64878926232488,20.286905726009532,39.91963702355173,-5.839318271945233
123,123,79.51310062818104,35.447487203816976,18.240640426884372,41.93827933532263,-5.981178471773399
124,124,79.51310062818104,32.5761393634726,20.00438843705291,34.83007303930364,-5.896693301212494
125,125,79.51310062818104,33.36580327535137,21.277442233757032,42.48235948564078,-5.935636163089657
126,126,79.51310062818104,30.176570335422774,21.99408653201528,34.83007303930364,-6.004268309578286
127,127,79.51310062818104,32.434279928072826,20.405616159079965,35.1342059697748,-5.894378469859295
128,128,79.51310062818104,30.34696589496262,20.883633487820195,34.83007303930364,-5.931011582094888
129,129,79.51310062818104,33.491664541606355,19.891801173454034,35.12153743060786,-5.927443733568554
130,130,79.51310062818104,30.610019197509132,21.161342158590244,34.833430068470335,-5.981178471773399
131,131,79.51310062818104,29.456491908888754,20.66594239450907,34.83007303930364,-5.890213640643612
132,132,79.51310062818104,31.889821808465847,21.026556825450488,41.37556866822166,-5.908849693378123
133,133,79.51310062818104,31.598990078319165,21.12506678468751,36.1690340607735,-5.889683496196396
134,134,79.51310062818104,32.029455097130786,21.422060142462144,37.19841325783597,-5.896116599688015
135,135,79.51310062818104,31.493252785301944,20.886277179621356,39.143163704958255,-5.979694787893446
136,136,79.51310062818104,31.51297960103145,20.752024135614853,39.64691272832627,-5.939312028166546
137,137,79.51310062818104,29.548254524253966,20.91989066522953,34.83007303930364,-5.893212966582842
138,138,79.51310062818104,32.85928500619833,20.157586925194963,41.094019443865946,-5.981178471773399
139,139,79.51310062818104,31.33369857808276,21.886052772883236,40.31388660633132,-5.929488734746537
140,140,79.51310062818104,32.111188112239624,21.166247342316165,41.84609811340743,-5.762557116444352
141,141,79.51310062818104,31.948394601860638,23.28965269243408,43.60711297884305,-5.98656956118654
142,142,79.51310062818104,37.472651065313954,19.759948410535426,44.770940478043464,-5.979113131742208
143,143,79.51310062818104,31.81017947731887,22.403543519571357,41.07869383542,-5.890865531495383
144,144,79.51310062818104,32.917126246146196,22.031690590818236,43.67519900936849,-5.9749558929044495
145,145,79.51310062818104,31.111656141954658,22.80248797641659,43.40281849409895,-6.040704817846029
146,146,79.51310062818104,35.441925279615496,21.313046408244777,44.726649468843064,-5.985791955582942
147,147,79.51310062818104,33.306942726411656,20.93887090594113,36.641797509277254,-5.973325836275467
148,148,79.51310062818104,30.299898712478914,23.008427212056564,34.83007303930364,-5.982204522296508
149,149,79.51310062818104,33.148111715879,21.38793022574741,39.232727672138815,-5.973325836275467
150,150,79.51310062818104,34.63857368537056,21.014713878885136,43.62333657102339,-5.927956554261193
151,151,79.51310062818104,33.575563500108224,22.249626523871616,44.726326888018875,-5.909659426812576
152,152,79.51310062818104,32.57906905891145,21.56485446965624,37.87325689875868,-5.977297830405349
153,153,79.51310062818104,30.312570866723455,23.68571632066208,41.71246694156787,-6.035513559135779
154,154,79.51310062818104,33.10856765751673,21.362117360550748,35.889970955308755,-5.897684397625715
155,155,79.51310062818104,34.28916040679606,20.559701528826796,42.48528349558158,-5.910948038364688
156,156,79.51310062818104,33.37405147262987,21.809358631059798,41.34045386987091,-5.961699280595001
157,157,79.51310062818104,34.17874567433001,21.610606763686548,42.48235948564078,-5.916149179586425
158,158,79.51310062818104,32.158730327687714,21.088597170188677,34.83007303930364,-5.788798457308943
159,159,79.51310062818104,36.971154689655805,19.765768119041525,44.7279481818242,-5.81694085028151
160,160,79.51310062818104,31.293129649043426,22.6182286651256,34.83007303930364,-5.987689725331979
161,161,79.51310062818104,32.176689965221506,21.93621200282439,34.83007303930364,-5.9749558929044495
162,162,79.51310062818104,33.94090511003219,21.865001828709868,43.65273493370219,-5.977879902845247
163,163,79.51310062818104,30.937048614207505,23.46640897504685,34.83007303930364,-5.910205095767398
164,164,79.51310062818104,30.246685354251962,23.67638342161764,34.83007303930364,-5.977879902845247
165,165,79.51310062818104,33.777924606382996,20.31976062801895,38.289665707793915,-5.913964272620773
166,166,79.51310062818104,32.71812149516155,21.10425461121355,34.83007303930364,-5.97203268048235
167,167,79.51310062818104,33.80648293314522,22.290196440638248,42.467499122201595,-5.976970992509729
168,168,79.51310062818104,34.76673306988924,21.472510679594468,42.449668931905876,-5.784757543699019
169,169,79.51310062818104,33.65978249591731,20.302116152286853,34.83007303930364,-5.8822226024919075
170,170,79.51310062818104,34.460103929987255,20.8480424913945,41.17401639524758,-5.976236230029338
171,171,79.51310062818104,31.931085978824132,21.49026800119655,34.83007303930364,-5.909459938732864
172,172,79.51310062818104,33.67943789992815,21.37711278695487,39.6677373598216,-5.897684397625715
173,173,79.51310062818104,32.883501337991824,21.390559922642737,34.83007303930364,-5.926283027881793
174,174,79.51310062818104,29.893921627442783,23.87032191774731,34.83007303930364,-5.911706764288477
175,175,79.51310062818104,33.82358024273062,21.52666436858072,42.02102664387695,-6.035173353384163
176,176,79.51310062818104,33.46594757624882,21.25662341338268,34.83007303930364,-5.928979050574075
177,177,79.51310062818104,31.975924769635117,22.511455239009795,36.96612396714384,-5.92023654229279
178,178,79.51310062818104,33.74076980313835,21.317780708925934,39.30084454019097,-5.900361001571804
179,179,79.51310062818104,30.49970680788901,21.994716529156918,34.83007303930364,-5.973209153241703
180,180,79.51310062818104,33.31817422862768,21.913246140527562,35.73125223928794,-5.908712554020773
181,181,79.51310062818104,29.873779488199308,22.99075448950006,34.83007303930364,-5.929488734746537
182,182,79.51310062818104,30.805830717225998,23.19570440333331,34.83007303930364,-5.784741099629643
183,183,79.51310062818104,27.844811331032986,22.64779281167616,34.70155996368506,-5.875803691571452
184,184,79.51310062818104,30.90385271440832,23.064029773845448,37.28082539818409,-5.907368465404602
185,185,79.51310062818104,31.709361971290857,22.55758929659818,34.83007303930364,-5.989259441476479
186,186,79.51310062818104,32.119664346068944,23.29948572190829,37.38892031622436,-5.97691379748006
187,187,79.51310062818104,32.51039424150881,22.10626173847171,39.28852545611064,-5.94125756327706
188,188,79.51310062818104,34.731377300428875,20.613400630816432,39.57219393576126,-5.89495919021333
189,189,79.51310062818104,31.966495722946775,21.11871407517151,34.8465301868133,-5.981178471773399
