gen,best,mean,sd
0,-34.49999999999987,-90.83,16.69868557701474
1,-32.69999999999986,-86.43898305084745,19.909864831532193
2,-28.899999999999867,-83.64804469273743,21.450317654097574
3,-26.599999999999874,-83.74021739130434,21.7921084628608
4,-25.39999999999987,-82.21444444444444,22.885993101609422
5,-19.899999999999846,-83.08166666666666,22.59147448584189
6,-19.899999999999846,-83.41304347826087,22.152128258689153
7,-19.899999999999846,-83.17877094972066,22.669295963814637
8,-19.899999999999846,-82.4320652173913,23.450644379671836
9,-13.999999999999844,-80.99888888888889,24.37993480277696
10,-13.999999999999844,-82.27292817679557,24.088726111605098
11,-13.999999999999844,-82.41117318435754,23.873692032221108
12,-13.999999999999844,-80.63687150837988,25.603702666070415
13,-13.999999999999844,-81.06648044692736,24.429625169796804
14,-13.999999999999844,-81.25505617977527,24.96166053985506
15,-13.999999999999844,-81.89405405405404,24.433223223270403
16,-13.999999999999844,-81.33166666666666,24.69618835862015
17,-13.999999999999844,-80.86480446927374,25.230188119780916
18,-13.999999999999844,-79.39608938547485,25.711696277943584
19,-13.999999999999844,-80.74247311827956,24.895689317065695
20,-13.999999999999844,-81.15166666666666,25.109919410021586
21,-13.999999999999844,-63.314965986394526,25.32025715267829
22,-13.999999999999844,-59.76462585034011,24.948297019631248
23,-13.999999999999844,-62.44452054794518,26.09458829851043
24,-13.899999999999832,-58.35637583892614,26.009782161208353
25,-13.899999999999832,-58.7373333333333,25.07192732032297
26,-13.899999999999832,-55.68639455782309,24.72457985296314
27,-4.499999999999957,-59.18367346938772,26.239488444948073
28,-4.499999999999957,-58.14834437086089,25.88845623309869
29,25.0,-55.163333333333284,28.241186038990847
30,25.0,-55.79666666666663,28.14973159532593
31,25.0,-52.300666666666636,24.425482585929746
32,25.0,-58.46266666666664,28.00793113070339
33,25.0,-53.91224489795914,27.339413372123843
34,25.0,-57.128666666666625,27.95543199849046
35,25.0,-56.56078431372545,27.784669764002203
36,25.0,-52.369281045751585,26.709613165128754
37,25.0,-56.08791946308721,26.483855821260263
38,25.0,-53.64863013698626,26.71651337964169
39,25.0,-53.676027397260235,26.137194158229853
40,25.0,-53.725675675675646,26.88495038075943
41,25.0,-54.14589041095886,27.472554490519585
42,25.0,-54.66973684210524,26.89604999240423
43,25.0,-53.439072847682084,25.391785639224693
44,25.0,-56.70201342281876,27.40178427002574
45,25.0,-58.50194805194803,30.133515600388584
46,25.0,-54.54228187919459,27.225659484948107
47,25.0,-52.44407894736838,27.13333969189703
48,25.0,-56.02302631578944,29.40277795324331
49,25.0,-55.562585034013566,29.204822569993677
