,gen,best,mean,sd,med,worst
0,0,23.44169639560921,-5.7133683271277675,5.961727245907941,-6.382612485965339,-20.443098862734857
1,1,23.44169639560921,-4.771294243262609,5.888973711813825,-6.259952913668838,-20.443098862734857
2,2,23.44169639560921,-4.492235620250893,6.1131461459566685,-6.180482017534878,-20.443098862734857
3,3,23.44169639560921,-4.194939083415351,6.348678334158171,-6.133277955137515,-20.443098862734857
4,4,23.44169639560921,-4.108538037916548,6.424752531666841,-6.124040500211137,-20.443098862734857
5,5,23.44169639560921,-4.000528830974621,6.589518403543776,-6.1425154100638935,-20.443098862734857
6,6,23.44169639560921,-3.8312097582124447,6.735379837315873,-6.1458518826167925,-20.443098862734857
7,7,23.44169639560921,-3.5932545785925365,7.213017221439734,-6.133277955137515,-20.443098862734857
8,8,26.087929158784426,-3.3374518767176693,7.592771350397611,-6.118280867988406,-20.443098862734857
9,9,26.087929158784426,-3.1808135203610726,7.940558823615192,-6.10688196950732,-20.443098862734857
10,10,26.087929158784426,-3.278770156371776,7.751142826196287,-6.0954830710262335,-20.443098862734857
11,11,26.087929158784426,-3.366535386368368,7.678357281422041,-6.118280867988406,-20.443098862734857
12,12,26.087929158784426,-3.2284701028618596,7.749606785441473,-6.09018640834215,-20.443098862734857
13,13,26.087929158784426,-2.9832669136390835,8.253569819433404,-6.0954830710262335,-20.443098862734857
14,14,26.087929158784426,-3.3848881231316814,7.7928326245002255,-6.118280867988406,-20.443098862734857
15,15,26.087929158784426,-3.1297144682357847,8.106714890803117,-6.121160684099772,-20.443098862734857
16,16,28.950259202360595,-2.8696908799941054,8.43405163003553,-6.09018640834215,-20.443098862734857
17,17,28.950259202360595,-2.8458297308054825,8.53019760017749,-6.1425154100638935,-20.443098862734857
18,18,28.950259202360595,-2.76584834489916,8.727640562754742,-6.1425154100638935,-20.443098862734857
19,19,28.950259202360595,-2.705074006630638,8.535365308226606,-6.0954830710262335,-20.443098862734857
20,20,28.950259202360595,-2.391636483036393,8.880919730325488,-6.121160684099772,-20.443098862734857
21,21,28.950259202360595,-0.3330940282882334,9.93066659603942,-5.991441228050009,-19.989382546671543
22,22,31.97444891784767,1.5817158681420882,10.4944979831994,-3.676785229087308,-10.186492848193003
23,23,35.47302036381592,3.769530743304017,11.774615361075323,-0.7811869890560814,-20.37601108689791
24,24,35.47302036381592,4.590757273237715,11.777246159123212,0.8204202826709395,-18.168983796605033
25,25,35.47302036381592,4.233989858861679,11.615640593981286,-1.349788174954127,-15.54225367273665
26,26,35.47302036381592,5.087355440444302,11.550586699247225,1.9312039328363237,-12.194465843724199
27,27,35.47302036381592,5.458489073637129,12.10781661963377,2.0629554568297337,-16.62214370186574
28,28,35.47302036381592,5.337184507891899,12.120554762607412,-0.18563498137273982,-10.51626715373962
29,29,35.47302036381592,7.1551436596510785,12.354461063355592,8.253697851560641,-13.578443920662613
30,30,39.20328438384213,7.428880452213285,12.801575525708651,7.963224834388363,-13.919330550239822
31,31,40.87361042212777,7.68192676012079,13.186864406618396,7.595422038023903,-10.338972102460996
32,32,40.87361042212777,8.187316082034512,13.44629181917217,10.170318699932551,-12.162877994683527
33,33,40.87361042212777,7.256329785858432,13.238132815850086,5.8298811555171,-10.607104682843744
