

gen best mean std gain diversity
0 92.394865 9.484341 28.045015 82.0 0.57235
0 92.394865 87.27865 13.009907 -5.4 0.530741
1 92.394865 84.103675 22.686423 37.0 0.52283
2 93.082666 86.750833 20.198143 86.2 0.496721
3 93.494823 88.901049 15.429786 90.4 0.486074
4 93.598742 85.748519 24.353221 91.0 0.443827
5 93.28625 88.053525 18.920571 83.8 0.426599
6 93.996796 91.110706 11.154359 92.8 0.413238
7 93.9239 85.505755 24.032977 93.4 0.376621
8 93.048788 90.517639 12.159125 86.8 0.356112
9 93.681683 92.603929 0.262503 89.8 0.320932
10 93.996796 89.875155 13.644731 92.8 0.321687
11 93.996796 90.826166 11.496781 92.8 0.315337
12 93.563558 92.047469 5.450399 88.0 0.307754
13 93.58027 92.011309 4.000991 91.6 0.304729
14 93.58027 92.734383 0.540636 91.6 0.28434
15 93.646372 92.554857 1.060879 90.4 0.25869
16 93.846794 91.523643 10.108931 91.6 0.25376
17 93.914823 92.296168 1.449663 94.6 0.257196
18 93.784826 89.256563 16.498236 88.6 0.254331
19 93.859465 90.889484 13.213273 92.8 0.244753
20 93.784826 92.82515 0.93803 88.6 0.247876
21 93.52027 91.560563 9.110517 91.0 0.243539
22 93.784826 91.735647 6.550448 88.6 0.246733
23 93.784826 92.413659 2.118253 64.6 0.248389
24 93.784826 92.246781 1.298292 88.6 0.242149
25 93.784826 90.993566 9.694815 82.0 0.244822
26 93.494823 91.379536 9.270034 90.4 0.23279
27 93.494823 90.815969 10.16494 33.4 0.244928
28 93.494823 92.68346 0.713364 90.4 0.230411
29 93.87194 90.527395 14.284256 93.4 0.233686
30 94.540134 92.609258 1.367506 96.4 0.232744
31 93.664826 92.224279 7.198016 87.4 0.227509
32 93.798253 92.629656 0.628196 90.4 0.230237
33 93.798253 92.326362 5.031378 86.8 0.23395
34 93.495203 92.968044 0.869794 89.8 0.229088
35 94.063047 91.61202 9.088686 91.0 0.240236
36 93.374024 92.608273 0.988119 87.4 0.230541
37 93.794024 90.642539 13.223685 91.6 0.232795
38 94.175214 92.939699 0.810103 93.4 0.227385
39 94.283558 92.918422 0.414646 95.2 0.221902
40 94.066708 91.845668 6.459534 92.2 0.22738
41 94.264826 92.000961 9.128843 93.4 0.225575
42 94.144826 92.241361 5.02774 92.2 0.220152
43 94.103558 91.905591 9.091383 93.4 0.216421
44 93.784826 91.802435 9.41613 88.6 0.222309
45 93.904826 87.489393 22.256651 89.8 0.223933
46 93.799465 92.808589 1.598717 92.2 0.236054
47 94.146794 91.491668 11.305018 94.6 0.233494
48 94.132404 92.428613 5.740534 92.2 0.239751
49 93.801683 93.027829 0.962634 91.0 0.238608
50 93.9839 92.863094 1.200907 94.0 0.235897
51 93.801683 93.036968 0.825194 88.6 0.23681
52 93.934055 92.228076 1.638251 90.4 0.242737
53 94.092614 93.054135 1.131813 92.8 0.233783
54 94.063047 92.875903 1.16489 86.2 0.230913
55 94.063047 92.333113 4.696585 88.0 0.23711
56 94.063047 91.914373 9.141791 86.8 0.238217
57 94.069562 92.930056 1.28282 91.0 0.239301
58 93.686695 92.952845 1.259119 86.8 0.241797
59 93.830514 92.493282 6.540569 90.4 0.243861
60 94.069562 92.333585 9.133689 91.0 0.245984
61 93.946708 92.986243 1.411956 91.0 0.245395
62 93.838596 92.527364 1.424259 89.2 0.241801
63 93.784826 92.751116 1.659568 88.6 0.246098
64 93.844826 92.934543 1.428218 89.2 0.229455
65 93.754253 92.648006 1.436033 89.8 0.238577
66 94.063047 92.75329 1.477186 91.0 0.238907
67 93.904826 93.200175 1.045861 89.8 0.233873
68 93.904826 93.004905 1.061286 89.8 0.244232
69 93.904826 92.837693 0.971749 82.0 0.253091
70 94.144826 93.161689 0.736037 92.2 0.248539
71 94.144826 93.00051 1.100114 92.2 0.250908
72 94.144826 93.153592 1.467423 92.2 0.241075
73 93.823266 93.276036 0.600263 87.4 0.241781
74 94.204826 92.743537 3.764653 92.8 0.241449
75 94.204826 93.158532 1.061504 92.8 0.246018
76 94.066708 92.891527 3.854133 92.2 0.240698
77 94.204826 93.237007 1.014683 92.8 0.251004
78 93.904826 93.110607 1.464427 89.8 0.247189
79 93.999644 92.768482 1.267352 92.2 0.252412
80 93.904826 93.371084 0.555113 89.8 0.246344
81 93.904826 92.366991 9.142318 62.8 0.253762
82 94.144826 93.335935 0.760055 92.2 0.251021
83 94.144826 93.320073 1.066886 87.4 0.250852
84 94.175214 93.35883 0.940252 93.4 0.244182
85 94.175214 93.111814 1.023301 88.0 0.218894
86 94.144826 93.430966 0.851124 92.2 0.232734
87 94.168891 93.106179 1.466384 94.0 0.230201
88 94.168891 93.004314 1.477151 88.0 0.223888
89 93.9839 92.425267 3.480276 94.0 0.221453
90 94.522788 93.132124 1.251049 95.2 0.22749
91 93.806695 92.841242 1.550667 86.8 0.222584
92 94.218708 92.340995 9.514019 95.8 0.227779
93 94.144826 93.278494 1.068041 92.2 0.223208
94 94.22385 93.114271 3.660742 94.0 0.221993
95 94.480945 92.361297 10.043244 96.4 0.224678
96 94.235214 91.173298 9.110617 92.8 0.220806
97 94.235214 92.450356 9.097452 75.4 0.225554
98 94.236575 93.375076 0.805969 92.8 0.216709
99 94.179644 93.380921 1.057927 82.0 0.213221
