# gen best mean std diversity
0.000000 93.092892 80.952691 10.240635 0.444745
1.000000 93.190528 78.215481 3.362705 0.227772
2.000000 93.875214 82.603066 14.659073 0.457610
3.000000 93.439361 88.345216 7.595932 0.238838
4.000000 93.348788 88.618197 10.542377 0.455406
5.000000 93.570571 88.234194 12.249655 0.302538
6.000000 93.551096 90.176050 8.199050 0.428489
7.000000 94.076119 90.566866 8.473961 0.248734
8.000000 94.223900 92.603424 0.112957 0.458962
9.000000 94.096054 90.984924 6.483937 0.287309
10.000000 93.691733 90.451930 8.933108 0.230593
11.000000 94.081880 89.395910 10.195938 0.163260
12.000000 93.683536 90.825595 9.833371 0.346814
13.000000 93.996796 88.214639 13.393474 0.215806
14.000000 93.812828 91.187645 5.654720 0.361927
15.000000 93.691026 88.461113 8.034089 0.224098
16.000000 93.446757 91.223421 7.520316 0.318754
17.000000 93.816796 92.047763 4.266454 0.177191
18.000000 93.814253 90.665147 10.906370 0.306189
19.000000 93.499465 90.682227 8.294092 0.146797
20.000000 93.826250 87.439267 12.142185 0.326766
21.000000 93.568891 89.759393 7.496065 0.200645
22.000000 93.806695 89.635381 10.903631 0.097480
23.000000 93.589641 91.585535 6.458131 0.080271
24.000000 93.811733 91.194782 7.971620 0.336961
25.000000 94.046695 92.024422 6.433732 0.245678
26.000000 94.094024 90.503926 8.371310 0.294563
27.000000 94.218708 91.605033 6.789760 0.176630
28.000000 93.655993 91.462734 7.091939 0.310197
29.000000 93.990571 90.468977 7.641606 0.229324
30.000000 94.408891 88.619431 8.889272 0.151464
31.000000 93.897310 91.915194 6.526302 0.121950
32.000000 94.396054 90.960537 9.489874 0.087474
33.000000 94.516054 92.180788 6.860431 0.073037
34.000000 93.616695 91.220405 6.833630 0.244086
35.000000 94.283558 90.033313 10.197246 0.178459
36.000000 93.506267 87.843884 12.369872 0.294904
37.000000 93.679361 87.836777 12.125577 0.176276
38.000000 94.138336 88.841461 12.924479 0.158438
39.000000 94.043558 91.920306 5.721354 0.097629
40.000000 94.012404 90.287358 8.078711 0.068126
41.000000 94.389365 82.953632 16.227706 0.067727
42.000000 94.355214 92.628936 0.475957 0.132235
43.000000 94.355214 88.883764 13.357969 0.099567
44.000000 94.702788 87.791001 11.962772 0.260309
45.000000 94.702788 90.460955 8.371809 0.201228
46.000000 94.702788 89.180161 13.125468 0.135905
47.000000 94.702788 92.606022 0.780758 0.085883
48.000000 93.931733 87.612278 13.728747 0.261914
49.000000 93.494823 91.456294 3.933859 0.163668
50.000000 93.729362 90.840704 8.976038 0.116744
51.000000 93.729362 88.762239 9.956155 0.088525
52.000000 93.592506 91.260287 7.656679 0.119988
53.000000 93.844826 92.617404 0.437849 0.056107
54.000000 93.494823 92.394820 0.571290 0.255605
55.000000 92.858539 90.297561 8.925956 0.175464
56.000000 92.895050 90.301227 8.027033 0.227983
57.000000 93.983900 91.786533 0.768115 0.178296
58.000000 93.983900 92.510651 0.510296 0.151151
59.000000 93.931733 92.084108 2.588753 0.097393
60.000000 92.895050 92.323005 0.310878 0.162795
61.000000 93.946708 92.346015 0.553762 0.075582
62.000000 93.701885 92.412579 0.096430 0.044719
63.000000 93.931733 92.461363 0.136767 0.053347
64.000000 93.051655 92.446714 0.069922 0.118004
65.000000 93.047846 92.436306 0.073416 0.055684
66.000000 93.931733 92.482150 0.164635 0.134850
67.000000 93.931733 92.430584 0.122654 0.088647
68.000000 93.051655 92.423573 0.092807 0.125917
69.000000 94.119644 92.483099 0.217390 0.091697
70.000000 93.931733 92.429495 0.161527 0.244974
71.000000 94.043558 92.414740 0.240514 0.193756
72.000000 94.216054 92.222024 4.704493 0.045231
73.000000 94.183266 91.463102 7.838238 0.043254
74.000000 94.063266 91.246837 7.392456 0.254717
75.000000 93.576796 91.995289 5.385470 0.164811
76.000000 93.931733 91.311737 6.728172 0.050756
77.000000 93.931733 90.200099 9.393733 0.054846
78.000000 93.494823 92.187461 3.940037 0.255287
79.000000 93.494823 92.197075 1.453859 0.191762
80.000000 93.615203 91.784508 6.673844 0.242371
81.000000 93.914024 91.168922 8.723548 0.128505
82.000000 94.098708 91.746584 6.986334 0.042151
83.000000 93.225210 91.893981 3.283068 0.056510
84.000000 93.186939 92.183919 3.323614 0.046872
85.000000 92.890119 91.502931 5.465633 0.041504
86.000000 93.623900 92.403290 0.137322 0.247359
87.000000 94.336054 92.528962 0.262530 0.162601
88.000000 94.522788 92.527563 0.369659 0.256270
89.000000 94.336054 92.444846 0.188988 0.167441
90.000000 94.402788 92.663356 0.316611 0.246990
91.000000 92.987846 91.226903 8.597176 0.170560
92.000000 93.326611 91.966019 2.585539 0.205660
93.000000 92.736504 91.615251 6.690109 0.106786
94.000000 93.235982 92.467370 0.189914 0.212681
95.000000 92.984051 91.389728 7.550828 0.138825
96.000000 94.005064 92.449380 0.229356 0.165516
97.000000 93.377040 92.179780 0.168876 0.125815
98.000000 93.640270 92.417240 0.153680 0.052398
99.000000 94.343414 91.150981 8.972875 0.053172
